SubDir,FileName,Tolerance,TotalTimeSum
arnes,loadbalancing_results.txt,1,48254.000
arnes,loadbalancing_results.txt,2,48390.000
arnes,loadbalancing_results.txt,3,45931.000
arnes,reachability_results.txt,1,60695.000
arnes,reachability_results.txt,2,78646.000
arnes,reachability_results.txt,3,84875.000
arnes,waypoint_results.txt,1,60646.000
arnes,waypoint_results.txt,2,81643.000
arnes,waypoint_results.txt,3,88232.000
bics,loadbalancing_results.txt,1,115928.000
bics,loadbalancing_results.txt,2,121627.000
bics,loadbalancing_results.txt,3,120683.000
bics,reachability_results.txt,1,160826.000
bics,reachability_results.txt,2,282596.000
bics,reachability_results.txt,3,388007.000
bics,waypoint_results.txt,1,155371.000
bics,waypoint_results.txt,2,288668.000
bics,waypoint_results.txt,3,425154.000
cogentco,loadbalancing_results.txt,1,4520676.000
cogentco,loadbalancing_results.txt,2,6894559.000
cogentco,loadbalancing_results.txt,3,6798320.000
cogentco,reachability_results.txt,1,7561903.000
cogentco,reachability_results.txt,2,46671194.000
cogentco,reachability_results.txt,3,105009585.000
cogentco,waypoint_results.txt,1,7506036.000
cogentco,waypoint_results.txt,2,47452278.000
cogentco,waypoint_results.txt,3,105452922.000
colt,loadbalancing_results.txt,1,966589.000
colt,loadbalancing_results.txt,2,933004.000
colt,loadbalancing_results.txt,3,879998.000
colt,reachability_results.txt,1,1179639.000
colt,reachability_results.txt,2,1657935.000
colt,reachability_results.txt,3,1838443.000
colt,waypoint_results.txt,1,1227718.000
colt,waypoint_results.txt,2,1780758.000
colt,waypoint_results.txt,3,1725657.000
columbus,loadbalancing_results.txt,1,299745.000
columbus,loadbalancing_results.txt,2,273324.000
columbus,loadbalancing_results.txt,3,290672.000
columbus,waypoint_results.txt,1,458677.000
columbus,waypoint_results.txt,2,1251828.000
columbus,waypoint_results.txt,3,3099704.000
esnet,loadbalancing_results.txt,1,95002.000
esnet,loadbalancing_results.txt,2,90049.000
esnet,loadbalancing_results.txt,3,88106.000
esnet,reachability_results.txt,1,109389.000
esnet,reachability_results.txt,2,132578.000
esnet,reachability_results.txt,3,133203.000
esnet,waypoint_results.txt,1,110762.000
esnet,waypoint_results.txt,2,133621.000
esnet,waypoint_results.txt,3,131197.000
latnet,loadbalancing_results.txt,1,67019.000
latnet,loadbalancing_results.txt,2,65344.000
latnet,loadbalancing_results.txt,3,68142.000
latnet,reachability_results.txt,1,72106.000
latnet,reachability_results.txt,2,73242.000
latnet,reachability_results.txt,3,74392.000
latnet,waypoint_results.txt,1,69159.000
latnet,waypoint_results.txt,2,72477.000
latnet,waypoint_results.txt,3,73130.000
renater,loadbalancing_results.txt,1,39894.000
renater,loadbalancing_results.txt,2,40581.000
renater,loadbalancing_results.txt,3,40798.000
renater,reachability_results.txt,1,49879.000
renater,reachability_results.txt,2,57676.000
renater,reachability_results.txt,3,57537.000
renater,waypoint_results.txt,1,49013.000
renater,waypoint_results.txt,2,55776.000
renater,waypoint_results.txt,3,57713.000
uscarrier,loadbalancing_results.txt,1,1801248.000
uscarrier,loadbalancing_results.txt,2,1904408.000
uscarrier,loadbalancing_results.txt,3,1934728.000
uscarrier,reachability_results.txt,1,2710840.000
uscarrier,reachability_results.txt,2,7320411.000
uscarrier,reachability_results.txt,3,9596693.000
uscarrier,waypoint_results.txt,1,2678492.000
uscarrier,waypoint_results.txt,2,7579395.000
uscarrier,waypoint_results.txt,3,9454666.000
