src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
celje	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	226	1014	367.0	150.0	150.0	150.0	0.149	0.149	0.149	184.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	1004	2662	556.0	348.0	348.0	348.0	0.347	0.347	0.347	176.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	667	2436	454.0	250.0	250.0	250.0	0.249	0.249	0.249	172.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	226	1014	357.0	153.0	153.0	153.0	0.152	0.152	0.152	172.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	1004	2662	557.0	353.0	353.0	353.0	0.352	0.352	0.352	171.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	667	2436	458.0	251.0	251.0	251.0	0.251	0.251	0.251	174.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	873	2641	535.0	332.0	332.0	332.0	0.331	0.331	0.331	170.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	681	2706	450.0	248.0	248.0	248.0	0.247	0.247	0.247	171.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	902	3159	496.0	297.0	297.0	297.0	0.297	0.297	0.297	168.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	599	2480	445.0	243.0	243.0	243.0	0.243	0.243	0.243	170.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	975	3309	537.0	331.0	331.0	331.0	0.33	0.33	0.33	173.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	895	2709	511.0	305.0	305.0	305.0	0.305	0.305	0.305	172.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	692	2357	467.0	261.0	261.0	261.0	0.26	0.26	0.26	174.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1138	3182	561.0	353.0	353.0	353.0	0.353	0.353	0.353	176.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1082	3982	535.0	328.0	328.0	328.0	0.327	0.327	0.327	176.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	divaca	1	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	652	2317	463.0	260.0	260.0	260.0	0.259	0.259	0.259	170.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	divaca	2	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	639	2042	468.0	260.0	260.0	260.0	0.26	0.26	0.26	172.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	divaca	3	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	771	2583	497.0	293.0	293.0	293.0	0.292	0.292	0.292	172.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	711	2410	483.0	279.0	279.0	279.0	0.278	0.278	0.278	171.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	768	2996	515.0	312.0	312.0	312.0	0.311	0.311	0.311	170.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	538	2065	432.0	228.0	228.0	228.0	0.228	0.228	0.228	170.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	719	2243	500.0	276.0	276.0	276.0	0.276	0.276	0.276	185.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	733	2117	483.0	261.0	261.0	261.0	0.26	0.26	0.26	185.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1319	3690	643.0	419.0	419.0	419.0	0.419	0.419	0.419	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	756	2584	518.0	294.0	294.0	294.0	0.293	0.293	0.293	187.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	793	2822	519.0	295.0	295.0	295.0	0.295	0.295	0.295	185.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	477	2256	436.0	207.0	207.0	207.0	0.206	0.206	0.206	192.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	711	2410	498.0	278.0	278.0	278.0	0.278	0.278	0.278	183.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	768	2996	527.0	312.0	312.0	312.0	0.311	0.311	0.311	181.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	538	2065	449.0	232.0	232.0	232.0	0.232	0.232	0.232	181.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	756	2584	518.0	293.0	293.0	293.0	0.293	0.293	0.293	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	793	2822	520.0	291.0	291.0	291.0	0.291	0.291	0.291	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	477	2256	435.0	206.0	206.0	206.0	0.205	0.205	0.205	189.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	719	2243	497.0	273.0	273.0	273.0	0.272	0.272	0.272	186.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	733	2117	479.0	257.0	257.0	257.0	0.256	0.256	0.256	186.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1319	3690	660.0	427.0	427.0	427.0	0.427	0.427	0.427	193.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	divaca	1	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	652	2317	484.0	263.0	263.0	263.0	0.262	0.262	0.262	184.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	divaca	2	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	639	2042	473.0	254.0	254.0	254.0	0.253	0.253	0.253	183.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	divaca	3	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	771	2583	520.0	296.0	296.0	296.0	0.295	0.295	0.295	186.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	711	2410	500.0	277.0	277.0	277.0	0.276	0.276	0.276	186.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	768	2996	539.0	311.0	311.0	311.0	0.31	0.31	0.31	190.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	538	2065	452.0	230.0	230.0	230.0	0.229	0.229	0.229	186.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	920	2798	557.0	331.0	331.0	331.0	0.33	0.33	0.33	187.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1049	2697	607.0	372.0	372.0	372.0	0.372	0.372	0.372	197.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	996	3532	596.0	368.0	368.0	368.0	0.367	0.367	0.367	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	692	2357	491.0	268.0	268.0	268.0	0.267	0.267	0.267	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1138	3182	586.0	360.0	360.0	360.0	0.359	0.359	0.359	190.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1082	3982	562.0	336.0	336.0	336.0	0.335	0.335	0.335	190.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	516	1634	447.0	221.0	221.0	221.0	0.221	0.221	0.221	191.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1010	2795	549.0	326.0	326.0	326.0	0.326	0.326	0.326	189.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	540	2115	447.0	222.0	222.0	222.0	0.221	0.221	0.221	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	226	1014	377.0	155.0	155.0	155.0	0.155	0.155	0.155	187.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	1004	2662	581.0	361.0	361.0	361.0	0.361	0.361	0.361	184.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	667	2436	478.0	258.0	258.0	258.0	0.258	0.258	0.258	185.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	692	2357	487.0	262.0	262.0	262.0	0.262	0.262	0.262	190.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1138	3182	582.0	357.0	357.0	357.0	0.356	0.356	0.356	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1082	3982	555.0	332.0	332.0	332.0	0.332	0.332	0.332	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	756	2584	514.0	295.0	295.0	295.0	0.295	0.295	0.295	183.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	842	2713	540.0	318.0	318.0	318.0	0.317	0.317	0.317	186.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	477	2256	422.0	205.0	205.0	205.0	0.205	0.205	0.205	182.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	692	2357	494.0	266.0	266.0	266.0	0.266	0.266	0.266	192.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1138	3182	584.0	360.0	360.0	360.0	0.359	0.359	0.359	190.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1082	3982	559.0	336.0	336.0	336.0	0.335	0.335	0.335	189.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	711	2410	498.0	279.0	279.0	279.0	0.279	0.279	0.279	183.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	768	2996	531.0	310.0	310.0	310.0	0.31	0.31	0.31	183.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	538	2065	450.0	232.0	232.0	232.0	0.231	0.231	0.231	183.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	920	2798	550.0	332.0	332.0	332.0	0.331	0.331	0.331	184.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1049	2697	578.0	360.0	360.0	360.0	0.359	0.359	0.359	184.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	996	3532	584.0	367.0	367.0	367.0	0.367	0.367	0.367	181.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	226	1014	381.0	155.0	155.0	155.0	0.154	0.154	0.154	190.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	1004	2662	585.0	361.0	361.0	361.0	0.36	0.36	0.36	188.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	667	2436	480.0	258.0	258.0	258.0	0.257	0.257	0.257	187.0	GigabitEthernet0/0	2357.0	4262.0	0.0	0.0	0.0	0.0	0.0	0.0
