src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
celje	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1336	3385	646.0	445.0	445.0	445.0	0.445	0.445	0.445	183.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2291	4663	885.0	691.0	691.0	691.0	0.691	0.691	0.691	178.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	4254	7327	1273.0	1083.0	1083.0	1083.0	1.082	1.082	1.082	174.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1494	3603	655.0	452.0	452.0	452.0	0.451	0.451	0.451	186.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2641	5399	948.0	760.0	760.0	760.0	0.759	0.759	0.759	173.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	3585	6690	1270.0	1060.0	1060.0	1060.0	1.06	1.06	1.06	195.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1274	3174	607.0	419.0	419.0	419.0	0.418	0.418	0.418	174.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	3487	6336	1179.0	992.0	992.0	992.0	0.991	0.991	0.991	171.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	4212	7520	1365.0	1184.0	1184.0	1184.0	1.183	1.183	1.183	169.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1459	3677	601.0	412.0	412.0	412.0	0.411	0.411	0.411	174.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	2464	5058	918.0	738.0	738.0	738.0	0.738	0.738	0.738	166.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	4530	7721	1508.0	1324.0	1324.0	1324.0	1.324	1.324	1.324	169.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1314	3390	621.0	405.0	405.0	405.0	0.404	0.404	0.404	196.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1789	3575	741.0	546.0	546.0	546.0	0.545	0.545	0.545	179.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
koper	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	3972	7281	1270.0	1076.0	1076.0	1076.0	1.075	1.075	1.075	178.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	divaca	1	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	1439	3424	638.0	457.0	457.0	457.0	0.456	0.456	0.456	166.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	divaca	2	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	2653	5610	955.0	773.0	773.0	773.0	0.772	0.772	0.772	168.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	divaca	3	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	4252	8765	1385.0	1205.0	1205.0	1205.0	1.204	1.204	1.204	167.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1155	2848	589.0	400.0	400.0	400.0	0.4	0.4	0.4	173.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	2630	4561	934.0	732.0	732.0	732.0	0.731	0.731	0.731	183.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	4130	7115	1349.0	1159.0	1159.0	1159.0	1.159	1.159	1.159	172.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1373	3611	621.0	432.0	432.0	432.0	0.431	0.431	0.431	173.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2757	5161	1011.0	822.0	822.0	822.0	0.821	0.821	0.821	173.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4206	6848	1456.0	1270.0	1270.0	1270.0	1.269	1.269	1.269	170.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	1535	4372	707.0	503.0	503.0	503.0	0.503	0.503	0.503	186.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	2525	4930	994.0	791.0	791.0	791.0	0.79	0.79	0.79	185.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	3547	6655	1307.0	1108.0	1108.0	1108.0	1.107	1.107	1.107	185.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1683	3925	696.0	491.0	491.0	491.0	0.491	0.491	0.491	187.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	2155	4490	883.0	681.0	681.0	681.0	0.681	0.681	0.681	186.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	4895	8452	1531.0	1330.0	1330.0	1330.0	1.33	1.33	1.33	185.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	1527	3889	710.0	509.0	509.0	509.0	0.509	0.509	0.509	186.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	3267	5957	1191.0	983.0	983.0	983.0	0.983	0.983	0.983	192.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	3754	7111	1320.0	1113.0	1113.0	1113.0	1.112	1.112	1.112	191.0	GigabitEthernet0/0	2392.0	4297.0	0.0	0.0	0.0	0.0	0.0	0.0
