src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
celje	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1464	4070	686.0	481.0	481.0	481.0	0.481	0.481	0.481	186.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	3264	5456	1082.0	892.0	892.0	892.0	0.891	0.891	0.891	173.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
celje	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	4039	7352	1367.0	1166.0	1166.0	1166.0	1.166	1.166	1.166	174.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1362	3320	602.0	413.0	413.0	413.0	0.412	0.412	0.412	172.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2542	4878	945.0	758.0	758.0	758.0	0.758	0.758	0.758	172.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
divaca	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	4411	7298	1454.0	1267.0	1267.0	1267.0	1.267	1.267	1.267	171.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1213	2920	568.0	382.0	382.0	382.0	0.382	0.382	0.382	171.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2556	5608	955.0	769.0	769.0	769.0	0.768	0.768	0.768	172.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	3481	6002	1207.0	1020.0	1020.0	1020.0	1.019	1.019	1.019	172.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
lasko	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1355	3328	605.0	422.0	422.0	422.0	0.422	0.422	0.422	168.0	GigabitEthernet0/0	2392.0	4332.0	0.0	0.0	0.0	0.0	0.0	0.0
