src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2280	7541	1366.0	941.0	941.0	941.0	0.94	0.94	0.94	392.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	7488	14484	3495.0	3077.0	3077.0	3077.0	3.076	3.076	3.076	386.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	17212	27102	7802.0	7381.0	7381.0	7381.0	7.38	7.38	7.38	388.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2545	7660	1643.0	1110.0	1110.0	1110.0	1.109	1.109	1.109	509.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	6428	11658	3374.0	2914.0	2914.0	2914.0	2.913	2.913	2.913	421.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	16282	25536	7897.0	7446.0	7446.0	7446.0	7.446	7.446	7.446	413.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2400	7477	1563.0	1106.0	1106.0	1106.0	1.105	1.105	1.105	421.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5580	11854	2984.0	2532.0	2532.0	2532.0	2.532	2.532	2.532	416.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	17599	26151	8724.0	8275.0	8275.0	8275.0	8.275	8.275	8.275	413.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	2743	7841	1736.0	1250.0	1250.0	1250.0	1.249	1.249	1.249	450.0	GigabitEthernet0/0	6982.0	9620.0	0.0	0.0	0.0	0.0	0.0	0.0
