src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2312	7697	1434.0	1011.0	1011.0	1011.0	1.011	1.011	1.011	389.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5428	11387	2766.0	2346.0	2346.0	2346.0	2.345	2.345	2.345	386.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	14044	21510	6442.0	6026.0	6026.0	6026.0	6.025	6.025	6.025	385.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2789	8159	1671.0	1235.0	1235.0	1235.0	1.234	1.234	1.234	398.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	6252	11736	3143.0	2696.0	2696.0	2696.0	2.695	2.695	2.695	410.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	17161	26648	8371.0	7897.0	7897.0	7897.0	7.896	7.896	7.896	436.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2330	6944	1517.0	1069.0	1069.0	1069.0	1.068	1.068	1.068	412.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5779	11726	3016.0	2570.0	2570.0	2570.0	2.57	2.57	2.57	409.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	19511	28353	9356.0	8913.0	8913.0	8913.0	8.912	8.912	8.912	408.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	2346	6386	1568.0	1122.0	1122.0	1122.0	1.122	1.122	1.122	410.0	GigabitEthernet0/0	6982.0	9669.0	0.0	0.0	0.0	0.0	0.0	0.0
