src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
london	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	38658	329455	52902.0	51318.0	51318.0	51318.0	51.317	51.317	51.317	1171.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
london	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	67567	534942	94734.0	93226.0	93226.0	93226.0	93.226	93.226	93.226	1143.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
london	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	83131	575667	100580.0	99048.0	99048.0	99048.0	99.048	99.048	99.048	1105.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	1	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	37185	296569	50227.0	48884.0	48884.0	48884.0	48.883	48.883	48.883	1031.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	2	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	42151	361396	50407.0	49069.0	49069.0	49069.0	49.068	49.068	49.068	1012.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	3	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	66556	535884	87039.0	85690.0	85690.0	85690.0	85.689	85.689	85.689	1046.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	35647	301828	49526.0	48166.0	48166.0	48166.0	48.165	48.165	48.165	1061.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	59064	502340	73965.0	72626.0	72626.0	72626.0	72.626	72.626	72.626	1046.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	89324	707718	110414.0	109046.0	109046.0	109046.0	109.046	109.046	109.046	1045.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	27984	265349	43176.0	41714.0	41714.0	41714.0	41.713	41.713	41.713	1105.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	42257	349341	49430.0	47929.0	47929.0	47929.0	47.928	47.928	47.928	1219.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	64660	563037	84923.0	83511.0	83511.0	83511.0	83.511	83.511	83.511	1085.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	33889	289478	48445.0	47105.0	47105.0	47105.0	47.104	47.104	47.104	1039.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	49353	534394	72306.0	70948.0	70948.0	70948.0	70.947	70.947	70.947	1037.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	62201	509463	76005.0	74685.0	74685.0	74685.0	74.684	74.684	74.684	1027.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	33889	289478	47996.0	46665.0	46665.0	46665.0	46.665	46.665	46.665	1037.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	49353	534394	71252.0	69903.0	69903.0	69903.0	69.902	69.902	69.902	1024.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	62201	509463	74905.0	73590.0	73590.0	73590.0	73.589	73.589	73.589	1028.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	manchester	1	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	29611	248400	40909.0	39552.0	39552.0	39552.0	39.552	39.552	39.552	1026.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	manchester	2	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	68866	563755	88020.0	86726.0	86726.0	86726.0	86.725	86.725	86.725	1003.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	manchester	3	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	49203	423087	63029.0	61701.0	61701.0	61701.0	61.7	61.7	61.7	1006.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	manchester	1	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	29611	248400	41732.0	40371.0	40371.0	40371.0	40.37	40.37	40.37	1052.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	manchester	2	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	68866	563755	89659.0	88329.0	88329.0	88329.0	88.328	88.328	88.328	1001.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	manchester	3	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	49203	423087	63695.0	62403.0	62403.0	62403.0	62.402	62.402	62.402	1006.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	boston	1	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	30002	274420	43688.0	42210.0	42210.0	42210.0	42.209	42.209	42.209	1211.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	boston	2	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	55291	447172	73400.0	72013.0	72013.0	72013.0	72.012	72.012	72.012	1098.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	boston	3	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	56355	445010	66452.0	65169.0	65169.0	65169.0	65.168	65.168	65.168	991.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
london	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	32286	274352	49226.0	47818.0	47818.0	47818.0	47.817	47.817	47.817	1139.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
london	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	49353	534394	72087.0	70780.0	70780.0	70780.0	70.78	70.78	70.78	1020.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
london	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	62201	509463	75761.0	74440.0	74440.0	74440.0	74.439	74.439	74.439	1028.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	38658	329455	52840.0	51470.0	51470.0	51470.0	51.469	51.469	51.469	1030.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	67567	534942	95946.0	94663.0	94663.0	94663.0	94.663	94.663	94.663	994.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	83131	575667	100775.0	99471.0	99471.0	99471.0	99.471	99.471	99.471	1013.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	manchester	1	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	24318	219998	34214.0	32876.0	32876.0	32876.0	32.876	32.876	32.876	1011.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	manchester	2	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	53714	436972	69245.0	67951.0	67951.0	67951.0	67.95	67.95	67.95	999.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	manchester	3	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	sat	63141	531597	80987.0	79664.0	79664.0	79664.0	79.664	79.664	79.664	1033.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	boston	1	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	29851	283647	42505.0	41129.0	41129.0	41129.0	41.129	41.129	41.129	1027.0	GigabitEthernet0/0	20547.0	30610.0	0.0	0.0	0.0	0.0	0.0	0.0
