src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
london	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	55618	380774	78053.0	76461.0	76461.0	76461.0	76.459	76.459	76.459	1406.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
london	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	549315	2332654	741846.0	740510.0	740510.0	740510.0	740.509	740.509	740.509	1195.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
london	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	2777056	9048693	3542867.0	3541576.0	3541576.0	3541576.0	3541.575	3541.575	3541.575	1154.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	1	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	57065	349002	71579.0	70304.0	70304.0	70304.0	70.303	70.303	70.303	1149.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	2	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	590055	2537408	808354.0	807099.0	807099.0	807099.0	807.099	807.099	807.099	1129.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	3	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	2701412	8616803	3340198.0	3339031.0	3339031.0	3339031.0	3339.03	3339.03	3339.03	1053.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	50703	351227	65592.0	64429.0	64429.0	64429.0	64.429	64.429	64.429	1048.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	493381	2195589	641015.0	639853.0	639853.0	639853.0	639.852	639.852	639.852	1050.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	2337019	7597498	3024185.0	3023041.0	3023041.0	3023041.0	3023.041	3023.041	3023.041	1030.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	57813	346378	75893.0	74764.0	74764.0	74764.0	74.763	74.763	74.763	1024.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	565113	2319921	751780.0	750643.0	750643.0	750643.0	750.642	750.642	750.642	1023.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	2702405	8674794	3469371.0	3468204.0	3468204.0	3468204.0	3468.203	3468.203	3468.203	1045.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	57560	390695	74186.0	72937.0	72937.0	72937.0	72.936	72.936	72.936	1122.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	502492	2164916	667293.0	666137.0	666137.0	666137.0	666.137	666.137	666.137	1045.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	2290464	7412872	2858802.0	2857635.0	2857635.0	2857635.0	2857.634	2857.634	2857.634	1051.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	48540	358204	66211.0	65068.0	65068.0	65068.0	65.068	65.068	65.068	1032.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	554379	2274094	732267.0	731136.0	731136.0	731136.0	731.135	731.135	731.135	1022.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	2336332	7574441	2957408.0	2956249.0	2956249.0	2956249.0	2956.248	2956.248	2956.248	1051.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	manchester	1	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	48301	314538	65610.0	64489.0	64489.0	64489.0	64.488	64.488	64.488	1012.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	manchester	2	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	517533	2050321	660234.0	659106.0	659106.0	659106.0	659.105	659.105	659.105	1021.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	manchester	3	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	2928560	9406512	3812158.0	3811031.0	3811031.0	3811031.0	3811.03	3811.03	3811.03	1021.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	manchester	1	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	68404	409477	91986.0	90850.0	90850.0	90850.0	90.849	90.849	90.849	1027.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	manchester	2	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	594512	2341817	780108.0	778996.0	778996.0	778996.0	778.996	778.996	778.996	1005.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	manchester	3	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	2810648	9445146	3767037.0	3765925.0	3765925.0	3765925.0	3765.925	3765.925	3765.925	1005.0	GigabitEthernet0/0	20745.0	30808.0	0.0	0.0	0.0	0.0	0.0	0.0
