src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
london	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	49940	299547	62964.0	61698.0	61698.0	61698.0	61.697	61.697	61.697	1135.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
london	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	497994	1974427	627753.0	626490.0	626490.0	626490.0	626.49	626.49	626.49	1137.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
london	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	2878820	9213567	3784288.0	3783097.0	3783097.0	3783097.0	3783.096	3783.096	3783.096	1067.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	1	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	57139	378315	76947.0	75786.0	75786.0	75786.0	75.785	75.785	75.785	1034.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	2	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	548377	2191972	688598.0	687441.0	687441.0	687441.0	687.44	687.44	687.44	1030.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
boston	montreal	3	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	2518115	8189585	3174962.0	3173814.0	3173814.0	3173814.0	3173.813	3173.813	3173.813	1029.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	49830	350735	68233.0	67049.0	67049.0	67049.0	67.048	67.048	67.048	1062.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	494003	2079515	639002.0	637847.0	637847.0	637847.0	637.846	637.846	637.846	1040.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
albany	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	2400484	7690046	3073475.0	3072307.0	3072307.0	3072307.0	3072.307	3072.307	3072.307	1053.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	57770	347549	78366.0	77223.0	77223.0	77223.0	77.222	77.222	77.222	1024.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	527576	2091542	667801.0	666667.0	666667.0	666667.0	666.666	666.666	666.666	1017.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
montreal	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	2833945	9144695	3618382.0	3617235.0	3617235.0	3617235.0	3617.235	3617.235	3617.235	1034.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	61899	409647	79169.0	77943.0	77943.0	77943.0	77.942	77.942	77.942	1109.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	488313	1955168	600499.0	599359.0	599359.0	599359.0	599.358	599.358	599.358	1028.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
newttyork	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	2294019	7451918	2893686.0	2892543.0	2892543.0	2892543.0	2892.542	2892.542	2892.542	1033.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
manchester	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	53506	336962	74380.0	73137.0	73137.0	73137.0	73.136	73.136	73.136	1120.0	GigabitEthernet0/0	20745.0	31006.0	0.0	0.0	0.0	0.0	0.0	0.0
