src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
basel	strasbourg	1	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	6642	88119	10372.0	9252.0	9252.0	9252.0	9.252	9.252	9.252	862.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
basel	strasbourg	2	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	8458	94728	10891.0	9762.0	9762.0	9762.0	9.761	9.761	9.761	867.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
basel	strasbourg	3	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	8846	107948	11611.0	10509.0	10509.0	10509.0	10.508	10.508	10.508	876.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	8287	102175	11820.0	10699.0	10699.0	10699.0	10.699	10.699	10.699	863.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	6190	76303	8048.0	6938.0	6938.0	6938.0	6.937	6.937	6.937	850.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	8255	91051	10238.0	9128.0	9128.0	9128.0	9.128	9.128	9.128	848.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	1	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	7271	92804	11858.0	10718.0	10718.0	10718.0	10.717	10.717	10.717	880.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	2	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	5863	83058	9272.0	8149.0	8149.0	8149.0	8.148	8.148	8.148	861.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	3	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	6037	76656	8967.0	7848.0	7848.0	7848.0	7.847	7.847	7.847	862.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	1	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	6768	91723	10917.0	9824.0	9824.0	9824.0	9.823	9.823	9.823	839.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	2	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	6765	96783	9965.0	8865.0	8865.0	8865.0	8.865	8.865	8.865	845.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	3	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	8262	102815	11597.0	10505.0	10505.0	10505.0	10.504	10.504	10.504	836.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	7315	81876	10274.0	9180.0	9180.0	9180.0	9.179	9.179	9.179	838.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	7353	90481	10123.0	9017.0	9017.0	9017.0	9.017	9.017	9.017	848.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	6823	90732	10067.0	8960.0	8960.0	8960.0	8.96	8.96	8.96	850.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	7138	104010	10836.0	9759.0	9759.0	9759.0	9.758	9.758	9.758	821.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	7287	93729	9930.0	8818.0	8818.0	8818.0	8.817	8.817	8.817	855.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	7267	79544	8968.0	7868.0	7868.0	7868.0	7.867	7.867	7.867	842.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	6734	88372	10009.0	8912.0	8912.0	8912.0	8.911	8.911	8.911	840.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	6318	82268	8718.0	7634.0	7634.0	7634.0	7.634	7.634	7.634	827.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	7271	84299	9893.0	8786.0	8786.0	8786.0	8.785	8.785	8.785	841.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
dusseldorf	karlsruhe	1	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	6256	78725	8406.0	7315.0	7315.0	7315.0	7.314	7.314	7.314	836.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
dusseldorf	karlsruhe	2	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	4870	76078	7430.0	6346.0	6346.0	6346.0	6.345	6.345	6.345	829.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
dusseldorf	karlsruhe	3	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	4515	71313	6912.0	5815.0	5815.0	5815.0	5.815	5.815	5.815	834.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	8287	102175	12099.0	11002.0	11002.0	11002.0	11.001	11.001	11.001	834.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	6190	76303	8338.0	7220.0	7220.0	7220.0	7.22	7.22	7.22	853.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	8255	91051	10572.0	9462.0	9462.0	9462.0	9.462	9.462	9.462	847.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	6329	93001	10758.0	9628.0	9628.0	9628.0	9.628	9.628	9.628	859.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	5887	82113	8492.0	7376.0	7376.0	7376.0	7.376	7.376	7.376	849.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	8655	98384	11342.0	10215.0	10215.0	10215.0	10.215	10.215	10.215	869.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	7115	90506	10916.0	9805.0	9805.0	9805.0	9.804	9.804	9.804	844.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	7527	83825	9754.0	8641.0	8641.0	8641.0	8.641	8.641	8.641	855.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	6195	79355	8699.0	7608.0	7608.0	7608.0	7.607	7.607	7.607	839.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
aarhus	munich	1	IpWildcardIpSpace{ipWildcard=200.0.91.0/24}	sat	6670	89002	10859.0	9767.0	9767.0	9767.0	9.767	9.767	9.767	838.0	GigabitEthernet0/0	19533.0	27020.0	0.0	0.0	0.0	0.0	0.0	0.0
