src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
basel	strasbourg	1	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	9806	88895	11975.0	11053.0	11053.0	11053.0	11.051	11.051	11.051	871.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
basel	strasbourg	2	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	20891	136564	21319.0	20449.0	20449.0	20449.0	20.448	20.448	20.448	814.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
basel	strasbourg	3	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	30355	177248	31001.0	29867.0	29867.0	29867.0	29.866	29.866	29.866	862.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	10052	92144	12115.0	11258.0	11258.0	11258.0	11.257	11.257	11.257	803.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	18951	97053	17982.0	17126.0	17126.0	17126.0	17.125	17.125	17.125	801.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	24147	122962	25013.0	23902.0	23902.0	23902.0	23.902	23.902	23.902	862.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	1	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	10558	86211	11975.0	11062.0	11062.0	11062.0	11.062	11.062	11.062	854.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	2	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	26688	133345	27847.0	26944.0	26944.0	26944.0	26.943	26.943	26.943	851.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	3	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	33486	156015	36061.0	34944.0	34944.0	34944.0	34.943	34.943	34.943	863.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	1	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	7606	69835	9295.0	8379.0	8379.0	8379.0	8.379	8.379	8.379	863.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	2	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	23504	148967	24676.0	23624.0	23624.0	23624.0	23.623	23.623	23.623	1000.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	3	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	29283	151380	34407.0	33274.0	33274.0	33274.0	33.274	33.274	33.274	854.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	7312	67976	9373.0	8493.0	8493.0	8493.0	8.493	8.493	8.493	831.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	21626	128968	21133.0	20246.0	20246.0	20246.0	20.246	20.246	20.246	835.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	33195	163073	33472.0	32388.0	32388.0	32388.0	32.387	32.387	32.387	837.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	9253	95823	13321.0	12411.0	12411.0	12411.0	12.411	12.411	12.411	856.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	23015	140300	23127.0	22246.0	22246.0	22246.0	22.245	22.245	22.245	832.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	27053	141417	28058.0	26982.0	26982.0	26982.0	26.982	26.982	26.982	829.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	9927	93861	13019.0	12105.0	12105.0	12105.0	12.105	12.105	12.105	858.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	27416	145740	28508.0	27607.0	27607.0	27607.0	27.607	27.607	27.607	844.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	40015	172843	39343.0	38235.0	38235.0	38235.0	38.235	38.235	38.235	851.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
dusseldorf	karlsruhe	1	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	10375	107194	13764.0	12884.0	12884.0	12884.0	12.884	12.884	12.884	834.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
dusseldorf	karlsruhe	2	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	24744	130311	24571.0	23750.0	23750.0	23750.0	23.75	23.75	23.75	775.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
dusseldorf	karlsruhe	3	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	40775	196336	43673.0	42572.0	42572.0	42572.0	42.572	42.572	42.572	843.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	10321	91641	12391.0	11484.0	11484.0	11484.0	11.484	11.484	11.484	857.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	22179	115937	22188.0	21301.0	21301.0	21301.0	21.301	21.301	21.301	835.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	44849	210392	49396.0	48283.0	48283.0	48283.0	48.282	48.282	48.282	840.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	8962	79934	11671.0	10759.0	10759.0	10759.0	10.758	10.758	10.758	857.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	27643	145283	27447.0	26542.0	26542.0	26542.0	26.542	26.542	26.542	848.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	50770	217356	54842.0	53740.0	53740.0	53740.0	53.739	53.739	53.739	849.0	GigabitEthernet0/0	19687.0	27174.0	0.0	0.0	0.0	0.0	0.0	0.0
