src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
basel	strasbourg	1	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	10727	92091	13345.0	12427.0	12427.0	12427.0	12.426	12.426	12.426	858.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
basel	strasbourg	2	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	20800	120686	20411.0	19504.0	19504.0	19504.0	19.504	19.504	19.504	847.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
basel	strasbourg	3	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	12616	117849	14842.0	13644.0	13644.0	13644.0	13.643	13.643	13.643	903.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	7891	68164	9297.0	8379.0	8379.0	8379.0	8.378	8.378	8.378	861.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	21462	122033	21589.0	20675.0	20675.0	20675.0	20.674	20.674	20.674	856.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	9725	87023	10334.0	9230.0	9230.0	9230.0	9.23	9.23	9.23	857.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	1	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	8592	79823	11272.0	10363.0	10363.0	10363.0	10.362	10.362	10.362	851.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	2	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	26261	144269	28269.0	27366.0	27366.0	27366.0	27.365	27.365	27.365	848.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	3	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	30449	155506	34091.0	32968.0	32968.0	32968.0	32.967	32.967	32.967	867.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	1	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	8141	79199	10068.0	9123.0	9123.0	9123.0	9.122	9.122	9.122	891.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	2	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	24446	134582	25072.0	24154.0	24154.0	24154.0	24.153	24.153	24.153	862.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	3	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	50234	210420	53082.0	51964.0	51964.0	51964.0	51.964	51.964	51.964	856.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	9941	91232	12618.0	11716.0	11716.0	11716.0	11.715	11.715	11.715	852.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	20176	113491	21222.0	20333.0	20333.0	20333.0	20.332	20.332	20.332	839.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	52170	212855	53007.0	51916.0	51916.0	51916.0	51.916	51.916	51.916	839.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	8539	86167	11139.0	10256.0	10256.0	10256.0	10.255	10.255	10.255	831.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	29166	143323	30902.0	30009.0	30009.0	30009.0	30.008	30.008	30.008	836.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	13604	125797	17674.0	16583.0	16583.0	16583.0	16.583	16.583	16.583	835.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	9702	94937	13067.0	12157.0	12157.0	12157.0	12.156	12.156	12.156	852.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	20934	112044	22693.0	21784.0	21784.0	21784.0	21.783	21.783	21.783	853.0	GigabitEthernet0/0	19687.0	27328.0	0.0	0.0	0.0	0.0	0.0	0.0
