src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	2658	11171	2703.0	1906.0	1906.0	1906.0	1.905	1.905	1.905	640.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	2235	11013	2306.0	1510.0	1510.0	1510.0	1.51	1.51	1.51	638.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	3183	14215	2931.0	2148.0	2148.0	2148.0	2.148	2.148	2.148	630.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	2842	14434	3091.0	2329.0	2329.0	2329.0	2.328	2.328	2.328	612.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	3984	14794	3504.0	2739.0	2739.0	2739.0	2.738	2.738	2.738	615.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	1939	12060	2275.0	1515.0	1515.0	1515.0	1.515	1.515	1.515	609.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	1534	10137	2009.0	1234.0	1234.0	1234.0	1.233	1.233	1.233	619.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	2828	13512	2864.0	2097.0	2097.0	2097.0	2.096	2.096	2.096	614.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	3150	14194	3074.0	2319.0	2319.0	2319.0	2.319	2.319	2.319	605.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	2703	14182	2962.0	2128.0	2128.0	2128.0	2.127	2.127	2.127	663.0	GigabitEthernet0/0	11114.0	15380.0	0.0	0.0	0.0	0.0	0.0	0.0
