src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	unsat	4782	17090	4676.0	3992.0	3992.0	3992.0	3.992	3.992	3.992	642.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	unsat	20842	37763	20743.0	20037.0	20037.0	20037.0	20.037	20.037	20.037	666.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	unsat	107110	145512	113885.0	113211.0	113211.0	113211.0	113.211	113.211	113.211	634.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	6289	20309	5778.0	5127.0	5127.0	5127.0	5.127	5.127	5.127	615.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	34603	56816	30540.0	29889.0	29889.0	29889.0	29.889	29.889	29.889	617.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	103642	137010	108845.0	108172.0	108172.0	108172.0	108.172	108.172	108.172	633.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	5584	14763	4906.0	4253.0	4253.0	4253.0	4.252	4.252	4.252	616.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	13674	26861	13308.0	12660.0	12660.0	12660.0	12.66	12.66	12.66	615.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	93152	124402	101341.0	100695.0	100695.0	100695.0	100.694	100.694	100.694	613.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	unsat	6758	21407	5719.0	5007.0	5007.0	5007.0	5.007	5.007	5.007	676.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	2	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	unsat	23029	41100	23003.0	22307.0	22307.0	22307.0	22.306	22.306	22.306	662.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	3	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	unsat	111479	153070	104698.0	104001.0	104001.0	104001.0	104.0	104.0	104.0	662.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	1	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	unsat	5103	16929	4765.0	4058.0	4058.0	4058.0	4.057	4.057	4.057	672.0	GigabitEthernet0/0	11200.0	15552.0	0.0	0.0	0.0	0.0	0.0	0.0
