src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
wash	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	848	5197	957.0	558.0	558.0	558.0	0.557	0.557	0.557	327.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	568	4226	807.0	432.0	432.0	432.0	0.432	0.432	0.432	303.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	1428	7309	1146.0	766.0	766.0	766.0	0.766	0.766	0.766	307.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1544	6286	1332.0	937.0	937.0	937.0	0.936	0.936	0.936	322.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1134	6140	1112.0	717.0	717.0	717.0	0.717	0.717	0.717	320.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	574	4990	861.0	471.0	471.0	471.0	0.47	0.47	0.47	317.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	966	4798	1083.0	686.0	686.0	686.0	0.685	0.685	0.685	322.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	2730	7894	1907.0	1514.0	1514.0	1514.0	1.513	1.513	1.513	318.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1642	7144	1373.0	969.0	969.0	969.0	0.969	0.969	0.969	326.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	1038	5604	1092.0	696.0	696.0	696.0	0.695	0.695	0.695	323.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	767	5893	962.0	571.0	571.0	571.0	0.57	0.57	0.57	320.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	3	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	1443	7506	1348.0	951.0	951.0	951.0	0.95	0.95	0.95	324.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	808	4978	994.0	608.0	608.0	608.0	0.608	0.608	0.608	313.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	1029	5113	1009.0	622.0	622.0	622.0	0.621	0.621	0.621	305.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	1208	7500	1053.0	660.0	660.0	660.0	0.659	0.659	0.659	317.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	837	4856	973.0	576.0	576.0	576.0	0.575	0.575	0.575	324.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	1007	4913	1026.0	631.0	631.0	631.0	0.631	0.631	0.631	324.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	wash	3	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	739	5830	873.0	475.0	475.0	475.0	0.475	0.475	0.475	327.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
sea	snv1	1	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	1351	5236	1201.0	792.0	792.0	792.0	0.792	0.792	0.792	337.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
sea	snv1	2	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	958	5873	1086.0	687.0	687.0	687.0	0.687	0.687	0.687	322.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
sea	snv1	3	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	888	5710	995.0	606.0	606.0	606.0	0.605	0.605	0.605	316.0	GigabitEthernet0/0	4900.0	8272.0	0.0	0.0	0.0	0.0	0.0	0.0
