src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
wash	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1200	5357	1107.0	772.0	772.0	772.0	0.771	0.771	0.771	301.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	2701	6743	1719.0	1387.0	1387.0	1387.0	1.386	1.386	1.386	299.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	4304	9023	2526.0	2195.0	2195.0	2195.0	2.194	2.194	2.194	298.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1616	6356	1243.0	896.0	896.0	896.0	0.896	0.896	0.896	314.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2616	8321	1780.0	1433.0	1433.0	1433.0	1.432	1.432	1.432	313.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4826	11605	3016.0	2674.0	2674.0	2674.0	2.673	2.673	2.673	312.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1506	6263	1323.0	963.0	963.0	963.0	0.963	0.963	0.963	327.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	3351	8572	2194.0	1850.0	1850.0	1850.0	1.85	1.85	1.85	314.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	6034	12577	3559.0	3200.0	3200.0	3200.0	3.199	3.199	3.199	322.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1696	5803	1354.0	993.0	993.0	993.0	0.992	0.992	0.992	326.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	3438	9068	2139.0	1769.0	1769.0	1769.0	1.768	1.768	1.768	332.0	GigabitEthernet0/0	4969.0	8341.0	0.0	0.0	0.0	0.0	0.0	0.0
