src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
wash	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1699	7583	1317.0	986.0	986.0	986.0	0.985	0.985	0.985	297.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	2495	7570	1807.0	1448.0	1448.0	1448.0	1.447	1.447	1.447	325.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	4558	10706	2754.0	2411.0	2411.0	2411.0	2.411	2.411	2.411	308.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1415	5884	1267.0	900.0	900.0	900.0	0.899	0.899	0.899	323.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2617	7875	1778.0	1423.0	1423.0	1423.0	1.423	1.423	1.423	321.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4316	9793	2604.0	2249.0	2249.0	2249.0	2.248	2.248	2.248	322.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1676	6181	1300.0	947.0	947.0	947.0	0.946	0.946	0.946	320.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2789	8527	1861.0	1470.0	1470.0	1470.0	1.47	1.47	1.47	355.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
wash	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4647	11638	2849.0	2494.0	2494.0	2494.0	2.493	2.493	2.493	320.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1645	5616	1294.0	938.0	938.0	938.0	0.937	0.937	0.937	320.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	2690	8051	1969.0	1611.0	1611.0	1611.0	1.61	1.61	1.61	325.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	wash	3	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	5116	11110	3096.0	2740.0	2740.0	2740.0	2.739	2.739	2.739	321.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1394	5178	1201.0	857.0	857.0	857.0	0.857	0.857	0.857	314.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	2799	7459	1876.0	1526.0	1526.0	1526.0	1.525	1.525	1.525	314.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	5322	11370	2939.0	2595.0	2595.0	2595.0	2.595	2.595	2.595	310.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1623	6054	1361.0	995.0	995.0	995.0	0.995	0.995	0.995	329.0	GigabitEthernet0/0	4969.0	8410.0	0.0	0.0	0.0	0.0	0.0	0.0
