src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
limbazi	daugapils	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	203	3951	708.0	312.0	312.0	312.0	0.312	0.312	0.312	317.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	daugapils	2	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	270	5376	704.0	332.0	332.0	332.0	0.332	0.332	0.332	297.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	daugapils	3	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	161	4522	649.0	276.0	276.0	276.0	0.275	0.275	0.275	300.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	158	1584	678.0	268.0	268.0	268.0	0.267	0.267	0.267	335.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	116	1416	653.0	244.0	244.0	244.0	0.243	0.243	0.243	334.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	287	4092	740.0	332.0	332.0	332.0	0.331	0.331	0.331	334.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	162	1547	672.0	259.0	259.0	259.0	0.258	0.258	0.258	340.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	116	1416	649.0	243.0	243.0	243.0	0.243	0.243	0.243	333.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	102	2459	669.0	258.0	258.0	258.0	0.258	0.258	0.258	336.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	1	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	289	3039	697.0	327.0	327.0	327.0	0.326	0.326	0.326	296.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	2	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	394	4516	755.0	377.0	377.0	377.0	0.376	0.376	0.376	301.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	3	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	251	4154	684.0	308.0	308.0	308.0	0.308	0.308	0.308	303.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
riga	limbazi	1	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	342	3864	704.0	334.0	334.0	334.0	0.333	0.333	0.333	296.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
riga	limbazi	2	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	262	3800	704.0	309.0	309.0	309.0	0.308	0.308	0.308	312.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
riga	limbazi	3	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	278	4353	703.0	331.0	331.0	331.0	0.331	0.331	0.331	298.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
riga	daugapils	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	288	4089	695.0	327.0	327.0	327.0	0.326	0.326	0.326	295.0	GigabitEthernet0/0	5420.0	8660.0	0.0	0.0	0.0	0.0	0.0	0.0
