src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
limbazi	daugapils	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	417	3547	730.0	392.0	392.0	392.0	0.391	0.391	0.391	304.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	daugapils	2	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	368	3710	702.0	371.0	371.0	371.0	0.371	0.371	0.371	302.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	daugapils	3	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	503	3090	771.0	397.0	397.0	397.0	0.397	0.397	0.397	302.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	431	3327	757.0	388.0	388.0	388.0	0.388	0.388	0.388	337.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	435	3475	731.0	366.0	366.0	366.0	0.365	0.365	0.365	336.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	272	2837	764.0	347.0	347.0	347.0	0.345	0.345	0.345	338.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	541	3983	766.0	399.0	399.0	399.0	0.399	0.399	0.399	334.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	514	3867	775.0	408.0	408.0	408.0	0.407	0.407	0.407	333.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	453	2859	808.0	398.0	398.0	398.0	0.397	0.397	0.397	335.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	1	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	314	2052	665.0	339.0	339.0	339.0	0.339	0.339	0.339	293.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	2	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	432	3035	713.0	391.0	391.0	391.0	0.391	0.391	0.391	291.0	GigabitEthernet0/0	5490.0	8730.0	0.0	0.0	0.0	0.0	0.0	0.0
