src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
limbazi	daugapils	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	386	1924	662.0	329.0	329.0	329.0	0.328	0.328	0.328	300.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	daugapils	2	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	403	2267	681.0	346.0	346.0	346.0	0.345	0.345	0.345	296.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	daugapils	3	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	522	4188	811.0	440.0	440.0	440.0	0.439	0.439	0.439	298.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	364	2266	705.0	334.0	334.0	334.0	0.334	0.334	0.334	337.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	481	2288	733.0	362.0	362.0	362.0	0.361	0.361	0.361	336.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	501	3517	815.0	404.0	404.0	404.0	0.404	0.404	0.404	335.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	394	2499	725.0	355.0	355.0	355.0	0.354	0.354	0.354	338.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	580	3245	781.0	408.0	408.0	408.0	0.407	0.407	0.407	341.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	144	1815	699.0	288.0	288.0	288.0	0.288	0.288	0.288	335.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	1	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	392	2801	701.0	370.0	370.0	370.0	0.369	0.369	0.369	300.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	2	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	473	4124	760.0	434.0	434.0	434.0	0.433	0.433	0.433	294.0	GigabitEthernet0/0	5490.0	8800.0	0.0	0.0	0.0	0.0	0.0	0.0
