src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
lyon	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	249	1211	377.0	148.0	148.0	148.0	0.148	0.148	0.148	177.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	373	1565	398.0	164.0	164.0	164.0	0.163	0.163	0.163	183.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	722	3152	501.0	279.0	279.0	279.0	0.279	0.279	0.279	185.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	496	1919	425.0	211.0	211.0	211.0	0.21	0.21	0.21	178.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1543	4098	769.0	559.0	559.0	559.0	0.558	0.558	0.558	174.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	134	1558	347.0	133.0	133.0	133.0	0.132	0.132	0.132	177.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	496	1919	435.0	219.0	219.0	219.0	0.218	0.218	0.218	178.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1543	4098	792.0	580.0	580.0	580.0	0.579	0.579	0.579	178.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	134	1558	351.0	138.0	138.0	138.0	0.137	0.137	0.137	175.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	354	2232	403.0	200.0	200.0	200.0	0.199	0.199	0.199	167.0	GigabitEthernet0/0	2223.0	4024.0	0.0	0.0	0.0	0.0	0.0	0.0
