src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
lyon	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	858	2061	539.0	300.0	300.0	300.0	0.3	0.3	0.3	214.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1475	3770	737.0	540.0	540.0	540.0	0.54	0.54	0.54	175.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	2809	5803	1189.0	996.0	996.0	996.0	0.995	0.995	0.995	172.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	932	2784	567.0	355.0	355.0	355.0	0.355	0.355	0.355	177.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1886	4891	887.0	687.0	687.0	687.0	0.686	0.686	0.686	179.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1930	4977	808.0	614.0	614.0	614.0	0.613	0.613	0.613	173.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	917	2981	538.0	339.0	339.0	339.0	0.338	0.338	0.338	177.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1686	3933	751.0	560.0	560.0	560.0	0.559	0.559	0.559	171.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	2768	5990	1110.0	917.0	917.0	917.0	0.916	0.916	0.916	174.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	819	2351	512.0	322.0	322.0	322.0	0.321	0.321	0.321	168.0	GigabitEthernet0/0	2257.0	4058.0	0.0	0.0	0.0	0.0	0.0	0.0
