src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
lyon	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	861	2773	514.0	320.0	320.0	320.0	0.319	0.319	0.319	173.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1993	4348	834.0	642.0	642.0	642.0	0.641	0.641	0.641	172.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1848	4902	860.0	659.0	659.0	659.0	0.658	0.658	0.658	179.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	958	3380	555.0	360.0	360.0	360.0	0.36	0.36	0.36	174.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1859	4574	803.0	608.0	608.0	608.0	0.608	0.608	0.608	174.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	2726	5313	1044.0	845.0	845.0	845.0	0.845	0.845	0.845	176.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	945	2644	538.0	342.0	342.0	342.0	0.342	0.342	0.342	176.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1750	4374	729.0	530.0	530.0	530.0	0.529	0.529	0.529	175.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	2306	4937	1002.0	798.0	798.0	798.0	0.798	0.798	0.798	182.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1059	2921	537.0	352.0	352.0	352.0	0.352	0.352	0.352	165.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	2269	4658	902.0	711.0	711.0	711.0	0.71	0.71	0.71	172.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	2656	5395	1034.0	853.0	853.0	853.0	0.852	0.852	0.852	164.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1023	2344	508.0	311.0	311.0	311.0	0.31	0.31	0.31	179.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1484	3550	720.0	522.0	522.0	522.0	0.521	0.521	0.521	177.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	2209	5173	915.0	716.0	716.0	716.0	0.715	0.715	0.715	177.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1011	2936	563.0	373.0	373.0	373.0	0.372	0.372	0.372	168.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1667	3588	754.0	565.0	565.0	565.0	0.564	0.564	0.564	170.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	2374	4789	1014.0	830.0	830.0	830.0	0.83	0.83	0.83	164.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	953	2596	520.0	339.0	339.0	339.0	0.338	0.338	0.338	162.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	1762	4015	732.0	552.0	552.0	552.0	0.551	0.551	0.551	161.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	993	3440	547.0	352.0	352.0	352.0	0.351	0.351	0.351	161.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	891	2109	494.0	319.0	319.0	319.0	0.318	0.318	0.318	157.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	1537	3201	711.0	535.0	535.0	535.0	0.534	0.534	0.534	160.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	952	3660	539.0	345.0	345.0	345.0	0.345	0.345	0.345	159.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1054	3252	541.0	368.0	368.0	368.0	0.368	0.368	0.368	156.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1879	4147	767.0	591.0	591.0	591.0	0.59	0.59	0.59	159.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	2254	4927	948.0	753.0	753.0	753.0	0.753	0.753	0.753	160.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1062	2898	574.0	386.0	386.0	386.0	0.386	0.386	0.386	170.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1707	3912	776.0	588.0	588.0	588.0	0.588	0.588	0.588	170.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	1671	4212	827.0	622.0	622.0	622.0	0.621	0.621	0.621	169.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1077	3078	559.0	362.0	362.0	362.0	0.361	0.361	0.361	178.0	GigabitEthernet0/0	2257.0	4092.0	0.0	0.0	0.0	0.0	0.0	0.0
