src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	9186	103131	12553.0	11261.0	11261.0	11261.0	11.26	11.26	11.26	984.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	14796	147618	17880.0	16622.0	16622.0	16622.0	16.622	16.622	16.622	957.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	21710	173178	21521.0	20263.0	20263.0	20263.0	20.262	20.262	20.262	960.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	13346	139088	18693.0	17405.0	17405.0	17405.0	17.405	17.405	17.405	979.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	13585	159295	17720.0	16442.0	16442.0	16442.0	16.441	16.441	16.441	970.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	14023	160414	17342.0	16029.0	16029.0	16029.0	16.028	16.028	16.028	991.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	11183	132241	16020.0	14558.0	14558.0	14558.0	14.558	14.558	14.558	1111.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	15624	160995	19920.0	18501.0	18501.0	18501.0	18.5	18.5	18.5	1072.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	18238	187968	23891.0	22466.0	22466.0	22466.0	22.465	22.465	22.465	1078.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	sat	15105	154411	19067.0	17749.0	17749.0	17749.0	17.748	17.748	17.748	1009.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	sat	13249	143919	17543.0	16244.0	16244.0	16244.0	16.243	16.243	16.243	995.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	sat	18870	187226	23056.0	21750.0	21750.0	21750.0	21.749	21.749	21.749	1001.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	sat	11685	150797	18223.0	16938.0	16938.0	16938.0	16.937	16.937	16.937	992.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	sat	16682	177030	21339.0	20097.0	20097.0	20097.0	20.096	20.096	20.096	953.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	sat	21555	197913	24880.0	23626.0	23626.0	23626.0	23.625	23.625	23.625	959.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	12857	143316	18122.0	16841.0	16841.0	16841.0	16.841	16.841	16.841	989.0	GigabitEthernet0/0	22450.0	31052.0	0.0	0.0	0.0	0.0	0.0	0.0
