src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	19700	131236	21295.0	20255.0	20255.0	20255.0	20.254	20.254	20.254	985.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	108916	490474	112689.0	111618.0	111618.0	111618.0	111.617	111.617	111.617	1014.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	376822	1231045	379787.0	378611.0	378611.0	378611.0	378.61	378.61	378.61	1087.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	20002	142418	24681.0	23643.0	23643.0	23643.0	23.642	23.642	23.642	976.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	102448	435675	104841.0	103820.0	103820.0	103820.0	103.819	103.819	103.819	968.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	442757	1443342	470142.0	469067.0	469067.0	469067.0	469.066	469.066	469.066	1014.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	21013	149222	23381.0	22345.0	22345.0	22345.0	22.344	22.344	22.344	980.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	106270	484198	109637.0	108631.0	108631.0	108631.0	108.63	108.63	108.63	949.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	304858	1002461	316140.0	315120.0	315120.0	315120.0	315.119	315.119	315.119	962.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	24266	178635	29203.0	28097.0	28097.0	28097.0	28.096	28.096	28.096	1052.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	98526	471069	103427.0	102289.0	102289.0	102289.0	102.288	102.288	102.288	1079.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	451697	1416677	472110.0	471048.0	471048.0	471048.0	471.047	471.047	471.047	1003.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	19731	142545	22552.0	21493.0	21493.0	21493.0	21.492	21.492	21.492	1001.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	127514	549766	133357.0	132320.0	132320.0	132320.0	132.32	132.32	132.32	984.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	429445	1374788	448311.0	447258.0	447258.0	447258.0	447.258	447.258	447.258	995.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	20748	179621	26327.0	25318.0	25318.0	25318.0	25.318	25.318	25.318	955.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	120826	517187	129702.0	128697.0	128697.0	128697.0	128.697	128.697	128.697	949.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	423543	1317747	442710.0	441707.0	441707.0	441707.0	441.707	441.707	441.707	948.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	1	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	22372	153079	27065.0	26061.0	26061.0	26061.0	26.06	26.06	26.06	948.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	2	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	92838	374004	93606.0	92613.0	92613.0	92613.0	92.612	92.612	92.612	941.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	3	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	sat	357898	1227549	378709.0	377399.0	377399.0	377399.0	377.398	377.398	377.398	1032.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	hawkinsville	1	IpWildcardIpSpace{ipWildcard=200.4.233.0/24}	unsat	23894	168207	30511.0	29504.0	29504.0	29504.0	29.503	29.503	29.503	953.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	hawkinsville	2	IpWildcardIpSpace{ipWildcard=200.4.233.0/24}	unsat	115752	489708	130531.0	129482.0	129482.0	129482.0	129.482	129.482	129.482	987.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	hawkinsville	3	IpWildcardIpSpace{ipWildcard=200.4.233.0/24}	sat	42861	313988	55138.0	53887.0	53887.0	53887.0	53.886	53.886	53.886	968.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
raleigh	myrtlettbeach	1	IpWildcardIpSpace{ipWildcard=200.4.243.0/24}	unsat	19880	141063	23665.0	22571.0	22571.0	22571.0	22.57	22.57	22.57	1040.0	GigabitEthernet0/0	22624.0	31226.0	0.0	0.0	0.0	0.0	0.0	0.0
