src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	21420	153133	25076.0	23962.0	23962.0	23962.0	23.962	23.962	23.962	1045.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	99572	429676	101528.0	100490.0	100490.0	100490.0	100.49	100.49	100.49	975.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	392996	1293404	395700.0	394556.0	394556.0	394556.0	394.555	394.555	394.555	1087.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	20764	141843	24285.0	23171.0	23171.0	23171.0	23.17	23.17	23.17	1047.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	99113	468901	104830.0	103798.0	103798.0	103798.0	103.798	103.798	103.798	970.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	430516	1348584	451536.0	450508.0	450508.0	450508.0	450.507	450.507	450.507	973.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	23017	159582	28831.0	27773.0	27773.0	27773.0	27.773	27.773	27.773	970.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	108012	461720	113157.0	112130.0	112130.0	112130.0	112.129	112.129	112.129	963.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	340831	1045902	349608.0	348538.0	348538.0	348538.0	348.538	348.538	348.538	1011.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	22982	164639	27810.0	26745.0	26745.0	26745.0	26.744	26.744	26.744	1007.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	143734	655884	154885.0	153841.0	153841.0	153841.0	153.84	153.84	153.84	989.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	432538	1415062	460860.0	459791.0	459791.0	459791.0	459.791	459.791	459.791	1009.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	21472	174080	27750.0	26633.0	26633.0	26633.0	26.632	26.632	26.632	1061.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	81628	374996	84071.0	82946.0	82946.0	82946.0	82.945	82.945	82.945	1061.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	459000	1491181	487365.0	486233.0	486233.0	486233.0	486.232	486.232	486.232	1069.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	21971	167750	28292.0	27270.0	27270.0	27270.0	27.269	27.269	27.269	966.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	110841	469803	123230.0	122226.0	122226.0	122226.0	122.225	122.225	122.225	948.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	428910	1345483	466611.0	465574.0	465574.0	465574.0	465.573	465.573	465.573	977.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	1	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	22092	147316	25353.0	24331.0	24331.0	24331.0	24.331	24.331	24.331	964.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	2	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	104611	458734	107531.0	106527.0	106527.0	106527.0	106.526	106.526	106.526	944.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	3	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	sat	132854	587631	139974.0	138624.0	138624.0	138624.0	138.624	138.624	138.624	1023.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	hawkinsville	1	IpWildcardIpSpace{ipWildcard=200.4.233.0/24}	unsat	27496	174357	33736.0	32709.0	32709.0	32709.0	32.709	32.709	32.709	966.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	hawkinsville	2	IpWildcardIpSpace{ipWildcard=200.4.233.0/24}	unsat	120662	522635	132893.0	131876.0	131876.0	131876.0	131.876	131.876	131.876	957.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	hawkinsville	3	IpWildcardIpSpace{ipWildcard=200.4.233.0/24}	sat	192037	781016	210563.0	209169.0	209169.0	209169.0	209.169	209.169	209.169	1057.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
raleigh	myrtlettbeach	1	IpWildcardIpSpace{ipWildcard=200.4.243.0/24}	unsat	20191	130937	24213.0	23143.0	23143.0	23143.0	23.142	23.142	23.142	1010.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
raleigh	myrtlettbeach	2	IpWildcardIpSpace{ipWildcard=200.4.243.0/24}	unsat	118473	508825	124409.0	123368.0	123368.0	123368.0	123.368	123.368	123.368	981.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
raleigh	myrtlettbeach	3	IpWildcardIpSpace{ipWildcard=200.4.243.0/24}	sat	246076	1029170	268072.0	266815.0	266815.0	266815.0	266.814	266.814	266.814	975.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
fayetteville	chester	1	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	20915	151933	25746.0	24719.0	24719.0	24719.0	24.718	24.718	24.718	970.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
fayetteville	chester	2	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	114896	551390	124693.0	123678.0	123678.0	123678.0	123.678	123.678	123.678	954.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
fayetteville	chester	3	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	sat	399839	1340436	413877.0	412631.0	412631.0	412631.0	412.63	412.63	412.63	968.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
montgomery	nahunta	1	IpWildcardIpSpace{ipWildcard=200.5.35.0/24}	unsat	21982	184744	30730.0	29705.0	29705.0	29705.0	29.705	29.705	29.705	971.0	GigabitEthernet0/0	22624.0	31400.0	0.0	0.0	0.0	0.0	0.0	0.0
