SubDir,FileName,Tolerance,TotalTimeSum
arnes,loadbalancing_results.txt,1,28233.000
arnes,loadbalancing_results.txt,2,19227.000
arnes,loadbalancing_results.txt,3,10416.000
arnes,reachability_results.txt,1,33875.000
arnes,reachability_results.txt,2,28830.000
arnes,reachability_results.txt,3,18250.000
arnes,waypoint_results.txt,1,33781.000
arnes,waypoint_results.txt,2,29295.000
arnes,waypoint_results.txt,3,19109.000
bics,loadbalancing_results.txt,1,69949.000
bics,loadbalancing_results.txt,2,49330.000
bics,loadbalancing_results.txt,3,31713.000
bics,reachability_results.txt,1,92855.000
bics,reachability_results.txt,2,125032.000
bics,reachability_results.txt,3,155502.000
bics,waypoint_results.txt,1,93307.000
bics,waypoint_results.txt,2,127098.000
bics,waypoint_results.txt,3,154522.000
cogentco,loadbalancing_results.txt,1,974486.000
cogentco,loadbalancing_results.txt,2,813575.000
cogentco,loadbalancing_results.txt,3,423894.000
cogentco,reachability_results.txt,1,2000815.000
cogentco,reachability_results.txt,2,12263773.000
cogentco,reachability_results.txt,3,49750841.000
cogentco,waypoint_results.txt,1,2156954.000
cogentco,waypoint_results.txt,2,12054014.000
cogentco,waypoint_results.txt,3,48600315.000
colt,loadbalancing_results.txt,1,124723.000
colt,loadbalancing_results.txt,2,67500.000
colt,loadbalancing_results.txt,3,25.000
colt,reachability_results.txt,1,161421.000
colt,reachability_results.txt,2,151923.000
colt,reachability_results.txt,3,20.000
colt,waypoint_results.txt,1,162642.000
colt,waypoint_results.txt,2,155382.000
colt,waypoint_results.txt,3,18.000
columbus,loadbalancing_results.txt,1,177642.000
columbus,loadbalancing_results.txt,2,117908.000
columbus,loadbalancing_results.txt,3,54979.000
columbus,reachability_results.txt,1,3329.000
columbus,reachability_results.txt,2,8359.000
columbus,waypoint_results.txt,1,258987.000
columbus,waypoint_results.txt,2,487582.000
columbus,waypoint_results.txt,3,821039.000
esnet,loadbalancing_results.txt,1,36771.000
esnet,loadbalancing_results.txt,2,20387.000
esnet,loadbalancing_results.txt,3,3963.000
esnet,reachability_results.txt,1,43009.000
esnet,reachability_results.txt,2,32657.000
esnet,reachability_results.txt,3,9162.000
esnet,waypoint_results.txt,1,42914.000
esnet,waypoint_results.txt,2,33686.000
esnet,waypoint_results.txt,3,9338.000
latnet,loadbalancing_results.txt,1,13979.000
latnet,loadbalancing_results.txt,2,2930.000
latnet,loadbalancing_results.txt,3,14.000
latnet,reachability_results.txt,1,13077.000
latnet,reachability_results.txt,2,2686.000
latnet,reachability_results.txt,3,18.000
latnet,waypoint_results.txt,1,12897.000
latnet,waypoint_results.txt,2,2644.000
latnet,waypoint_results.txt,3,10.000
renater,loadbalancing_results.txt,1,17081.000
renater,loadbalancing_results.txt,2,8729.000
renater,loadbalancing_results.txt,3,2527.000
renater,reachability_results.txt,1,21137.000
renater,reachability_results.txt,2,12869.000
renater,reachability_results.txt,3,4167.000
renater,waypoint_results.txt,1,21481.000
renater,waypoint_results.txt,2,13228.000
renater,waypoint_results.txt,3,4049.000
uscarrier,loadbalancing_results.txt,1,298796.000
uscarrier,loadbalancing_results.txt,2,186161.000
uscarrier,loadbalancing_results.txt,3,38144.000
uscarrier,reachability_results.txt,1,445594.000
uscarrier,reachability_results.txt,2,867559.000
uscarrier,reachability_results.txt,3,895616.000
uscarrier,waypoint_results.txt,1,459250.000
uscarrier,waypoint_results.txt,2,875742.000
uscarrier,waypoint_results.txt,3,767735.000
