src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
celje	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	718	1742	439.0	204.0	204.0	204.0	0.204	0.204	0.204	188.0	GigabitEthernet0/0	2357.0	4194.0	0.0	83946.0	196680.0	47.0	27.0	15.0
celje	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	320	1092	336.0	114.0	114.0	114.0	0.113	0.113	0.113	186.0	GigabitEthernet0/0	2357.0	4194.0	0.0	75675.0	198785.0	47.0	27.0	15.0
celje	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	579	1316	411.0	189.0	189.0	189.0	0.189	0.189	0.189	185.0	GigabitEthernet0/0	2357.0	4194.0	0.0	77660.0	211539.0	47.0	27.0	15.0
divaca	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	387	1332	427.0	200.0	200.0	200.0	0.199	0.199	0.199	186.0	GigabitEthernet0/0	2357.0	4202.0	1.0	109429.0	377854.0	47.0	43.0	23.0
divaca	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	418	1204	419.0	183.0	183.0	183.0	0.183	0.183	0.183	193.0	GigabitEthernet0/0	2357.0	4202.0	0.0	100406.0	297315.0	47.0	43.0	23.0
divaca	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	567	1652	436.0	210.0	210.0	210.0	0.21	0.21	0.21	186.0	GigabitEthernet0/0	2357.0	4202.0	0.0	105781.0	261098.0	47.0	43.0	23.0
lasko	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	147	598	311.0	95.0	95.0	95.0	0.094	0.094	0.094	182.0	GigabitEthernet0/0	2357.0	4193.0	1.0	70506.0	118650.0	47.0	27.0	14.0
lasko	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	339	1080	348.0	129.0	129.0	129.0	0.129	0.129	0.129	181.0	GigabitEthernet0/0	2357.0	4193.0	0.0	112523.0	187023.0	47.0	27.0	14.0
lasko	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	562	1746	406.0	184.0	184.0	184.0	0.183	0.183	0.183	184.0	GigabitEthernet0/0	2357.0	4193.0	1.0	72835.0	117321.0	47.0	27.0	14.0
lasko	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	690	1781	466.0	251.0	251.0	251.0	0.251	0.251	0.251	177.0	GigabitEthernet0/0	2357.0	4202.0	0.0	98488.0	175818.0	47.0	43.0	23.0
lasko	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	806	1910	483.0	270.0	270.0	270.0	0.27	0.27	0.27	178.0	GigabitEthernet0/0	2357.0	4202.0	0.0	98704.0	161301.0	47.0	43.0	23.0
lasko	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	2810	5486	986.0	776.0	776.0	776.0	0.776	0.776	0.776	175.0	GigabitEthernet0/0	2357.0	4202.0	0.0	95952.0	161473.0	47.0	43.0	23.0
koper	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	51	150	276.0	53.0	53.0	53.0	0.052	0.052	0.052	187.0	GigabitEthernet0/0	2357.0	4188.0	0.0	58298.0	104787.0	47.0	16.0	9.0
koper	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	45	163	269.0	54.0	54.0	54.0	0.054	0.054	0.054	179.0	GigabitEthernet0/0	2357.0	4188.0	0.0	53814.0	83499.0	47.0	16.0	9.0
koper	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	219	822	294.0	81.0	81.0	81.0	0.081	0.081	0.081	179.0	GigabitEthernet0/0	2357.0	4188.0	0.0	53011.0	79954.0	47.0	16.0	9.0
maribor	divaca	1	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	1359	3521	573.0	365.0	365.0	365.0	0.365	0.365	0.365	173.0	GigabitEthernet0/0	2357.0	4202.0	0.0	97737.0	163428.0	47.0	43.0	23.0
maribor	divaca	2	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	834	2459	493.0	285.0	285.0	285.0	0.284	0.284	0.284	174.0	GigabitEthernet0/0	2357.0	4202.0	0.0	95752.0	160937.0	47.0	43.0	23.0
maribor	divaca	3	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	531	2382	436.0	225.0	225.0	225.0	0.225	0.225	0.225	173.0	GigabitEthernet0/0	2357.0	4202.0	0.0	96696.0	164260.0	47.0	43.0	23.0
divaca	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	88	232	267.0	60.0	60.0	60.0	0.06	0.06	0.06	172.0	GigabitEthernet0/0	2357.0	4189.0	1.0	52852.0	86196.0	47.0	16.0	10.0
divaca	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	178	504	276.0	70.0	70.0	70.0	0.07	0.07	0.07	172.0	GigabitEthernet0/0	2357.0	4189.0	0.0	53096.0	79797.0	47.0	16.0	10.0
divaca	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	167	504	277.0	69.0	69.0	69.0	0.069	0.069	0.069	172.0	GigabitEthernet0/0	2357.0	4189.0	1.0	51510.0	78910.0	47.0	16.0	10.0
celje	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	449	1096	381.0	155.0	155.0	155.0	0.154	0.154	0.154	190.0	GigabitEthernet0/0	2357.0	4193.0	0.0	68333.0	110793.0	47.0	27.0	14.0
celje	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	780	2276	445.0	236.0	236.0	236.0	0.235	0.235	0.235	174.0	GigabitEthernet0/0	2357.0	4193.0	1.0	62803.0	113605.0	47.0	27.0	14.0
celje	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	330	1248	329.0	123.0	123.0	123.0	0.122	0.122	0.122	173.0	GigabitEthernet0/0	2357.0	4193.0	1.0	69976.0	108857.0	47.0	27.0	14.0
maribor	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	192	850	306.0	101.0	101.0	101.0	0.099	0.099	0.099	171.0	GigabitEthernet0/0	2357.0	4194.0	0.0	59237.0	107927.0	47.0	27.0	15.0
maribor	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	340	1126	337.0	134.0	134.0	134.0	0.133	0.133	0.133	172.0	GigabitEthernet0/0	2357.0	4194.0	0.0	61372.0	103818.0	47.0	27.0	15.0
maribor	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	882	2017	465.0	260.0	260.0	260.0	0.259	0.259	0.259	173.0	GigabitEthernet0/0	2357.0	4194.0	0.0	56732.0	111625.0	47.0	27.0	15.0
maribor	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1008	2419	510.0	306.0	306.0	306.0	0.306	0.306	0.306	170.0	GigabitEthernet0/0	2357.0	4202.0	0.0	78380.0	150012.0	47.0	43.0	23.0
maribor	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	904	2820	502.0	294.0	294.0	294.0	0.294	0.294	0.294	173.0	GigabitEthernet0/0	2357.0	4202.0	0.0	89478.0	160920.0	47.0	43.0	23.0
maribor	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	716	2498	471.0	265.0	265.0	265.0	0.264	0.264	0.264	172.0	GigabitEthernet0/0	2357.0	4202.0	1.0	79202.0	148282.0	47.0	43.0	23.0
divaca	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	885	2132	505.0	297.0	297.0	297.0	0.296	0.296	0.296	175.0	GigabitEthernet0/0	2357.0	4202.0	0.0	72459.0	145304.0	47.0	43.0	23.0
divaca	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	1062	2707	519.0	314.0	314.0	314.0	0.314	0.314	0.314	171.0	GigabitEthernet0/0	2357.0	4202.0	0.0	83897.0	172924.0	47.0	43.0	23.0
