src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
celje	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	664	1565	550.0	184.0	184.0	184.0	0.183	0.183	0.183	289.0	GigabitEthernet0/0	2392.0	4229.0	3.0	981901.0	2409555.0	47.0	27.0	15.0
celje	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1555	2757	573.0	333.0	333.0	333.0	0.333	0.333	0.333	213.0	GigabitEthernet0/0	2392.0	4229.0	0.0	130964.0	242510.0	47.0	27.0	15.0
celje	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1089	1935	527.0	298.0	298.0	298.0	0.297	0.297	0.297	195.0	GigabitEthernet0/0	2392.0	4229.0	1.0	105777.0	226717.0	47.0	27.0	15.0
divaca	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1285	3357	568.0	369.0	369.0	369.0	0.369	0.369	0.369	181.0	GigabitEthernet0/0	2392.0	4237.0	1.0	115022.0	259268.0	47.0	43.0	23.0
divaca	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2466	4491	875.0	671.0	671.0	671.0	0.671	0.671	0.671	184.0	GigabitEthernet0/0	2392.0	4237.0	0.0	117052.0	211620.0	47.0	43.0	23.0
divaca	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2791	6840	976.0	777.0	777.0	777.0	0.777	0.777	0.777	181.0	GigabitEthernet0/0	2392.0	4237.0	0.0	103953.0	327071.0	47.0	43.0	23.0
lasko	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	618	1481	383.0	175.0	175.0	175.0	0.175	0.175	0.175	187.0	GigabitEthernet0/0	2392.0	4228.0	0.0	84367.0	183775.0	47.0	27.0	14.0
lasko	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1162	2217	490.0	281.0	281.0	281.0	0.28	0.28	0.28	188.0	GigabitEthernet0/0	2392.0	4228.0	0.0	88471.0	141077.0	47.0	27.0	14.0
lasko	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1115	2054	508.0	311.0	311.0	311.0	0.31	0.31	0.31	179.0	GigabitEthernet0/0	2392.0	4228.0	1.0	75167.0	115100.0	47.0	27.0	14.0
lasko	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1330	3034	585.0	387.0	387.0	387.0	0.386	0.386	0.386	181.0	GigabitEthernet0/0	2392.0	4237.0	0.0	113254.0	159737.0	47.0	43.0	23.0
lasko	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	2294	4255	827.0	629.0	629.0	629.0	0.628	0.628	0.628	182.0	GigabitEthernet0/0	2392.0	4237.0	0.0	100540.0	158863.0	47.0	43.0	23.0
lasko	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	3723	6134	1203.0	1004.0	1004.0	1004.0	1.003	1.003	1.003	180.0	GigabitEthernet0/0	2392.0	4237.0	0.0	122479.0	180185.0	47.0	43.0	23.0
koper	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	401	809	305.0	106.0	106.0	106.0	0.105	0.105	0.105	182.0	GigabitEthernet0/0	2392.0	4223.0	0.0	52084.0	81841.0	47.0	16.0	9.0
koper	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	385	727	308.0	109.0	109.0	109.0	0.108	0.108	0.108	183.0	GigabitEthernet0/0	2392.0	4223.0	0.0	53283.0	85740.0	47.0	16.0	9.0
koper	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	435	904	315.0	108.0	108.0	108.0	0.108	0.108	0.108	187.0	GigabitEthernet0/0	2392.0	4223.0	0.0	55828.0	92743.0	47.0	16.0	9.0
