src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	2005	4968	1349.0	659.0	659.0	659.0	0.658	0.658	0.658	429.0	GigabitEthernet0/0	6933.0	9474.0	0.0	126664.0	239029.0	64.0	42.0	32.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	334	1167	796.0	226.0	226.0	226.0	0.226	0.226	0.226	453.0	GigabitEthernet0/0	6933.0	9474.0	0.0	137753.0	243916.0	64.0	42.0	32.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	1276	4572	1008.0	463.0	463.0	463.0	0.463	0.463	0.463	428.0	GigabitEthernet0/0	6933.0	9474.0	1.0	109725.0	217648.0	64.0	42.0	32.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	1122	3395	984.0	433.0	433.0	433.0	0.433	0.433	0.433	427.0	GigabitEthernet0/0	6933.0	9474.0	0.0	88853.0	263673.0	64.0	42.0	32.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	334	1167	754.0	219.0	219.0	219.0	0.218	0.218	0.218	422.0	GigabitEthernet0/0	6933.0	9474.0	0.0	84295.0	186039.0	64.0	42.0	32.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	6072	11109	2609.0	2077.0	2077.0	2077.0	2.077	2.077	2.077	417.0	GigabitEthernet0/0	6933.0	9474.0	0.0	82987.0	150241.0	64.0	42.0	32.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	1065	3455	953.0	394.0	394.0	394.0	0.393	0.393	0.393	446.0	GigabitEthernet0/0	6933.0	9474.0	0.0	95066.0	159009.0	64.0	42.0	32.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	334	1167	739.0	214.0	214.0	214.0	0.214	0.214	0.214	414.0	GigabitEthernet0/0	6933.0	9474.0	0.0	85465.0	180151.0	64.0	42.0	32.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	6071	11085	2609.0	2089.0	2089.0	2089.0	2.088	2.088	2.088	409.0	GigabitEthernet0/0	6933.0	9474.0	0.0	88823.0	168916.0	64.0	42.0	32.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	sat	1163	3558	966.0	450.0	450.0	450.0	0.449	0.449	0.449	411.0	GigabitEthernet0/0	6933.0	9474.0	1.0	83335.0	147716.0	64.0	42.0	32.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	sat	815	2790	869.0	345.0	345.0	345.0	0.344	0.344	0.344	414.0	GigabitEthernet0/0	6933.0	9474.0	0.0	84839.0	164464.0	64.0	42.0	32.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	sat	2647	7111	1376.0	842.0	842.0	842.0	0.842	0.842	0.842	424.0	GigabitEthernet0/0	6933.0	9474.0	1.0	94830.0	159886.0	64.0	42.0	32.0
frankfurt	amsterdam	1	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	442	1863	749.0	238.0	238.0	238.0	0.237	0.237	0.237	401.0	GigabitEthernet0/0	6933.0	9474.0	0.0	80906.0	156388.0	64.0	42.0	32.0
frankfurt	amsterdam	2	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	1775	5046	1139.0	615.0	615.0	615.0	0.614	0.614	0.614	417.0	GigabitEthernet0/0	6933.0	9474.0	1.0	86938.0	160139.0	64.0	42.0	32.0
