src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2150	4965	1320.0	687.0	687.0	687.0	0.685	0.685	0.685	543.0	GigabitEthernet0/0	6982.0	9523.0	4.0	1150813.0	2510916.0	64.0	42.0	32.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	4842	9314	1895.0	1406.0	1406.0	1406.0	1.405	1.405	1.405	441.0	GigabitEthernet0/0	6982.0	9523.0	1.0	155139.0	447811.0	64.0	42.0	32.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	14716	21311	5074.0	4609.0	4609.0	4609.0	4.609	4.609	4.609	423.0	GigabitEthernet0/0	6982.0	9523.0	0.0	133763.0	343756.0	64.0	42.0	32.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2321	6320	1220.0	753.0	753.0	753.0	0.752	0.752	0.752	424.0	GigabitEthernet0/0	6982.0	9523.0	0.0	112037.0	300525.0	64.0	42.0	32.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5298	10153	2165.0	1697.0	1697.0	1697.0	1.696	1.696	1.696	430.0	GigabitEthernet0/0	6982.0	9523.0	0.0	110538.0	358899.0	64.0	42.0	32.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	16411	22681	5811.0	5337.0	5337.0	5337.0	5.336	5.336	5.336	433.0	GigabitEthernet0/0	6982.0	9523.0	1.0	85865.0	196597.0	64.0	42.0	32.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2096	4824	1132.0	673.0	673.0	673.0	0.673	0.673	0.673	420.0	GigabitEthernet0/0	6982.0	9523.0	0.0	89097.0	153228.0	64.0	42.0	32.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5873	10499	2254.0	1791.0	1791.0	1791.0	1.79	1.79	1.79	427.0	GigabitEthernet0/0	6982.0	9523.0	0.0	99556.0	165409.0	64.0	42.0	32.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	15261	21408	5549.0	5094.0	5094.0	5094.0	5.093	5.093	5.093	421.0	GigabitEthernet0/0	6982.0	9523.0	0.0	91270.0	159894.0	64.0	42.0	32.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	2283	4810	1176.0	720.0	720.0	720.0	0.719	0.719	0.719	420.0	GigabitEthernet0/0	6982.0	9523.0	0.0	89595.0	158676.0	64.0	42.0	32.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	4829	8569	2015.0	1565.0	1565.0	1565.0	1.564	1.564	1.564	413.0	GigabitEthernet0/0	6982.0	9523.0	0.0	80227.0	157994.0	64.0	42.0	32.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	16168	21821	6167.0	5706.0	5706.0	5706.0	5.706	5.706	5.706	423.0	GigabitEthernet0/0	6982.0	9523.0	0.0	81358.0	153896.0	64.0	42.0	32.0
frankfurt	amsterdam	1	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	2559	5672	1228.0	790.0	790.0	790.0	0.789	0.789	0.789	401.0	GigabitEthernet0/0	6982.0	9523.0	1.0	96773.0	148713.0	64.0	42.0	32.0
frankfurt	amsterdam	2	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	7118	12163	2767.0	2328.0	2328.0	2328.0	2.327	2.327	2.327	403.0	GigabitEthernet0/0	6982.0	9523.0	0.0	80684.0	169769.0	64.0	42.0	32.0
frankfurt	amsterdam	3	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	15802	21116	5880.0	5438.0	5438.0	5438.0	5.437	5.437	5.437	405.0	GigabitEthernet0/0	6982.0	9523.0	0.0	82366.0	147802.0	64.0	42.0	32.0
milan	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2468	6056	1311.0	839.0	839.0	839.0	0.838	0.838	0.838	427.0	GigabitEthernet0/0	6982.0	9523.0	0.0	120470.0	203217.0	64.0	42.0	32.0
milan	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5673	10531	2381.0	1894.0	1894.0	1894.0	1.894	1.894	1.894	444.0	GigabitEthernet0/0	6982.0	9523.0	0.0	114361.0	225118.0	64.0	42.0	32.0
milan	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	16994	22623	6162.0	5691.0	5691.0	5691.0	5.691	5.691	5.691	429.0	GigabitEthernet0/0	6982.0	9523.0	1.0	109875.0	178613.0	64.0	42.0	32.0
milan	brussels	1	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	2966	6033	1409.0	935.0	935.0	935.0	0.934	0.934	0.934	437.0	GigabitEthernet0/0	6982.0	9523.0	0.0	120413.0	252824.0	64.0	42.0	32.0
milan	brussels	2	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	8489	14515	3089.0	2646.0	2646.0	2646.0	2.646	2.646	2.646	410.0	GigabitEthernet0/0	6982.0	9523.0	0.0	79903.0	143613.0	64.0	42.0	32.0
