src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2754	6442	1326.0	864.0	864.0	864.0	0.863	0.863	0.863	418.0	GigabitEthernet0/0	6982.0	9572.0	0.0	126830.0	373717.0	64.0	42.0	32.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	4943	8574	2091.0	1630.0	1630.0	1630.0	1.63	1.63	1.63	418.0	GigabitEthernet0/0	6982.0	9572.0	0.0	114038.0	342540.0	64.0	42.0	32.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	10936	15978	4314.0	3806.0	3806.0	3806.0	3.806	3.806	3.806	464.0	GigabitEthernet0/0	6982.0	9572.0	0.0	111834.0	226742.0	64.0	42.0	32.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2435	6373	1216.0	753.0	753.0	753.0	0.753	0.753	0.753	423.0	GigabitEthernet0/0	6982.0	9572.0	0.0	90597.0	208380.0	64.0	42.0	32.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5403	9078	2219.0	1757.0	1757.0	1757.0	1.756	1.756	1.756	424.0	GigabitEthernet0/0	6982.0	9572.0	0.0	93375.0	216775.0	64.0	42.0	32.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	15626	21243	5530.0	5056.0	5056.0	5056.0	5.056	5.056	5.056	434.0	GigabitEthernet0/0	6982.0	9572.0	1.0	82984.0	277619.0	64.0	42.0	32.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2099	4880	1144.0	685.0	685.0	685.0	0.684	0.684	0.684	420.0	GigabitEthernet0/0	6982.0	9572.0	0.0	93299.0	193731.0	64.0	42.0	32.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	5283	9412	2016.0	1562.0	1562.0	1562.0	1.562	1.562	1.562	416.0	GigabitEthernet0/0	6982.0	9572.0	0.0	122243.0	170370.0	64.0	42.0	32.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	12987	19498	4954.0	4495.0	4495.0	4495.0	4.494	4.494	4.494	420.0	GigabitEthernet0/0	6982.0	9572.0	0.0	95382.0	159084.0	64.0	42.0	32.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	2162	4609	1144.0	681.0	681.0	681.0	0.681	0.681	0.681	422.0	GigabitEthernet0/0	6982.0	9572.0	1.0	93201.0	158204.0	64.0	42.0	32.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	6161	11146	2490.0	2033.0	2033.0	2033.0	2.033	2.033	2.033	417.0	GigabitEthernet0/0	6982.0	9572.0	0.0	84204.0	158235.0	64.0	42.0	32.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	15093	20614	5537.0	5084.0	5084.0	5084.0	5.083	5.083	5.083	416.0	GigabitEthernet0/0	6982.0	9572.0	0.0	83454.0	155162.0	64.0	42.0	32.0
frankfurt	amsterdam	1	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	2808	5744	1250.0	807.0	807.0	807.0	0.806	0.806	0.806	405.0	GigabitEthernet0/0	6982.0	9572.0	1.0	89982.0	163575.0	64.0	42.0	32.0
frankfurt	amsterdam	2	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	5610	9499	2155.0	1704.0	1704.0	1704.0	1.704	1.704	1.704	408.0	GigabitEthernet0/0	6982.0	9572.0	1.0	86298.0	162101.0	64.0	42.0	32.0
frankfurt	amsterdam	3	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	16512	23140	5914.0	5463.0	5463.0	5463.0	5.462	5.462	5.462	412.0	GigabitEthernet0/0	6982.0	9572.0	0.0	104233.0	157254.0	64.0	42.0	32.0
milan	frankfurt	1	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	2169	4886	1215.0	725.0	725.0	725.0	0.725	0.725	0.725	439.0	GigabitEthernet0/0	6982.0	9572.0	1.0	94448.0	180881.0	64.0	42.0	32.0
milan	frankfurt	2	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	6448	11067	2723.0	2223.0	2223.0	2223.0	2.223	2.223	2.223	457.0	GigabitEthernet0/0	6982.0	9572.0	0.0	86305.0	173874.0	64.0	42.0	32.0
milan	frankfurt	3	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	unsat	18605	25301	6820.0	6327.0	6327.0	6327.0	6.327	6.327	6.327	428.0	GigabitEthernet0/0	6982.0	9572.0	0.0	126297.0	229521.0	64.0	42.0	32.0
milan	brussels	1	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	2739	5950	1345.0	898.0	898.0	898.0	0.897	0.897	0.897	411.0	GigabitEthernet0/0	6982.0	9572.0	0.0	116793.0	206835.0	64.0	42.0	32.0
milan	brussels	2	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	7552	12159	3017.0	2548.0	2548.0	2548.0	2.547	2.547	2.547	413.0	GigabitEthernet0/0	6982.0	9572.0	0.0	82877.0	154558.0	64.0	42.0	32.0
milan	brussels	3	IpWildcardIpSpace{ipWildcard=200.1.46.0/24}	unsat	18013	23681	7191.0	6725.0	6725.0	6725.0	6.725	6.725	6.725	423.0	GigabitEthernet0/0	6982.0	9572.0	0.0	75624.0	141847.0	64.0	42.0	32.0
