src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
london	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	9821	35690	10822.0	9328.0	9328.0	9328.0	9.327	9.327	9.327	1159.0	GigabitEthernet0/0	20547.0	30265.0	1.0	207931.0	555247.0	244.0	185.0	98.0
london	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	18806	50129	19413.0	18064.0	18064.0	18064.0	18.063	18.063	18.063	1046.0	GigabitEthernet0/0	20547.0	30265.0	1.0	209987.0	539371.0	244.0	185.0	98.0
london	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	13094	49300	13376.0	12024.0	12024.0	12024.0	12.023	12.023	12.023	1052.0	GigabitEthernet0/0	20547.0	30265.0	1.0	202797.0	526169.0	244.0	185.0	98.0
boston	montreal	1	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	14287	47380	14362.0	12971.0	12971.0	12971.0	12.97	12.97	12.97	1089.0	GigabitEthernet0/0	20547.0	30265.0	1.0	280727.0	646162.0	244.0	185.0	98.0
boston	montreal	2	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	17647	51283	18478.0	17161.0	17161.0	17161.0	17.161	17.161	17.161	1029.0	GigabitEthernet0/0	20547.0	30265.0	0.0	205791.0	549989.0	244.0	185.0	98.0
boston	montreal	3	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	24859	75199	22791.0	21407.0	21407.0	21407.0	21.407	21.407	21.407	1075.0	GigabitEthernet0/0	20547.0	30265.0	1.0	226387.0	682895.0	244.0	185.0	98.0
albany	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	12067	41808	12027.0	10496.0	10496.0	10496.0	10.496	10.496	10.496	1167.0	GigabitEthernet0/0	20547.0	30265.0	1.0	344698.0	972746.0	244.0	185.0	98.0
albany	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	26120	76988	24851.0	23497.0	23497.0	23497.0	23.496	23.496	23.496	1062.0	GigabitEthernet0/0	20547.0	30265.0	0.0	209441.0	580567.0	244.0	185.0	98.0
albany	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	sat	14805	52115	15587.0	14241.0	14241.0	14241.0	14.241	14.241	14.241	1058.0	GigabitEthernet0/0	20547.0	30265.0	0.0	199366.0	532121.0	244.0	185.0	98.0
montreal	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	13388	44827	12680.0	11344.0	11344.0	11344.0	11.343	11.343	11.343	1037.0	GigabitEthernet0/0	20547.0	30265.0	1.0	216515.0	529300.0	244.0	185.0	98.0
