src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
london	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	18552	48067	21764.0	20281.0	20281.0	20281.0	20.28	20.28	20.28	1270.0	GigabitEthernet0/0	20745.0	30463.0	6.0	1620691.0	4134665.0	244.0	185.0	98.0
london	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	208949	314542	269451.0	268090.0	268090.0	268090.0	268.089	268.089	268.089	1219.0	GigabitEthernet0/0	20745.0	30463.0	1.0	401188.0	1565926.0	244.0	185.0	98.0
london	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	1511318	1957490	2123070.0	2121811.0	2121811.0	2121811.0	2121.81	2121.81	2121.81	1128.0	GigabitEthernet0/0	20745.0	30463.0	1.0	337346.0	993831.0	244.0	185.0	98.0
boston	montreal	1	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	30440	73457	32185.0	31011.0	31011.0	31011.0	31.01	31.01	31.01	1058.0	GigabitEthernet0/0	20745.0	30463.0	0.0	229648.0	557267.0	244.0	185.0	98.0
boston	montreal	2	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	154014	246661	188268.0	187105.0	187105.0	187105.0	187.104	187.104	187.104	1050.0	GigabitEthernet0/0	20745.0	30463.0	0.0	202881.0	547396.0	244.0	185.0	98.0
boston	montreal	3	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	1174481	1527470	1649451.0	1648067.0	1648067.0	1648067.0	1648.067	1648.067	1648.067	1050.0	GigabitEthernet0/0	20745.0	30463.0	0.0	223907.0	554235.0	244.0	185.0	98.0
albany	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	21747	59878	23417.0	22203.0	22203.0	22203.0	22.202	22.202	22.202	1087.0	GigabitEthernet0/0	20745.0	30463.0	1.0	216283.0	583206.0	244.0	185.0	98.0
albany	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	134987	227077	158922.0	157758.0	157758.0	157758.0	157.757	157.757	157.757	1052.0	GigabitEthernet0/0	20745.0	30463.0	0.0	199869.0	577642.0	244.0	185.0	98.0
albany	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	1284813	1655462	1940084.0	1938923.0	1938923.0	1938923.0	1938.923	1938.923	1938.923	1047.0	GigabitEthernet0/0	20745.0	30463.0	1.0	194028.0	475098.0	244.0	185.0	98.0
montreal	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	23123	54865	26260.0	25110.0	25110.0	25110.0	25.109	25.109	25.109	1037.0	GigabitEthernet0/0	20745.0	30463.0	1.0	218232.0	498471.0	244.0	185.0	98.0
montreal	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	188235	292206	225950.0	224770.0	224770.0	224770.0	224.769	224.769	224.769	1058.0	GigabitEthernet0/0	20745.0	30463.0	0.0	236398.0	568889.0	244.0	185.0	98.0
montreal	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	1193671	1551647	1825341.0	1824174.0	1824174.0	1824174.0	1824.173	1824.173	1824.173	1052.0	GigabitEthernet0/0	20745.0	30463.0	1.0	302517.0	648045.0	244.0	185.0	98.0
