src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
london	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	23394	57312	22395.0	21202.0	21202.0	21202.0	21.201	21.201	21.201	1062.0	GigabitEthernet0/0	20745.0	30661.0	1.0	235757.0	697812.0	244.0	185.0	98.0
london	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	224429	331112	279849.0	278627.0	278627.0	278627.0	278.626	278.626	278.626	1084.0	GigabitEthernet0/0	20745.0	30661.0	1.0	219838.0	622144.0	244.0	185.0	98.0
london	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	1514005	1924682	2231129.0	2229960.0	2229960.0	2229960.0	2229.959	2229.959	2229.959	1046.0	GigabitEthernet0/0	20745.0	30661.0	1.0	236372.0	572704.0	244.0	185.0	98.0
boston	montreal	1	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	32038	77736	30652.0	29484.0	29484.0	29484.0	29.483	29.483	29.483	1045.0	GigabitEthernet0/0	20745.0	30661.0	1.0	214758.0	558315.0	244.0	185.0	98.0
boston	montreal	2	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	179552	273955	218596.0	217416.0	217416.0	217416.0	217.415	217.415	217.415	1063.0	GigabitEthernet0/0	20745.0	30661.0	1.0	203553.0	517359.0	244.0	185.0	98.0
boston	montreal	3	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	1356270	1702410	2027375.0	2026203.0	2026203.0	2026203.0	2026.203	2026.203	2026.203	1051.0	GigabitEthernet0/0	20745.0	30661.0	0.0	222013.0	585660.0	244.0	185.0	98.0
albany	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	22433	61786	22829.0	21644.0	21644.0	21644.0	21.644	21.644	21.644	1062.0	GigabitEthernet0/0	20745.0	30661.0	0.0	209511.0	510048.0	244.0	185.0	98.0
albany	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	159204	262333	192876.0	191699.0	191699.0	191699.0	191.699	191.699	191.699	1062.0	GigabitEthernet0/0	20745.0	30661.0	1.0	206034.0	510206.0	244.0	185.0	98.0
albany	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	1157268	1504800	1668846.0	1667666.0	1667666.0	1667666.0	1667.665	1667.665	1667.665	1062.0	GigabitEthernet0/0	20745.0	30661.0	0.0	213722.0	538060.0	244.0	185.0	98.0
montreal	newttyork	1	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	22825	54708	23275.0	22120.0	22120.0	22120.0	22.12	22.12	22.12	1029.0	GigabitEthernet0/0	20745.0	30661.0	0.0	275296.0	564592.0	244.0	185.0	98.0
montreal	newttyork	2	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	183636	277543	228809.0	227652.0	227652.0	227652.0	227.651	227.651	227.651	1039.0	GigabitEthernet0/0	20745.0	30661.0	1.0	202039.0	520955.0	244.0	185.0	98.0
montreal	newttyork	3	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	1480726	1879589	2251806.0	2250621.0	2250621.0	2250621.0	2250.621	2250.621	2250.621	1062.0	GigabitEthernet0/0	20745.0	30661.0	0.0	204496.0	492090.0	244.0	185.0	98.0
newttyork	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	20636	54073	21551.0	20382.0	20382.0	20382.0	20.382	20.382	20.382	1051.0	GigabitEthernet0/0	20745.0	30661.0	0.0	181442.0	455804.0	244.0	185.0	98.0
newttyork	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	181703	291973	223405.0	222255.0	222255.0	222255.0	222.254	222.254	222.254	1038.0	GigabitEthernet0/0	20745.0	30661.0	0.0	180045.0	410102.0	244.0	185.0	98.0
newttyork	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	1179575	1509799	1719061.0	1717868.0	1717868.0	1717868.0	1717.867	1717.867	1717.867	1074.0	GigabitEthernet0/0	20745.0	30661.0	1.0	243368.0	517130.0	244.0	185.0	98.0
manchester	paris	1	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	18945	48472	20231.0	19011.0	19011.0	19011.0	19.01	19.01	19.01	1104.0	GigabitEthernet0/0	20745.0	30661.0	1.0	197537.0	401423.0	244.0	185.0	98.0
manchester	paris	2	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	138992	231939	169029.0	167877.0	167877.0	167877.0	167.876	167.876	167.876	1040.0	GigabitEthernet0/0	20745.0	30661.0	1.0	179142.0	388490.0	244.0	185.0	98.0
manchester	paris	3	IpWildcardIpSpace{ipWildcard=200.0.143.0/24}	unsat	1140692	1471067	1643683.0	1642526.0	1642526.0	1642526.0	1642.526	1642.526	1642.526	1039.0	GigabitEthernet0/0	20745.0	30661.0	0.0	189808.0	429553.0	244.0	185.0	98.0
paris	manchester	1	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	28873	69357	30901.0	29442.0	29442.0	29442.0	29.441	29.441	29.441	1010.0	GigabitEthernet0/0	20745.0	30661.0	1.0	193867.0	411486.0	244.0	185.0	98.0
paris	manchester	2	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	231921	346151	296370.0	295180.0	295180.0	295180.0	295.179	295.179	295.179	1027.0	GigabitEthernet0/0	20745.0	30661.0	1.0	186804.0	379463.0	244.0	185.0	98.0
paris	manchester	3	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	1483820	1893484	2134367.0	2133211.0	2133211.0	2133211.0	2133.21	2133.21	2133.21	1037.0	GigabitEthernet0/0	20745.0	30661.0	1.0	195959.0	422894.0	244.0	185.0	98.0
newttyork	manchester	1	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	22533	55365	24721.0	23510.0	23510.0	23510.0	23.509	23.509	23.509	1007.0	GigabitEthernet0/0	20745.0	30661.0	0.0	195283.0	405687.0	244.0	185.0	98.0
newttyork	manchester	2	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	175274	268103	236190.0	235061.0	235061.0	235061.0	235.06	235.06	235.06	1015.0	GigabitEthernet0/0	20745.0	30661.0	0.0	181223.0	380089.0	244.0	185.0	98.0
newttyork	manchester	3	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	1299573	1649239	2004653.0	2003479.0	2003479.0	2003479.0	2003.479	2003.479	2003.479	1053.0	GigabitEthernet0/0	20745.0	30661.0	0.0	213642.0	469544.0	244.0	185.0	98.0
manchester	boston	1	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	22996	58157	25417.0	24287.0	24287.0	24287.0	24.286	24.286	24.286	1013.0	GigabitEthernet0/0	20745.0	30661.0	1.0	209101.0	411957.0	244.0	185.0	98.0
manchester	boston	2	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	97987	151086	132059.0	130908.0	130908.0	130908.0	130.907	130.907	130.907	1037.0	GigabitEthernet0/0	20745.0	30661.0	0.0	194832.0	391255.0	244.0	185.0	98.0
manchester	boston	3	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	1023647	1341714	1535059.0	1533930.0	1533930.0	1533930.0	1533.93	1533.93	1533.93	1013.0	GigabitEthernet0/0	20745.0	30661.0	1.0	180970.0	376182.0	244.0	185.0	98.0
