src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
basel	strasbourg	1	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	2287	8335	2445.0	1386.0	1386.0	1386.0	1.386	1.386	1.386	816.0	GigabitEthernet0/0	19533.0	26725.0	1.0	185353.0	434438.0	178.0	79.0	37.0
basel	strasbourg	2	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	2339	11064	2624.0	1560.0	1560.0	1560.0	1.559	1.559	1.559	821.0	GigabitEthernet0/0	19533.0	26725.0	1.0	134192.0	1033193.0	178.0	79.0	37.0
basel	strasbourg	3	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	2015	7207	2422.0	1263.0	1263.0	1263.0	1.262	1.262	1.262	829.0	GigabitEthernet0/0	19533.0	26725.0	1.0	177179.0	335668.0	178.0	79.0	37.0
london	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	1584	7044	2340.0	1252.0	1252.0	1252.0	1.251	1.251	1.251	844.0	GigabitEthernet0/0	19533.0	26725.0	0.0	175954.0	321518.0	178.0	79.0	37.0
london	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	1	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	2281	8227	2610.0	1550.0	1550.0	1550.0	1.55	1.55	1.55	825.0	GigabitEthernet0/0	19533.0	26725.0	1.0	153038.0	317508.0	178.0	79.0	37.0
berlin	dresden	2	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	1994	8634	2494.0	1427.0	1427.0	1427.0	1.426	1.426	1.426	832.0	GigabitEthernet0/0	19533.0	26725.0	0.0	141935.0	304977.0	178.0	79.0	37.0
berlin	dresden	3	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	1	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	2391	7692	2620.0	1541.0	1541.0	1541.0	1.541	1.541	1.541	844.0	GigabitEthernet0/0	19533.0	26725.0	0.0	150373.0	320361.0	178.0	79.0	37.0
nodeid62	london	2	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	1214	5215	2029.0	972.0	972.0	972.0	0.972	0.972	0.972	829.0	GigabitEthernet0/0	19533.0	26725.0	0.0	151704.0	326951.0	178.0	79.0	37.0
nodeid62	london	3	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	2547	9605	2805.0	1664.0	1664.0	1664.0	1.664	1.664	1.664	910.0	GigabitEthernet0/0	19533.0	26725.0	1.0	159909.0	336089.0	178.0	79.0	37.0
lyon	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	2175	8791	2594.0	1523.0	1523.0	1523.0	1.522	1.522	1.522	833.0	GigabitEthernet0/0	19533.0	26725.0	0.0	5077866.0	320256.0	178.0	79.0	37.0
lyon	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	2368	7946	2828.0	1680.0	1680.0	1680.0	1.679	1.679	1.679	887.0	GigabitEthernet0/0	19533.0	26725.0	1.0	202004.0	385333.0	178.0	79.0	37.0
paris	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	3196	9503	3450.0	2297.0	2297.0	2297.0	2.296	2.296	2.296	886.0	GigabitEthernet0/0	19533.0	26725.0	0.0	185862.0	313941.0	178.0	79.0	37.0
paris	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	2093	6593	2638.0	1466.0	1466.0	1466.0	1.465	1.465	1.465	904.0	GigabitEthernet0/0	19533.0	26725.0	1.0	150459.0	464877.0	178.0	79.0	37.0
ghent	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	1805	7245	2435.0	1287.0	1287.0	1287.0	1.287	1.287	1.287	882.0	GigabitEthernet0/0	19533.0	26725.0	0.0	132753.0	354807.0	178.0	79.0	37.0
ghent	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
