src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
basel	strasbourg	1	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	2980	8962	3131.0	1979.0	1979.0	1979.0	1.977	1.977	1.977	1005.0	GigabitEthernet0/0	19687.0	26879.0	5.0	1541945.0	2664876.0	178.0	79.0	37.0
basel	strasbourg	2	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	6661	14481	5349.0	4428.0	4428.0	4428.0	4.428	4.428	4.428	848.0	GigabitEthernet0/0	19687.0	26879.0	1.0	220464.0	831836.0	178.0	79.0	37.0
basel	strasbourg	3	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	2958	9197	2923.0	2003.0	2003.0	2003.0	2.002	2.002	2.002	859.0	GigabitEthernet0/0	19687.0	26879.0	0.0	168902.0	474382.0	178.0	79.0	37.0
london	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	6757	13173	5535.0	4632.0	4632.0	4632.0	4.631	4.631	4.631	842.0	GigabitEthernet0/0	19687.0	26879.0	0.0	182002.0	366539.0	178.0	79.0	37.0
london	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	1	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	3160	10102	3268.0	2367.0	2367.0	2367.0	2.366	2.366	2.366	836.0	GigabitEthernet0/0	19687.0	26879.0	1.0	148078.0	323054.0	178.0	79.0	37.0
berlin	dresden	2	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	6942	15170	6033.0	5136.0	5136.0	5136.0	5.135	5.135	5.135	833.0	GigabitEthernet0/0	19687.0	26879.0	0.0	147543.0	330526.0	178.0	79.0	37.0
berlin	dresden	3	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	1	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	2973	9187	2719.0	1822.0	1822.0	1822.0	1.821	1.821	1.821	832.0	GigabitEthernet0/0	19687.0	26879.0	0.0	155688.0	320452.0	178.0	79.0	37.0
nodeid62	london	2	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	7237	14497	6086.0	5190.0	5190.0	5190.0	5.19	5.19	5.19	833.0	GigabitEthernet0/0	19687.0	26879.0	0.0	153027.0	309510.0	178.0	79.0	37.0
nodeid62	london	3	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	3019	8363	2970.0	2095.0	2095.0	2095.0	2.094	2.094	2.094	814.0	GigabitEthernet0/0	19687.0	26879.0	1.0	147937.0	335196.0	178.0	79.0	37.0
lyon	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	5559	13000	5369.0	4489.0	4489.0	4489.0	4.488	4.488	4.488	820.0	GigabitEthernet0/0	19687.0	26879.0	1.0	164293.0	342122.0	178.0	79.0	37.0
lyon	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	3477	9512	3365.0	2464.0	2464.0	2464.0	2.463	2.463	2.463	840.0	GigabitEthernet0/0	19687.0	26879.0	0.0	163365.0	321229.0	178.0	79.0	37.0
paris	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	8382	16699	6518.0	5581.0	5581.0	5581.0	5.58	5.58	5.58	869.0	GigabitEthernet0/0	19687.0	26879.0	1.0	169149.0	347267.0	178.0	79.0	37.0
paris	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	3096	8492	2922.0	1979.0	1979.0	1979.0	1.978	1.978	1.978	877.0	GigabitEthernet0/0	19687.0	26879.0	1.0	149580.0	300938.0	178.0	79.0	37.0
ghent	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	7512	15905	6277.0	5324.0	5324.0	5324.0	5.324	5.324	5.324	891.0	GigabitEthernet0/0	19687.0	26879.0	0.0	136974.0	353795.0	178.0	79.0	37.0
ghent	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
dusseldorf	karlsruhe	1	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	3199	9393	3162.0	2237.0	2237.0	2237.0	2.237	2.237	2.237	864.0	GigabitEthernet0/0	19687.0	26880.0	0.0	156790.0	301577.0	178.0	79.0	38.0
dusseldorf	karlsruhe	2	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	6453	13847	5898.0	4966.0	4966.0	4966.0	4.965	4.965	4.965	869.0	GigabitEthernet0/0	19687.0	26880.0	0.0	148152.0	358231.0	178.0	79.0	38.0
dusseldorf	karlsruhe	3	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	2803	7926	3085.0	2158.0	2158.0	2158.0	2.157	2.157	2.157	872.0	GigabitEthernet0/0	19687.0	26879.0	0.0	132286.0	268831.0	178.0	79.0	37.0
paris	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	7423	14892	6416.0	5464.0	5464.0	5464.0	5.464	5.464	5.464	890.0	GigabitEthernet0/0	19687.0	26879.0	1.0	176613.0	343045.0	178.0	79.0	37.0
paris	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
brussels	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	3197	10421	3206.0	2266.0	2266.0	2266.0	2.265	2.265	2.265	881.0	GigabitEthernet0/0	19687.0	26879.0	1.0	121933.0	266696.0	178.0	79.0	37.0
brussels	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	6527	12841	5404.0	4489.0	4489.0	4489.0	4.488	4.488	4.488	858.0	GigabitEthernet0/0	19687.0	26879.0	1.0	126588.0	248887.0	178.0	79.0	37.0
brussels	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
lyon	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	3021	8956	2857.0	1921.0	1921.0	1921.0	1.92	1.92	1.92	872.0	GigabitEthernet0/0	19687.0	26879.0	0.0	128001.0	249167.0	178.0	79.0	37.0
lyon	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	7639	16803	6444.0	5514.0	5514.0	5514.0	5.513	5.513	5.513	868.0	GigabitEthernet0/0	19687.0	26879.0	0.0	157081.0	278328.0	178.0	79.0	37.0
