src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
basel	strasbourg	1	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	2964	9893	2782.0	1861.0	1861.0	1861.0	1.861	1.861	1.861	852.0	GigabitEthernet0/0	19687.0	27033.0	0.0	185460.0	509328.0	178.0	79.0	37.0
basel	strasbourg	2	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	6449	16965	5207.0	4336.0	4336.0	4336.0	4.335	4.335	4.335	813.0	GigabitEthernet0/0	19687.0	27033.0	0.0	232263.0	455279.0	178.0	79.0	37.0
basel	strasbourg	3	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
london	nodeid62	1	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	2816	8201	2937.0	2027.0	2027.0	2027.0	2.026	2.026	2.026	843.0	GigabitEthernet0/0	19687.0	27033.0	0.0	167836.0	322204.0	178.0	79.0	37.0
london	nodeid62	2	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	6534	12566	5830.0	4921.0	4921.0	4921.0	4.92	4.92	4.92	845.0	GigabitEthernet0/0	19687.0	27033.0	0.0	152822.0	307548.0	178.0	79.0	37.0
london	nodeid62	3	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
berlin	dresden	1	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	3265	8094	3009.0	2121.0	2121.0	2121.0	2.12	2.12	2.12	826.0	GigabitEthernet0/0	19687.0	27033.0	1.0	142479.0	320881.0	178.0	79.0	37.0
berlin	dresden	2	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	7057	14389	5572.0	4656.0	4656.0	4656.0	4.656	4.656	4.656	846.0	GigabitEthernet0/0	19687.0	27033.0	0.0	150732.0	333477.0	178.0	79.0	37.0
berlin	dresden	3	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid62	london	1	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	2586	6884	2646.0	1755.0	1755.0	1755.0	1.754	1.754	1.754	824.0	GigabitEthernet0/0	19687.0	27033.0	0.0	152031.0	316651.0	178.0	79.0	37.0
nodeid62	london	2	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	5879	13016	5368.0	4473.0	4473.0	4473.0	4.472	4.472	4.472	830.0	GigabitEthernet0/0	19687.0	27033.0	0.0	152040.0	321057.0	178.0	79.0	37.0
nodeid62	london	3	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	2535	8362	2617.0	1731.0	1731.0	1731.0	1.731	1.731	1.731	823.0	GigabitEthernet0/0	19687.0	27033.0	0.0	150043.0	314222.0	178.0	79.0	37.0
lyon	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	8082	15296	7178.0	6290.0	6290.0	6290.0	6.289	6.289	6.289	822.0	GigabitEthernet0/0	19687.0	27033.0	0.0	162934.0	306440.0	178.0	79.0	37.0
lyon	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	3339	8851	3185.0	2221.0	2221.0	2221.0	2.22	2.22	2.22	898.0	GigabitEthernet0/0	19687.0	27033.0	1.0	188631.0	389913.0	178.0	79.0	37.0
paris	marseille	2	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	7376	16712	7014.0	6012.0	6012.0	6012.0	6.011	6.011	6.011	933.0	GigabitEthernet0/0	19687.0	27033.0	1.0	160925.0	322856.0	178.0	79.0	37.0
paris	marseille	3	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ghent	marseille	1	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	3246	8458	3109.0	2161.0	2161.0	2161.0	2.161	2.161	2.161	884.0	GigabitEthernet0/0	19687.0	27033.0	0.0	199928.0	331689.0	178.0	79.0	37.0
