src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	5004	11621	3705.0	2882.0	2882.0	2882.0	2.882	2.882	2.882	652.0	GigabitEthernet0/0	11114.0	15216.0	1.0	117199.0	352381.0	101.0	72.0	39.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	2144	6328	2072.0	1258.0	1258.0	1258.0	1.258	1.258	1.258	645.0	GigabitEthernet0/0	11114.0	15216.0	0.0	146599.0	393369.0	101.0	72.0	39.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	1649	7855	1733.0	942.0	942.0	942.0	0.942	0.942	0.942	625.0	GigabitEthernet0/0	11114.0	15216.0	0.0	108463.0	285250.0	101.0	72.0	39.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	2201	7646	2070.0	1247.0	1247.0	1247.0	1.246	1.246	1.246	650.0	GigabitEthernet0/0	11114.0	15216.0	0.0	147217.0	295433.0	101.0	72.0	39.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	5757	15387	4008.0	3197.0	3197.0	3197.0	3.196	3.196	3.196	641.0	GigabitEthernet0/0	11114.0	15216.0	0.0	141074.0	294053.0	101.0	72.0	39.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	5074	15390	3896.0	3043.0	3043.0	3043.0	3.042	3.042	3.042	666.0	GigabitEthernet0/0	11114.0	15216.0	0.0	157146.0	283533.0	101.0	72.0	39.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	2879	8924	2344.0	1549.0	1549.0	1549.0	1.548	1.548	1.548	641.0	GigabitEthernet0/0	11114.0	15216.0	1.0	132269.0	289911.0	101.0	72.0	39.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	4162	14435	2947.0	2155.0	2155.0	2155.0	2.154	2.154	2.154	636.0	GigabitEthernet0/0	11114.0	15216.0	1.0	132430.0	279255.0	101.0	72.0	39.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	3521	12910	2599.0	1822.0	1822.0	1822.0	1.822	1.822	1.822	617.0	GigabitEthernet0/0	11114.0	15216.0	0.0	129374.0	261902.0	101.0	72.0	39.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	2659	8054	2221.0	1430.0	1430.0	1430.0	1.43	1.43	1.43	629.0	GigabitEthernet0/0	11114.0	15216.0	0.0	134657.0	281186.0	101.0	72.0	39.0
nodeid59	nodeid1	2	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	3086	10206	2580.0	1810.0	1810.0	1810.0	1.809	1.809	1.809	617.0	GigabitEthernet0/0	11114.0	15216.0	0.0	113111.0	235095.0	101.0	72.0	39.0
nodeid59	nodeid1	3	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	4972	15591	3721.0	2949.0	2949.0	2949.0	2.949	2.949	2.949	617.0	GigabitEthernet0/0	11114.0	15216.0	1.0	118152.0	284205.0	101.0	72.0	39.0
nodeid31	nodeid59	1	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	2398	6896	2063.0	1271.0	1271.0	1271.0	1.27	1.27	1.27	637.0	GigabitEthernet0/0	11114.0	15216.0	1.0	120610.0	268109.0	101.0	72.0	39.0
nodeid31	nodeid59	2	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	4052	11780	3202.0	2416.0	2416.0	2416.0	2.416	2.416	2.416	617.0	GigabitEthernet0/0	11114.0	15216.0	1.0	127571.0	272126.0	101.0	72.0	39.0
nodeid31	nodeid59	3	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	2528	9645	2214.0	1441.0	1441.0	1441.0	1.44	1.44	1.44	621.0	GigabitEthernet0/0	11114.0	15216.0	0.0	132975.0	357797.0	101.0	72.0	39.0
nodeid45	nodeid59	1	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	2620	9317	2285.0	1513.0	1513.0	1513.0	1.513	1.513	1.513	614.0	GigabitEthernet0/0	11114.0	15217.0	0.0	129677.0	240901.0	101.0	72.0	40.0
nodeid45	nodeid59	2	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	2743	10638	2196.0	1436.0	1436.0	1436.0	1.435	1.435	1.435	612.0	GigabitEthernet0/0	11114.0	15217.0	0.0	125739.0	234720.0	101.0	72.0	40.0
nodeid45	nodeid59	3	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	3516	11582	2490.0	1729.0	1729.0	1729.0	1.729	1.729	1.729	610.0	GigabitEthernet0/0	11114.0	15217.0	0.0	115456.0	227348.0	101.0	72.0	40.0
nodeid31	nodeid45	1	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	2152	7390	1919.0	1150.0	1150.0	1150.0	1.149	1.149	1.149	618.0	GigabitEthernet0/0	11114.0	15216.0	1.0	112155.0	226177.0	101.0	72.0	39.0
nodeid31	nodeid45	2	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	2804	8487	2262.0	1489.0	1489.0	1489.0	1.488	1.488	1.488	614.0	GigabitEthernet0/0	11114.0	15216.0	0.0	122841.0	222626.0	101.0	72.0	39.0
nodeid31	nodeid45	3	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	sat	2583	10001	2212.0	1459.0	1459.0	1459.0	1.459	1.459	1.459	604.0	GigabitEthernet0/0	11114.0	15216.0	0.0	108679.0	229463.0	101.0	72.0	39.0
nodeid45	nodeid1	1	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	3496	9427	2800.0	2030.0	2030.0	2030.0	2.03	2.03	2.03	620.0	GigabitEthernet0/0	11114.0	15216.0	0.0	108043.0	241794.0	101.0	72.0	39.0
nodeid45	nodeid1	2	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	4023	11377	2851.0	2087.0	2087.0	2087.0	2.087	2.087	2.087	613.0	GigabitEthernet0/0	11114.0	15216.0	1.0	114120.0	246077.0	101.0	72.0	39.0
nodeid45	nodeid1	3	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	4524	14243	3225.0	2464.0	2464.0	2464.0	2.463	2.463	2.463	611.0	GigabitEthernet0/0	11114.0	15216.0	0.0	103333.0	222953.0	101.0	72.0	39.0
nodeid44	nodeid59	1	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	5047	12812	3407.0	2644.0	2644.0	2644.0	2.644	2.644	2.644	615.0	GigabitEthernet0/0	11114.0	15217.0	0.0	101973.0	223329.0	101.0	72.0	40.0
nodeid44	nodeid59	2	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	3117	11437	2606.0	1850.0	1850.0	1850.0	1.85	1.85	1.85	607.0	GigabitEthernet0/0	11114.0	15217.0	0.0	108756.0	231334.0	101.0	72.0	40.0
nodeid44	nodeid59	3	IpWildcardIpSpace{ipWildcard=200.2.36.0/24}	sat	3164	10774	2510.0	1749.0	1749.0	1749.0	1.749	1.749	1.749	607.0	GigabitEthernet0/0	11114.0	15217.0	0.0	110348.0	230227.0	101.0	72.0	40.0
nodeid44	nodeid1	1	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	4210	15493	3230.0	2460.0	2460.0	2460.0	2.46	2.46	2.46	620.0	GigabitEthernet0/0	11114.0	15216.0	0.0	107639.0	240028.0	101.0	72.0	39.0
nodeid44	nodeid1	2	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	2550	8905	2241.0	1474.0	1474.0	1474.0	1.474	1.474	1.474	613.0	GigabitEthernet0/0	11114.0	15216.0	0.0	103399.0	226470.0	101.0	72.0	39.0
nodeid44	nodeid1	3	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	4974	14623	3560.0	2792.0	2792.0	2792.0	2.792	2.792	2.792	614.0	GigabitEthernet0/0	11114.0	15216.0	0.0	106113.0	218496.0	101.0	72.0	39.0
nodeid31	nodeid1	1	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	2044	5856	1901.0	1119.0	1119.0	1119.0	1.119	1.119	1.119	631.0	GigabitEthernet0/0	11114.0	15216.0	1.0	115448.0	304520.0	101.0	72.0	39.0
nodeid31	nodeid1	2	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	2638	10043	2307.0	1531.0	1531.0	1531.0	1.53	1.53	1.53	621.0	GigabitEthernet0/0	11114.0	15216.0	0.0	150415.0	276792.0	101.0	72.0	39.0
nodeid31	nodeid1	3	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	sat	6111	17194	4283.0	3513.0	3513.0	3513.0	3.512	3.512	3.512	620.0	GigabitEthernet0/0	11114.0	15216.0	1.0	244038.0	242491.0	101.0	72.0	39.0
nodeid59	nodeid31	1	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	3767	13109	2861.0	2095.0	2095.0	2095.0	2.095	2.095	2.095	606.0	GigabitEthernet0/0	11114.0	15216.0	0.0	97844.0	195396.0	101.0	72.0	39.0
nodeid59	nodeid31	2	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	2510	9307	2144.0	1362.0	1362.0	1362.0	1.362	1.362	1.362	627.0	GigabitEthernet0/0	11114.0	15216.0	0.0	104186.0	219437.0	101.0	72.0	39.0
