src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	unsat	4685	12083	3358.0	2644.0	2644.0	2644.0	2.644	2.644	2.644	665.0	GigabitEthernet0/0	11200.0	15388.0	1.0	222264.0	429878.0	101.0	72.0	39.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	unsat	12059	23210	8860.0	8164.0	8164.0	8164.0	8.163	8.163	8.163	654.0	GigabitEthernet0/0	11200.0	15388.0	1.0	195891.0	505168.0	101.0	72.0	39.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=200.2.104.0/24}	unsat	39671	59906	30591.0	29873.0	29873.0	29873.0	29.872	29.872	29.872	664.0	GigabitEthernet0/0	11200.0	15388.0	1.0	170536.0	459449.0	101.0	72.0	39.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	5867	13976	4084.0	3405.0	3405.0	3405.0	3.404	3.404	3.404	633.0	GigabitEthernet0/0	11200.0	15388.0	0.0	153384.0	289275.0	101.0	72.0	39.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	16771	27910	11292.0	10599.0	10599.0	10599.0	10.598	10.598	10.598	646.0	GigabitEthernet0/0	11200.0	15388.0	1.0	156917.0	329162.0	101.0	72.0	39.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	43908	60243	33719.0	33042.0	33042.0	33042.0	33.041	33.041	33.041	631.0	GigabitEthernet0/0	11200.0	15388.0	1.0	126156.0	263043.0	101.0	72.0	39.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	4372	12483	3356.0	2624.0	2624.0	2624.0	2.623	2.623	2.623	685.0	GigabitEthernet0/0	11200.0	15388.0	1.0	147926.0	324449.0	101.0	72.0	39.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	12860	22417	9171.0	8478.0	8478.0	8478.0	8.477	8.477	8.477	650.0	GigabitEthernet0/0	11200.0	15388.0	1.0	146573.0	319667.0	101.0	72.0	39.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	55734	75067	40950.0	40269.0	40269.0	40269.0	40.268	40.268	40.268	635.0	GigabitEthernet0/0	11200.0	15388.0	1.0	134875.0	291747.0	101.0	72.0	39.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=200.2.41.0/24}	unsat	5237	13695	3617.0	2940.0	2940.0	2940.0	2.94	2.94	2.94	634.0	GigabitEthernet0/0	11200.0	15388.0	0.0	120090.0	289294.0	101.0	72.0	39.0
