src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
wash	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	374	1119	674.0	171.0	171.0	171.0	0.171	0.171	0.171	327.0	GigabitEthernet0/0	4900.0	8144.0	0.0	113894.0	263257.0	80.0	36.0	22.0
wash	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	314	1070	584.0	189.0	189.0	189.0	0.188	0.188	0.188	316.0	GigabitEthernet0/0	4900.0	8144.0	1.0	130959.0	238121.0	80.0	36.0	22.0
wash	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	47	347	553.0	144.0	144.0	144.0	0.143	0.143	0.143	326.0	GigabitEthernet0/0	4900.0	8144.0	1.0	121905.0	239043.0	80.0	36.0	22.0
atla	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	340	1129	568.0	180.0	180.0	180.0	0.179	0.179	0.179	310.0	GigabitEthernet0/0	4900.0	8146.0	0.0	83649.0	178215.0	80.0	36.0	24.0
atla	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	717	2332	673.0	273.0	273.0	273.0	0.272	0.272	0.272	318.0	GigabitEthernet0/0	4900.0	8146.0	1.0	83782.0	179601.0	80.0	36.0	24.0
atla	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	617	1803	648.0	254.0	254.0	254.0	0.253	0.253	0.253	316.0	GigabitEthernet0/0	4900.0	8146.0	0.0	84139.0	213164.0	80.0	36.0	24.0
wash	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1212	3126	827.0	418.0	418.0	418.0	0.417	0.417	0.417	334.0	GigabitEthernet0/0	4900.0	8144.0	1.0	90474.0	167801.0	80.0	36.0	22.0
wash	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	1080	2829	785.0	385.0	385.0	385.0	0.385	0.385	0.385	321.0	GigabitEthernet0/0	4900.0	8144.0	1.0	94478.0	170285.0	80.0	36.0	22.0
wash	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	687	2257	702.0	266.0	266.0	266.0	0.265	0.265	0.265	357.0	GigabitEthernet0/0	4900.0	8144.0	1.0	94076.0	137993.0	80.0	36.0	22.0
chic	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	608	1646	654.0	258.0	258.0	258.0	0.258	0.258	0.258	315.0	GigabitEthernet0/0	4900.0	8144.0	1.0	76389.0	139381.0	80.0	36.0	22.0
