src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
wash	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1008	2531	881.0	327.0	327.0	327.0	0.326	0.326	0.326	460.0	GigabitEthernet0/0	4969.0	8213.0	5.0	1263480.0	3523236.0	80.0	36.0	22.0
wash	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1987	4228	982.0	562.0	562.0	562.0	0.562	0.562	0.562	365.0	GigabitEthernet0/0	4969.0	8213.0	1.0	130164.0	348630.0	80.0	36.0	22.0
wash	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	4829	7027	1606.0	1217.0	1217.0	1217.0	1.217	1.217	1.217	343.0	GigabitEthernet0/0	4969.0	8213.0	1.0	142840.0	355597.0	80.0	36.0	22.0
atla	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1109	2544	734.0	372.0	372.0	372.0	0.372	0.372	0.372	324.0	GigabitEthernet0/0	4969.0	8215.0	1.0	209250.0	729841.0	80.0	36.0	24.0
atla	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2511	4456	1051.0	695.0	695.0	695.0	0.694	0.694	0.694	318.0	GigabitEthernet0/0	4969.0	8215.0	0.0	127734.0	353659.0	80.0	36.0	24.0
atla	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4661	8066	1638.0	1280.0	1280.0	1280.0	1.28	1.28	1.28	322.0	GigabitEthernet0/0	4969.0	8215.0	0.0	89905.0	166443.0	80.0	36.0	24.0
wash	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1317	2884	750.0	400.0	400.0	400.0	0.399	0.399	0.399	314.0	GigabitEthernet0/0	4969.0	8213.0	1.0	97995.0	211739.0	80.0	36.0	22.0
wash	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2011	4015	955.0	590.0	590.0	590.0	0.59	0.59	0.59	327.0	GigabitEthernet0/0	4969.0	8213.0	0.0	84634.0	170652.0	80.0	36.0	22.0
wash	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4257	6426	1506.0	1153.0	1153.0	1153.0	1.152	1.152	1.152	314.0	GigabitEthernet0/0	4969.0	8213.0	0.0	89399.0	131491.0	80.0	36.0	22.0
chic	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1423	2842	755.0	398.0	398.0	398.0	0.397	0.397	0.397	322.0	GigabitEthernet0/0	4969.0	8213.0	0.0	74136.0	139624.0	80.0	36.0	22.0
chic	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	2396	4170	1045.0	699.0	699.0	699.0	0.699	0.699	0.699	312.0	GigabitEthernet0/0	4969.0	8213.0	1.0	71481.0	149518.0	80.0	36.0	22.0
chic	wash	3	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	4096	6527	1449.0	1096.0	1096.0	1096.0	1.096	1.096	1.096	318.0	GigabitEthernet0/0	4969.0	8213.0	0.0	79451.0	140316.0	80.0	36.0	22.0
chic	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1243	3115	728.0	382.0	382.0	382.0	0.381	0.381	0.381	311.0	GigabitEthernet0/0	4969.0	8215.0	0.0	74791.0	135052.0	80.0	36.0	24.0
chic	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	3106	5307	1176.0	826.0	826.0	826.0	0.825	0.825	0.825	313.0	GigabitEthernet0/0	4969.0	8215.0	1.0	88036.0	147033.0	80.0	36.0	24.0
chic	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	4516	7291	1508.0	1172.0	1172.0	1172.0	1.171	1.171	1.171	304.0	GigabitEthernet0/0	4969.0	8215.0	1.0	72639.0	146905.0	80.0	36.0	24.0
atla	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1382	3196	793.0	439.0	439.0	439.0	0.438	0.438	0.438	321.0	GigabitEthernet0/0	4969.0	8213.0	1.0	94006.0	143898.0	80.0	36.0	22.0
