src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
wash	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1187	2537	736.0	362.0	362.0	362.0	0.361	0.361	0.361	331.0	GigabitEthernet0/0	4969.0	8282.0	1.0	149638.0	359234.0	80.0	36.0	22.0
wash	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	2099	3878	968.0	597.0	597.0	597.0	0.597	0.597	0.597	326.0	GigabitEthernet0/0	4969.0	8282.0	0.0	132372.0	336152.0	80.0	36.0	22.0
wash	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	3970	6439	1503.0	1126.0	1126.0	1126.0	1.125	1.125	1.125	331.0	GigabitEthernet0/0	4969.0	8282.0	1.0	120863.0	268040.0	80.0	36.0	22.0
atla	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1268	3177	799.0	441.0	441.0	441.0	0.441	0.441	0.441	317.0	GigabitEthernet0/0	4969.0	8284.0	0.0	80215.0	182958.0	80.0	36.0	24.0
atla	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	3053	5221	1179.0	827.0	827.0	827.0	0.826	0.826	0.826	317.0	GigabitEthernet0/0	4969.0	8284.0	1.0	87064.0	180178.0	80.0	36.0	24.0
atla	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4900	7784	1664.0	1310.0	1310.0	1310.0	1.309	1.309	1.309	317.0	GigabitEthernet0/0	4969.0	8284.0	1.0	83924.0	184937.0	80.0	36.0	24.0
wash	chic	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1243	2708	743.0	391.0	391.0	391.0	0.39	0.39	0.39	316.0	GigabitEthernet0/0	4969.0	8282.0	0.0	83861.0	135981.0	80.0	36.0	22.0
wash	chic	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2699	5087	1052.0	704.0	704.0	704.0	0.703	0.703	0.703	312.0	GigabitEthernet0/0	4969.0	8282.0	0.0	113330.0	151464.0	80.0	36.0	22.0
wash	chic	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	4466	6744	1509.0	1156.0	1156.0	1156.0	1.156	1.156	1.156	317.0	GigabitEthernet0/0	4969.0	8282.0	1.0	95297.0	143098.0	80.0	36.0	22.0
chic	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1253	2859	766.0	415.0	415.0	415.0	0.414	0.414	0.414	316.0	GigabitEthernet0/0	4969.0	8282.0	0.0	82544.0	136102.0	80.0	36.0	22.0
chic	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	2868	5249	1120.0	765.0	765.0	765.0	0.764	0.764	0.764	320.0	GigabitEthernet0/0	4969.0	8282.0	0.0	70245.0	146581.0	80.0	36.0	22.0
chic	wash	3	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	4026	6599	1463.0	1108.0	1108.0	1108.0	1.107	1.107	1.107	319.0	GigabitEthernet0/0	4969.0	8282.0	0.0	81984.0	153666.0	80.0	36.0	22.0
chic	atla	1	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	1289	2749	728.0	387.0	387.0	387.0	0.387	0.387	0.387	306.0	GigabitEthernet0/0	4969.0	8284.0	1.0	73771.0	138289.0	80.0	36.0	24.0
chic	atla	2	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	2683	4647	1055.0	711.0	711.0	711.0	0.71	0.71	0.71	308.0	GigabitEthernet0/0	4969.0	8284.0	0.0	76550.0	136246.0	80.0	36.0	24.0
chic	atla	3	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	4373	6677	1513.0	1173.0	1173.0	1173.0	1.172	1.172	1.172	305.0	GigabitEthernet0/0	4969.0	8284.0	0.0	73574.0	140889.0	80.0	36.0	24.0
atla	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1042	2519	708.0	353.0	353.0	353.0	0.352	0.352	0.352	318.0	GigabitEthernet0/0	4969.0	8282.0	0.0	82591.0	135226.0	80.0	36.0	22.0
atla	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	2392	4768	1070.0	710.0	710.0	710.0	0.709	0.709	0.709	325.0	GigabitEthernet0/0	4969.0	8282.0	0.0	91770.0	175012.0	80.0	36.0	22.0
atla	wash	3	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	4680	7506	1674.0	1306.0	1306.0	1306.0	1.306	1.306	1.306	329.0	GigabitEthernet0/0	4969.0	8282.0	1.0	81071.0	159953.0	80.0	36.0	22.0
sea	snv1	1	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	unsat	1299	3315	726.0	391.0	391.0	391.0	0.391	0.391	0.391	302.0	GigabitEthernet0/0	4969.0	8282.0	1.0	76739.0	136412.0	80.0	36.0	22.0
sea	snv1	2	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	unsat	2459	4616	1040.0	694.0	694.0	694.0	0.694	0.694	0.694	310.0	GigabitEthernet0/0	4969.0	8282.0	0.0	85953.0	144299.0	80.0	36.0	22.0
sea	snv1	3	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
elpa	denv	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1156	2421	704.0	345.0	345.0	345.0	0.344	0.344	0.344	321.0	GigabitEthernet0/0	4969.0	8283.0	0.0	74870.0	145091.0	80.0	36.0	23.0
elpa	denv	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	2362	4307	1076.0	737.0	737.0	737.0	0.736	0.736	0.736	305.0	GigabitEthernet0/0	4969.0	8283.0	0.0	83973.0	150343.0	80.0	36.0	23.0
elpa	denv	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chic	netl	1	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	1547	3506	798.0	455.0	455.0	455.0	0.454	0.454	0.454	305.0	GigabitEthernet0/0	4969.0	8282.0	0.0	76373.0	144538.0	80.0	36.0	22.0
chic	netl	2	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	2807	4512	1129.0	775.0	775.0	775.0	0.774	0.774	0.774	314.0	GigabitEthernet0/0	4969.0	8282.0	0.0	79148.0	152912.0	80.0	36.0	22.0
chic	netl	3	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
newy	netl	1	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	1347	3603	783.0	442.0	442.0	442.0	0.441	0.441	0.441	306.0	GigabitEthernet0/0	4969.0	8282.0	0.0	69985.0	160247.0	80.0	36.0	22.0
newy	netl	2	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	2358	4477	991.0	619.0	619.0	619.0	0.618	0.618	0.618	298.0	GigabitEthernet0/0	4969.0	8282.0	1.0	81347.0	148626.0	80.0	36.0	22.0
newy	netl	3	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	netl	1	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	1668	3619	817.0	480.0	480.0	480.0	0.48	0.48	0.48	301.0	GigabitEthernet0/0	4969.0	8282.0	0.0	75068.0	139835.0	80.0	36.0	22.0
atla	netl	2	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	2713	4944	1124.0	788.0	788.0	788.0	0.788	0.788	0.788	302.0	GigabitEthernet0/0	4969.0	8282.0	1.0	72262.0	167510.0	80.0	36.0	22.0
atla	netl	3	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
saltttlake	wash	1	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	1121	2550	706.0	356.0	356.0	356.0	0.356	0.356	0.356	315.0	GigabitEthernet0/0	4969.0	8282.0	0.0	68923.0	134931.0	80.0	36.0	22.0
saltttlake	wash	2	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	2342	4137	993.0	645.0	645.0	645.0	0.645	0.645	0.645	315.0	GigabitEthernet0/0	4969.0	8282.0	1.0	68745.0	135828.0	80.0	36.0	22.0
saltttlake	wash	3	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
newy	elpa	1	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	1226	2719	698.0	363.0	363.0	363.0	0.363	0.363	0.363	300.0	GigabitEthernet0/0	4969.0	8282.0	1.0	65661.0	136456.0	80.0	36.0	22.0
newy	elpa	2	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	2917	5126	1133.0	803.0	803.0	803.0	0.802	0.802	0.802	297.0	GigabitEthernet0/0	4969.0	8282.0	0.0	71522.0	126716.0	80.0	36.0	22.0
newy	elpa	3	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
atla	elpa	1	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	1179	2953	668.0	337.0	337.0	337.0	0.336	0.336	0.336	298.0	GigabitEthernet0/0	4969.0	8282.0	1.0	72057.0	136957.0	80.0	36.0	22.0
