src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
limbazi	daugapils	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	165	318	665.0	94.0	94.0	94.0	0.093	0.093	0.093	477.0	GigabitEthernet0/0	5490.0	8591.0	4.0	1354780.0	2285721.0	75.0	13.0	6.0
limbazi	daugapils	2	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	105	278	508.0	81.0	81.0	81.0	0.08	0.08	0.08	375.0	GigabitEthernet0/0	5490.0	8591.0	1.0	384869.0	223192.0	75.0	13.0	6.0
limbazi	daugapils	3	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	59	102	463.0	62.0	62.0	62.0	0.061	0.061	0.061	366.0	GigabitEthernet0/0	5490.0	8590.0	0.0	53113.0	100968.0	75.0	5.0	5.0
daugapils	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	66	109	466.0	64.0	64.0	64.0	0.063	0.063	0.063	366.0	GigabitEthernet0/0	5490.0	8590.0	0.0	39693.0	66031.0	75.0	5.0	5.0
daugapils	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	43	76	464.0	71.0	71.0	71.0	0.07	0.07	0.07	351.0	GigabitEthernet0/0	5490.0	8590.0	0.0	59750.0	115235.0	75.0	8.0	5.0
limbazi	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	57	92	467.0	75.0	75.0	75.0	0.074	0.074	0.074	350.0	GigabitEthernet0/0	5490.0	8590.0	0.0	54219.0	106289.0	75.0	8.0	5.0
limbazi	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	1	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	135	287	421.0	86.0	86.0	86.0	0.085	0.085	0.085	300.0	GigabitEthernet0/0	5490.0	8591.0	0.0	118939.0	98059.0	75.0	13.0	6.0
