src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
limbazi	daugapils	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	120	232	473.0	87.0	87.0	87.0	0.086	0.086	0.086	341.0	GigabitEthernet0/0	5490.0	8661.0	1.0	237136.0	157386.0	75.0	13.0	6.0
limbazi	daugapils	2	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	132	245	502.0	91.0	91.0	91.0	0.09	0.09	0.09	365.0	GigabitEthernet0/0	5490.0	8661.0	0.0	263556.0	179432.0	75.0	13.0	6.0
limbazi	daugapils	3	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	55	107	460.0	61.0	61.0	61.0	0.061	0.061	0.061	359.0	GigabitEthernet0/0	5490.0	8660.0	0.0	42386.0	70210.0	75.0	5.0	5.0
daugapils	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	61	113	448.0	59.0	59.0	59.0	0.059	0.059	0.059	347.0	GigabitEthernet0/0	5490.0	8660.0	0.0	38933.0	79899.0	75.0	5.0	5.0
daugapils	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
limbazi	riga	1	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	62	128	458.0	70.0	70.0	70.0	0.07	0.07	0.07	347.0	GigabitEthernet0/0	5490.0	8660.0	0.0	83859.0	253944.0	75.0	8.0	5.0
limbazi	riga	2	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	64	99	446.0	70.0	70.0	70.0	0.069	0.069	0.069	337.0	GigabitEthernet0/0	5490.0	8660.0	1.0	79852.0	165768.0	75.0	8.0	5.0
limbazi	riga	3	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
daugapils	limbazi	1	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	131	199	425.0	85.0	85.0	85.0	0.085	0.085	0.085	305.0	GigabitEthernet0/0	5490.0	8661.0	0.0	140298.0	105370.0	75.0	13.0	6.0
daugapils	limbazi	2	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	183	371	427.0	90.0	90.0	90.0	0.089	0.089	0.089	301.0	GigabitEthernet0/0	5490.0	8661.0	0.0	92867.0	140204.0	75.0	13.0	6.0
daugapils	limbazi	3	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
riga	limbazi	1	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	79	106	409.0	69.0	69.0	69.0	0.068	0.068	0.068	302.0	GigabitEthernet0/0	5490.0	8660.0	1.0	94047.0	74894.0	75.0	8.0	5.0
riga	limbazi	2	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	52	84	410.0	67.0	67.0	67.0	0.066	0.066	0.066	307.0	GigabitEthernet0/0	5490.0	8660.0	1.0	109854.0	77758.0	75.0	8.0	5.0
riga	limbazi	3	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
