src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
lyon	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	442	1886	395.0	170.0	170.0	170.0	0.17	0.17	0.17	176.0	GigabitEthernet0/0	2223.0	3964.0	1.0	89538.0	259033.0	44.0	34.0	18.0
lyon	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	364	1588	371.0	155.0	155.0	155.0	0.155	0.155	0.155	178.0	GigabitEthernet0/0	2223.0	3964.0	0.0	123545.0	200667.0	44.0	34.0	18.0
lyon	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	185	1111	327.0	116.0	116.0	116.0	0.116	0.116	0.116	173.0	GigabitEthernet0/0	2223.0	3964.0	1.0	87883.0	185111.0	44.0	34.0	18.0
poiters	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	610	2292	404.0	195.0	195.0	195.0	0.195	0.195	0.195	171.0	GigabitEthernet0/0	2223.0	3963.0	0.0	72339.0	157730.0	44.0	34.0	17.0
poiters	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	604	2511	430.0	219.0	219.0	219.0	0.218	0.218	0.218	171.0	GigabitEthernet0/0	2223.0	3963.0	0.0	70991.0	146961.0	44.0	34.0	17.0
poiters	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	745	2741	463.0	249.0	249.0	249.0	0.248	0.248	0.248	175.0	GigabitEthernet0/0	2223.0	3963.0	0.0	75175.0	133080.0	44.0	34.0	17.0
paris	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	752	2293	467.0	249.0	249.0	249.0	0.249	0.249	0.249	180.0	GigabitEthernet0/0	2223.0	3964.0	0.0	82271.0	150582.0	44.0	34.0	18.0
paris	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	430	1568	378.0	157.0	157.0	157.0	0.157	0.157	0.157	179.0	GigabitEthernet0/0	2223.0	3964.0	0.0	78962.0	152833.0	44.0	34.0	18.0
paris	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	795	2423	464.0	249.0	249.0	249.0	0.248	0.248	0.248	176.0	GigabitEthernet0/0	2223.0	3964.0	1.0	81313.0	149847.0	44.0	34.0	18.0
lyon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	552	1860	402.0	201.0	201.0	201.0	0.2	0.2	0.2	165.0	GigabitEthernet0/0	2223.0	3963.0	0.0	69586.0	124674.0	44.0	34.0	17.0
lyon	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	397	1653	371.0	167.0	167.0	167.0	0.166	0.166	0.166	168.0	GigabitEthernet0/0	2223.0	3963.0	0.0	75494.0	135686.0	44.0	34.0	17.0
lyon	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	169	1123	325.0	118.0	118.0	118.0	0.118	0.118	0.118	168.0	GigabitEthernet0/0	2223.0	3963.0	1.0	71056.0	135622.0	44.0	34.0	17.0
poiters	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	85	379	307.0	94.0	94.0	94.0	0.093	0.093	0.093	178.0	GigabitEthernet0/0	2223.0	3964.0	0.0	68455.0	123115.0	44.0	34.0	18.0
poiters	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	1290	2872	585.0	378.0	378.0	378.0	0.378	0.378	0.378	171.0	GigabitEthernet0/0	2223.0	3964.0	0.0	62225.0	124167.0	44.0	34.0	18.0
poiters	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	814	2928	482.0	249.0	249.0	249.0	0.248	0.248	0.248	200.0	GigabitEthernet0/0	2223.0	3964.0	1.0	67622.0	134582.0	44.0	34.0	18.0
paris	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	410	1667	358.0	161.0	161.0	161.0	0.16	0.16	0.16	164.0	GigabitEthernet0/0	2223.0	3964.0	0.0	79005.0	137759.0	44.0	34.0	18.0
paris	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	634	2168	410.0	210.0	210.0	210.0	0.209	0.209	0.209	165.0	GigabitEthernet0/0	2223.0	3964.0	1.0	71587.0	130753.0	44.0	34.0	18.0
paris	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	799	2194	460.0	262.0	262.0	262.0	0.262	0.262	0.262	162.0	GigabitEthernet0/0	2223.0	3964.0	0.0	91226.0	125066.0	44.0	34.0	18.0
paris	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	389	1415	372.0	164.0	164.0	164.0	0.164	0.164	0.164	169.0	GigabitEthernet0/0	2223.0	3963.0	1.0	77257.0	138832.0	44.0	34.0	17.0
paris	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	202	1057	308.0	111.0	111.0	111.0	0.111	0.111	0.111	160.0	GigabitEthernet0/0	2223.0	3963.0	0.0	78417.0	148287.0	44.0	34.0	17.0
paris	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	456	1310	357.0	162.0	162.0	162.0	0.161	0.161	0.161	161.0	GigabitEthernet0/0	2223.0	3963.0	0.0	75084.0	158516.0	44.0	34.0	17.0
lyon	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	986	3187	517.0	319.0	319.0	319.0	0.318	0.318	0.318	161.0	GigabitEthernet0/0	2223.0	3963.0	0.0	72836.0	135900.0	44.0	34.0	17.0
lyon	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	536	1857	383.0	185.0	185.0	185.0	0.184	0.184	0.184	162.0	GigabitEthernet0/0	2223.0	3962.0	0.0	68440.0	126163.0	44.0	34.0	16.0
besancon	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	528	1585	391.0	191.0	191.0	191.0	0.19	0.19	0.19	163.0	GigabitEthernet0/0	2223.0	3962.0	0.0	75079.0	147074.0	44.0	34.0	16.0
besancon	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	280	1029	324.0	128.0	128.0	128.0	0.127	0.127	0.127	161.0	GigabitEthernet0/0	2223.0	3962.0	1.0	68845.0	125537.0	44.0	34.0	16.0
montpellier	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	619	2008	378.0	180.0	180.0	180.0	0.18	0.18	0.18	162.0	GigabitEthernet0/0	2223.0	3962.0	0.0	63408.0	124578.0	44.0	34.0	16.0
montpellier	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	331	1373	348.0	148.0	148.0	148.0	0.147	0.147	0.147	167.0	GigabitEthernet0/0	2223.0	3963.0	0.0	63015.0	126938.0	44.0	34.0	17.0
besancon	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	536	1703	388.0	186.0	186.0	186.0	0.185	0.185	0.185	167.0	GigabitEthernet0/0	2223.0	3963.0	0.0	64728.0	125095.0	44.0	34.0	17.0
besancon	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	montpellier	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	626	1730	420.0	222.0	222.0	222.0	0.221	0.221	0.221	160.0	GigabitEthernet0/0	2223.0	3962.0	0.0	90299.0	151984.0	44.0	34.0	16.0
paris	montpellier	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	291	1371	321.0	130.0	130.0	130.0	0.129	0.129	0.129	158.0	GigabitEthernet0/0	2223.0	3962.0	0.0	64037.0	128411.0	44.0	34.0	16.0
paris	montpellier	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	montpellier	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	625	1707	406.0	214.0	214.0	214.0	0.214	0.214	0.214	158.0	GigabitEthernet0/0	2223.0	3963.0	1.0	66886.0	251000.0	44.0	34.0	17.0
lyon	montpellier	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	365	1748	343.0	152.0	152.0	152.0	0.152	0.152	0.152	158.0	GigabitEthernet0/0	2223.0	3963.0	0.0	63081.0	171745.0	44.0	34.0	17.0
lyon	montpellier	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	montpellier	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	582	1923	385.0	187.0	187.0	187.0	0.187	0.187	0.187	163.0	GigabitEthernet0/0	2223.0	3962.0	1.0	62672.0	117135.0	44.0	34.0	16.0
poiters	montpellier	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	317	1143	322.0	127.0	127.0	127.0	0.126	0.126	0.126	161.0	GigabitEthernet0/0	2223.0	3962.0	0.0	66402.0	131901.0	44.0	34.0	16.0
poiters	montpellier	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
toulouse	bordeaux	1	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	159	1059	304.0	114.0	114.0	114.0	0.114	0.114	0.114	156.0	GigabitEthernet0/0	2223.0	3963.0	1.0	68602.0	132003.0	44.0	34.0	17.0
toulouse	bordeaux	2	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	827	2549	428.0	238.0	238.0	238.0	0.238	0.238	0.238	156.0	GigabitEthernet0/0	2223.0	3963.0	0.0	64393.0	133644.0	44.0	34.0	17.0
toulouse	bordeaux	3	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bordeaux	toulouse	1	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	561	1733	389.0	198.0	198.0	198.0	0.197	0.197	0.197	159.0	GigabitEthernet0/0	2223.0	3963.0	0.0	78369.0	124905.0	44.0	34.0	17.0
bordeaux	toulouse	2	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	653	2366	402.0	210.0	210.0	210.0	0.21	0.21	0.21	157.0	GigabitEthernet0/0	2223.0	3963.0	1.0	62985.0	120554.0	44.0	34.0	17.0
bordeaux	toulouse	3	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	202	769	300.0	109.0	109.0	109.0	0.109	0.109	0.109	158.0	GigabitEthernet0/0	2223.0	3962.0	0.0	64291.0	122751.0	44.0	34.0	16.0
poiters	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	571	1970	385.0	195.0	195.0	195.0	0.194	0.194	0.194	156.0	GigabitEthernet0/0	2223.0	3962.0	0.0	65674.0	133865.0	44.0	34.0	16.0
poiters	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	492	1398	371.0	170.0	170.0	170.0	0.169	0.169	0.169	167.0	GigabitEthernet0/0	2223.0	3963.0	0.0	65227.0	121564.0	44.0	34.0	17.0
montpellier	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	812	2896	427.0	231.0	231.0	231.0	0.231	0.231	0.231	164.0	GigabitEthernet0/0	2223.0	3963.0	0.0	62738.0	114401.0	44.0	34.0	17.0
montpellier	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	montpellier	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	535	2071	379.0	189.0	189.0	189.0	0.188	0.188	0.188	158.0	GigabitEthernet0/0	2223.0	3962.0	0.0	60419.0	117213.0	44.0	34.0	16.0
besancon	montpellier	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	192	930	308.0	117.0	117.0	117.0	0.117	0.117	0.117	159.0	GigabitEthernet0/0	2223.0	3962.0	0.0	68643.0	125906.0	44.0	34.0	16.0
besancon	montpellier	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	612	1954	407.0	206.0	206.0	206.0	0.205	0.205	0.205	169.0	GigabitEthernet0/0	2223.0	3962.0	0.0	59499.0	116910.0	44.0	34.0	16.0
montpellier	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	172	915	317.0	115.0	115.0	115.0	0.114	0.114	0.114	169.0	GigabitEthernet0/0	2223.0	3962.0	0.0	62764.0	122330.0	44.0	34.0	16.0
montpellier	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	345	1016	331.0	130.0	130.0	130.0	0.129	0.129	0.129	168.0	GigabitEthernet0/0	2223.0	3963.0	1.0	75114.0	123111.0	44.0	34.0	17.0
besancon	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	1220	2872	605.0	402.0	402.0	402.0	0.402	0.402	0.402	170.0	GigabitEthernet0/0	2223.0	3963.0	0.0	64087.0	117466.0	44.0	34.0	17.0
besancon	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	85	501	278.0	89.0	89.0	89.0	0.088	0.088	0.088	157.0	GigabitEthernet0/0	2223.0	3962.0	0.0	66989.0	119064.0	44.0	34.0	16.0
montpellier	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	356	1368	340.0	151.0	151.0	151.0	0.15	0.15	0.15	157.0	GigabitEthernet0/0	2223.0	3962.0	0.0	62889.0	118098.0	44.0	34.0	16.0
montpellier	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
