src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
lyon	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	874	2165	627.0	260.0	260.0	260.0	0.259	0.259	0.259	289.0	GigabitEthernet0/0	2257.0	3998.0	4.0	1235063.0	2965544.0	44.0	34.0	18.0
lyon	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1368	2925	638.0	400.0	400.0	400.0	0.4	0.4	0.4	206.0	GigabitEthernet0/0	2257.0	3998.0	1.0	132004.0	293274.0	44.0	34.0	18.0
lyon	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1811	4360	808.0	537.0	537.0	537.0	0.536	0.536	0.536	244.0	GigabitEthernet0/0	2257.0	3998.0	0.0	114525.0	322133.0	44.0	34.0	18.0
poiters	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	805	2093	465.0	255.0	255.0	255.0	0.254	0.254	0.254	190.0	GigabitEthernet0/0	2257.0	3997.0	0.0	82344.0	239745.0	44.0	34.0	17.0
poiters	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1729	4440	711.0	519.0	519.0	519.0	0.518	0.518	0.518	171.0	GigabitEthernet0/0	2257.0	3997.0	0.0	89951.0	362743.0	44.0	34.0	17.0
poiters	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1687	4729	665.0	466.0	466.0	466.0	0.465	0.465	0.465	172.0	GigabitEthernet0/0	2257.0	3997.0	1.0	95447.0	247854.0	44.0	34.0	17.0
paris	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	738	2266	418.0	219.0	219.0	219.0	0.218	0.218	0.218	179.0	GigabitEthernet0/0	2257.0	3998.0	0.0	100170.0	163619.0	44.0	34.0	18.0
paris	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1334	3252	591.0	400.0	400.0	400.0	0.4	0.4	0.4	172.0	GigabitEthernet0/0	2257.0	3998.0	0.0	75604.0	159201.0	44.0	34.0	18.0
paris	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1512	3841	639.0	449.0	449.0	449.0	0.448	0.448	0.448	171.0	GigabitEthernet0/0	2257.0	3998.0	1.0	88785.0	133344.0	44.0	34.0	18.0
lyon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	925	2613	475.0	281.0	281.0	281.0	0.28	0.28	0.28	172.0	GigabitEthernet0/0	2257.0	3997.0	0.0	79318.0	171914.0	44.0	34.0	17.0
lyon	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1464	3396	640.0	449.0	449.0	449.0	0.449	0.449	0.449	171.0	GigabitEthernet0/0	2257.0	3997.0	1.0	97554.0	197690.0	44.0	34.0	17.0
lyon	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1689	4045	712.0	529.0	529.0	529.0	0.529	0.529	0.529	163.0	GigabitEthernet0/0	2257.0	3997.0	1.0	81531.0	145488.0	44.0	34.0	17.0
