src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
lyon	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	957	2227	464.0	259.0	259.0	259.0	0.258	0.258	0.258	183.0	GigabitEthernet0/0	2257.0	4032.0	0.0	122050.0	361837.0	44.0	34.0	18.0
lyon	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1600	3954	632.0	430.0	430.0	430.0	0.43	0.43	0.43	178.0	GigabitEthernet0/0	2257.0	4032.0	1.0	127630.0	319715.0	44.0	34.0	18.0
lyon	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1503	3613	626.0	429.0	429.0	429.0	0.429	0.429	0.429	177.0	GigabitEthernet0/0	2257.0	4032.0	0.0	93659.0	250644.0	44.0	34.0	18.0
poiters	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	992	2468	484.0	274.0	274.0	274.0	0.274	0.274	0.274	191.0	GigabitEthernet0/0	2257.0	4031.0	0.0	75125.0	151945.0	44.0	34.0	17.0
poiters	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1671	3569	651.0	456.0	456.0	456.0	0.456	0.456	0.456	173.0	GigabitEthernet0/0	2257.0	4031.0	0.0	76941.0	182553.0	44.0	34.0	17.0
poiters	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	2067	5007	803.0	600.0	600.0	600.0	0.6	0.6	0.6	172.0	GigabitEthernet0/0	2257.0	4031.0	1.0	75818.0	240549.0	44.0	34.0	17.0
paris	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	725	1855	448.0	258.0	258.0	258.0	0.257	0.257	0.257	171.0	GigabitEthernet0/0	2257.0	4032.0	1.0	77808.0	132533.0	44.0	34.0	18.0
paris	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1435	3243	620.0	425.0	425.0	425.0	0.424	0.424	0.424	175.0	GigabitEthernet0/0	2257.0	4032.0	1.0	75743.0	140936.0	44.0	34.0	18.0
paris	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1710	3250	658.0	470.0	470.0	470.0	0.47	0.47	0.47	169.0	GigabitEthernet0/0	2257.0	4032.0	0.0	83346.0	133449.0	44.0	34.0	18.0
lyon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	749	1893	411.0	228.0	228.0	228.0	0.227	0.227	0.227	165.0	GigabitEthernet0/0	2257.0	4031.0	0.0	68606.0	124983.0	44.0	34.0	17.0
lyon	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1336	3296	560.0	380.0	380.0	380.0	0.38	0.38	0.38	162.0	GigabitEthernet0/0	2257.0	4031.0	1.0	70821.0	142137.0	44.0	34.0	17.0
lyon	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1672	4197	690.0	495.0	495.0	495.0	0.494	0.494	0.494	175.0	GigabitEthernet0/0	2257.0	4031.0	1.0	69926.0	130387.0	44.0	34.0	17.0
poiters	paris	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	759	1683	408.0	217.0	217.0	217.0	0.216	0.216	0.216	172.0	GigabitEthernet0/0	2257.0	4032.0	0.0	83946.0	128418.0	44.0	34.0	18.0
poiters	paris	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1491	3961	630.0	440.0	440.0	440.0	0.439	0.439	0.439	170.0	GigabitEthernet0/0	2257.0	4032.0	0.0	112038.0	133402.0	44.0	34.0	18.0
poiters	paris	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1656	3794	654.0	465.0	465.0	465.0	0.464	0.464	0.464	171.0	GigabitEthernet0/0	2257.0	4032.0	0.0	74767.0	120954.0	44.0	34.0	18.0
paris	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	793	2314	421.0	240.0	240.0	240.0	0.24	0.24	0.24	162.0	GigabitEthernet0/0	2257.0	4032.0	0.0	75246.0	130835.0	44.0	34.0	18.0
paris	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1550	3373	620.0	433.0	433.0	433.0	0.432	0.432	0.432	167.0	GigabitEthernet0/0	2257.0	4032.0	0.0	72062.0	134740.0	44.0	34.0	18.0
paris	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1478	3517	608.0	428.0	428.0	428.0	0.428	0.428	0.428	162.0	GigabitEthernet0/0	2257.0	4032.0	1.0	74868.0	133750.0	44.0	34.0	18.0
paris	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	977	2334	475.0	288.0	288.0	288.0	0.287	0.287	0.287	166.0	GigabitEthernet0/0	2257.0	4031.0	0.0	74174.0	132015.0	44.0	34.0	17.0
paris	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	1500	3378	603.0	425.0	425.0	425.0	0.425	0.425	0.425	159.0	GigabitEthernet0/0	2257.0	4031.0	0.0	69531.0	124281.0	44.0	34.0	17.0
paris	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	besancon	1	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	956	2455	437.0	260.0	260.0	260.0	0.26	0.26	0.26	160.0	GigabitEthernet0/0	2257.0	4031.0	0.0	68775.0	125070.0	44.0	34.0	17.0
lyon	besancon	2	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	1537	3849	607.0	429.0	429.0	429.0	0.428	0.428	0.428	159.0	GigabitEthernet0/0	2257.0	4031.0	0.0	68166.0	131831.0	44.0	34.0	17.0
lyon	besancon	3	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	866	2055	442.0	258.0	258.0	258.0	0.257	0.257	0.257	165.0	GigabitEthernet0/0	2257.0	4030.0	1.0	67474.0	121865.0	44.0	34.0	16.0
besancon	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1441	3263	580.0	401.0	401.0	401.0	0.401	0.401	0.401	161.0	GigabitEthernet0/0	2257.0	4030.0	0.0	65598.0	121557.0	44.0	34.0	16.0
besancon	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
montpellier	poiters	1	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	704	1934	401.0	223.0	223.0	223.0	0.223	0.223	0.223	161.0	GigabitEthernet0/0	2257.0	4030.0	0.0	67888.0	127450.0	44.0	34.0	16.0
montpellier	poiters	2	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	1340	2733	552.0	371.0	371.0	371.0	0.37	0.37	0.37	161.0	GigabitEthernet0/0	2257.0	4030.0	0.0	63792.0	126633.0	44.0	34.0	16.0
montpellier	poiters	3	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
besancon	lyon	1	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	652	1812	416.0	223.0	223.0	223.0	0.222	0.222	0.222	173.0	GigabitEthernet0/0	2257.0	4031.0	0.0	156877.0	134335.0	44.0	34.0	17.0
besancon	lyon	2	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	1281	3074	558.0	362.0	362.0	362.0	0.361	0.361	0.361	175.0	GigabitEthernet0/0	2257.0	4031.0	0.0	64867.0	126998.0	44.0	34.0	17.0
besancon	lyon	3	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	montpellier	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	1074	2749	484.0	305.0	305.0	305.0	0.304	0.304	0.304	159.0	GigabitEthernet0/0	2257.0	4030.0	0.0	70271.0	135809.0	44.0	34.0	16.0
paris	montpellier	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	1434	2993	607.0	428.0	428.0	428.0	0.427	0.427	0.427	161.0	GigabitEthernet0/0	2257.0	4030.0	0.0	66867.0	125708.0	44.0	34.0	16.0
paris	montpellier	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lyon	montpellier	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	824	2123	453.0	265.0	265.0	265.0	0.264	0.264	0.264	168.0	GigabitEthernet0/0	2257.0	4031.0	0.0	71954.0	136919.0	44.0	34.0	17.0
lyon	montpellier	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	1385	3015	580.0	402.0	402.0	402.0	0.401	0.401	0.401	160.0	GigabitEthernet0/0	2257.0	4031.0	0.0	66750.0	135118.0	44.0	34.0	17.0
lyon	montpellier	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
poiters	montpellier	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	947	2303	456.0	279.0	279.0	279.0	0.279	0.279	0.279	160.0	GigabitEthernet0/0	2257.0	4030.0	0.0	60280.0	138239.0	44.0	34.0	16.0
poiters	montpellier	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	1538	3493	610.0	419.0	419.0	419.0	0.419	0.419	0.419	169.0	GigabitEthernet0/0	2257.0	4030.0	0.0	63096.0	121510.0	44.0	34.0	16.0
poiters	montpellier	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
toulouse	bordeaux	1	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	901	2947	468.0	293.0	293.0	293.0	0.292	0.292	0.292	157.0	GigabitEthernet0/0	2257.0	4031.0	0.0	65294.0	119097.0	44.0	34.0	17.0
toulouse	bordeaux	2	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	1302	2852	578.0	395.0	395.0	395.0	0.394	0.394	0.394	164.0	GigabitEthernet0/0	2257.0	4031.0	0.0	62405.0	123749.0	44.0	34.0	17.0
toulouse	bordeaux	3	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
