src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	5660	20853	6091.0	4676.0	4676.0	4676.0	4.676	4.676	4.676	1039.0	GigabitEthernet0/0	22450.0	30718.0	1.0	201966.0	602951.0	205.0	126.0	61.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	5592	23169	5671.0	4230.0	4230.0	4230.0	4.229	4.229	4.229	1108.0	GigabitEthernet0/0	22450.0	30718.0	0.0	226220.0	431290.0	205.0	126.0	61.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	6745	25312	6309.0	4856.0	4856.0	4856.0	4.855	4.855	4.855	1124.0	GigabitEthernet0/0	22450.0	30718.0	1.0	257308.0	472486.0	205.0	126.0	61.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	4796	16683	4978.0	3629.0	3629.0	3629.0	3.629	3.629	3.629	1063.0	GigabitEthernet0/0	22450.0	30718.0	1.0	251267.0	598186.0	205.0	126.0	61.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	7124	24279	6793.0	5482.0	5482.0	5482.0	5.481	5.481	5.481	1029.0	GigabitEthernet0/0	22450.0	30718.0	1.0	202513.0	460193.0	205.0	126.0	61.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	6835	22604	6546.0	5183.0	5183.0	5183.0	5.182	5.182	5.182	1083.0	GigabitEthernet0/0	22450.0	30718.0	1.0	248095.0	592880.0	205.0	126.0	61.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	4993	15791	4707.0	3415.0	3415.0	3415.0	3.414	3.414	3.414	1019.0	GigabitEthernet0/0	22450.0	30719.0	0.0	175572.0	420258.0	205.0	126.0	62.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	6616	23987	6154.0	4823.0	4823.0	4823.0	4.823	4.823	4.823	1050.0	GigabitEthernet0/0	22450.0	30719.0	1.0	233563.0	550315.0	205.0	126.0	62.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	sat	8118	25293	7525.0	6241.0	6241.0	6241.0	6.24	6.24	6.24	1018.0	GigabitEthernet0/0	22450.0	30719.0	1.0	249780.0	603248.0	205.0	126.0	62.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	sat	4290	15412	5252.0	4023.0	4023.0	4023.0	4.023	4.023	4.023	973.0	GigabitEthernet0/0	22450.0	30719.0	0.0	162984.0	397192.0	205.0	126.0	62.0
