src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	6584	20058	6751.0	5431.0	5431.0	5431.0	5.43	5.43	5.43	1178.0	GigabitEthernet0/0	22624.0	30892.0	6.0	1486475.0	3381130.0	205.0	126.0	61.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	20922	44087	20386.0	19199.0	19199.0	19199.0	19.199	19.199	19.199	1101.0	GigabitEthernet0/0	22624.0	30892.0	2.0	329500.0	1448978.0	205.0	126.0	61.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	103148	150546	120572.0	119420.0	119420.0	119420.0	119.419	119.419	119.419	1073.0	GigabitEthernet0/0	22624.0	30892.0	0.0	337591.0	905014.0	205.0	126.0	61.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	7904	21944	7718.0	6536.0	6536.0	6536.0	6.535	6.535	6.535	1112.0	GigabitEthernet0/0	22624.0	30892.0	1.0	222422.0	459876.0	205.0	126.0	61.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	29984	57651	32841.0	31656.0	31656.0	31656.0	31.656	31.656	31.656	1115.0	GigabitEthernet0/0	22624.0	30892.0	1.0	170970.0	394352.0	205.0	126.0	61.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	118381	170503	145154.0	143951.0	143951.0	143951.0	143.95	143.95	143.95	1133.0	GigabitEthernet0/0	22624.0	30892.0	1.0	223788.0	461957.0	205.0	126.0	61.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	8319	23746	7954.0	6824.0	6824.0	6824.0	6.823	6.823	6.823	1053.0	GigabitEthernet0/0	22624.0	30893.0	1.0	248213.0	643572.0	205.0	126.0	62.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	23703	44037	26101.0	24963.0	24963.0	24963.0	24.962	24.962	24.962	1060.0	GigabitEthernet0/0	22624.0	30893.0	1.0	244711.0	597456.0	205.0	126.0	62.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	123557	182088	148656.0	147521.0	147521.0	147521.0	147.521	147.521	147.521	1053.0	GigabitEthernet0/0	22624.0	30893.0	1.0	235412.0	572905.0	205.0	126.0	62.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	7203	21337	7036.0	5894.0	5894.0	5894.0	5.894	5.894	5.894	1066.0	GigabitEthernet0/0	22624.0	30893.0	1.0	229433.0	544815.0	205.0	126.0	62.0
augusta	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	24111	46054	25069.0	23959.0	23959.0	23959.0	23.958	23.958	23.958	1033.0	GigabitEthernet0/0	22624.0	30893.0	1.0	232894.0	541527.0	205.0	126.0	62.0
augusta	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	130125	182358	145692.0	144639.0	144639.0	144639.0	144.638	144.638	144.638	987.0	GigabitEthernet0/0	22624.0	30893.0	0.0	158896.0	379694.0	205.0	126.0	62.0
yemassee	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	8056	23752	7311.0	6304.0	6304.0	6304.0	6.303	6.303	6.303	951.0	GigabitEthernet0/0	22624.0	30893.0	0.0	157234.0	345913.0	205.0	126.0	62.0
yemassee	columbia	2	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	23366	49034	23570.0	22558.0	22558.0	22558.0	22.557	22.557	22.557	953.0	GigabitEthernet0/0	22624.0	30893.0	0.0	160262.0	334443.0	205.0	126.0	62.0
yemassee	columbia	3	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	138936	198237	165522.0	164494.0	164494.0	164494.0	164.494	164.494	164.494	968.0	GigabitEthernet0/0	22624.0	30893.0	0.0	231322.0	563584.0	205.0	126.0	62.0
columbia	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	6482	18205	6569.0	5517.0	5517.0	5517.0	5.516	5.516	5.516	993.0	GigabitEthernet0/0	22624.0	30893.0	0.0	203218.0	375956.0	205.0	126.0	62.0
columbia	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	31901	60272	33383.0	32331.0	32331.0	32331.0	32.33	32.33	32.33	988.0	GigabitEthernet0/0	22624.0	30893.0	1.0	172488.0	405790.0	205.0	126.0	62.0
columbia	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	143964	206397	170000.0	168955.0	168955.0	168955.0	168.954	168.954	168.954	985.0	GigabitEthernet0/0	22624.0	30893.0	1.0	215198.0	369036.0	205.0	126.0	62.0
yemassee	chester	1	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	7977	24198	7503.0	6456.0	6456.0	6456.0	6.455	6.455	6.455	982.0	GigabitEthernet0/0	22624.0	30892.0	1.0	180963.0	434041.0	205.0	126.0	61.0
yemassee	chester	2	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	unsat	24153	50006	25158.0	24083.0	24083.0	24083.0	24.082	24.082	24.082	1008.0	GigabitEthernet0/0	22624.0	30892.0	0.0	165941.0	388631.0	205.0	126.0	61.0
yemassee	chester	3	IpWildcardIpSpace{ipWildcard=200.4.164.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
