src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	7439	24617	7355.0	6196.0	6196.0	6196.0	6.195	6.195	6.195	1073.0	GigabitEthernet0/0	22624.0	31066.0	1.0	341715.0	1001348.0	205.0	126.0	61.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	28642	57836	26235.0	25122.0	25122.0	25122.0	25.122	25.122	25.122	1034.0	GigabitEthernet0/0	22624.0	31066.0	1.0	205345.0	660097.0	205.0	126.0	61.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	114821	164077	128019.0	126904.0	126904.0	126904.0	126.904	126.904	126.904	1036.0	GigabitEthernet0/0	22624.0	31066.0	1.0	227801.0	579870.0	205.0	126.0	61.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	7249	24196	7788.0	6583.0	6583.0	6583.0	6.582	6.582	6.582	1133.0	GigabitEthernet0/0	22624.0	31066.0	0.0	221298.0	526907.0	205.0	126.0	61.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	35044	67334	34354.0	33275.0	33275.0	33275.0	33.275	33.275	33.275	1006.0	GigabitEthernet0/0	22624.0	31066.0	1.0	174781.0	417245.0	205.0	126.0	61.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	87434	135834	100374.0	99304.0	99304.0	99304.0	99.303	99.303	99.303	1002.0	GigabitEthernet0/0	22624.0	31066.0	0.0	162714.0	401090.0	205.0	126.0	61.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	7474	23275	7265.0	6119.0	6119.0	6119.0	6.119	6.119	6.119	1064.0	GigabitEthernet0/0	22624.0	31067.0	0.0	266783.0	654959.0	205.0	126.0	62.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	24448	51871	25236.0	24110.0	24110.0	24110.0	24.109	24.109	24.109	1048.0	GigabitEthernet0/0	22624.0	31067.0	1.0	195557.0	470462.0	205.0	126.0	62.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=200.5.19.0/24}	unsat	99177	145531	119036.0	117921.0	117921.0	117921.0	117.92	117.92	117.92	1034.0	GigabitEthernet0/0	22624.0	31067.0	0.0	252953.0	623469.0	205.0	126.0	62.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=200.4.242.0/24}	unsat	8003	23904	7601.0	6514.0	6514.0	6514.0	6.513	6.513	6.513	1016.0	GigabitEthernet0/0	22624.0	31067.0	1.0	176850.0	408966.0	205.0	126.0	62.0
