src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1300	3892	608.0	521.0	521.0	521.0	0.52	0.52	0.52	74.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	3963	8084	1786.0	1702.0	1702.0	1702.0	1.702	1.702	1.702	71.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	8728	15723	3664.0	3581.0	3581.0	3581.0	3.58	3.58	3.58	72.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1203	3772	609.0	514.0	514.0	514.0	0.513	0.513	0.513	83.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	4621	10100	2064.0	1983.0	1983.0	1983.0	1.982	1.982	1.982	70.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	9629	16655	4054.0	3974.0	3974.0	3974.0	3.974	3.974	3.974	69.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1383	5360	720.0	644.0	644.0	644.0	0.644	0.644	0.644	65.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	4238	9995	1854.0	1780.0	1780.0	1780.0	1.779	1.779	1.779	64.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	11615	19088	4888.0	4810.0	4810.0	4810.0	4.809	4.809	4.809	68.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1059	3700	505.0	429.0	429.0	429.0	0.428	0.428	0.428	65.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	3348	6794	1554.0	1478.0	1478.0	1478.0	1.478	1.478	1.478	65.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	9472	15651	3944.0	3862.0	3862.0	3862.0	3.862	3.862	3.862	71.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	966	3408	522.0	451.0	451.0	451.0	0.45	0.45	0.45	60.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	3505	7811	1550.0	1479.0	1479.0	1479.0	1.479	1.479	1.479	60.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	8420	14082	3697.0	3625.0	3625.0	3625.0	3.624	3.624	3.624	61.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1415	4275	659.0	576.0	576.0	576.0	0.575	0.575	0.575	71.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	5566	11666	2382.0	2305.0	2305.0	2305.0	2.305	2.305	2.305	66.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	11038	18419	4855.0	4779.0	4779.0	4779.0	4.778	4.778	4.778	65.0	FastEthernet0/0	1690.0	3569.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1255	4252	615.0	543.0	543.0	543.0	0.542	0.542	0.542	62.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	4105	9104	1931.0	1857.0	1857.0	1857.0	1.856	1.856	1.856	64.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	11778	19604	4823.0	4750.0	4750.0	4750.0	4.75	4.75	4.75	62.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	1271	3903	612.0	538.0	538.0	538.0	0.537	0.537	0.537	63.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	milan	2	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	3541	7832	1557.0	1477.0	1477.0	1477.0	1.476	1.476	1.476	67.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	milan	3	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	11113	18060	4629.0	4555.0	4555.0	4555.0	4.555	4.555	4.555	62.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	1062	4437	567.0	495.0	495.0	495.0	0.494	0.494	0.494	61.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	milan	2	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	4309	8682	1841.0	1769.0	1769.0	1769.0	1.768	1.768	1.768	62.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	milan	3	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	10790	18499	4724.0	4651.0	4651.0	4651.0	4.651	4.651	4.651	60.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1148	4193	604.0	524.0	524.0	524.0	0.523	0.523	0.523	69.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	3805	8173	1592.0	1507.0	1507.0	1507.0	1.507	1.507	1.507	72.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	10553	17981	4414.0	4336.0	4336.0	4336.0	4.336	4.336	4.336	66.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	geneva	1	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	1143	3890	561.0	493.0	493.0	493.0	0.492	0.492	0.492	58.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	geneva	2	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	3242	7693	1504.0	1435.0	1435.0	1435.0	1.435	1.435	1.435	59.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	geneva	3	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	12425	18801	5161.0	5094.0	5094.0	5094.0	5.093	5.093	5.093	57.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	1075	3293	560.0	492.0	492.0	492.0	0.491	0.491	0.491	58.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	milan	2	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	3987	9403	1943.0	1873.0	1873.0	1873.0	1.873	1.873	1.873	60.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	milan	3	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	11332	18314	4717.0	4649.0	4649.0	4649.0	4.649	4.649	4.649	57.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1221	4710	640.0	570.0	570.0	570.0	0.569	0.569	0.569	60.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	3947	8539	1713.0	1641.0	1641.0	1641.0	1.641	1.641	1.641	62.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	9867	17127	4051.0	3978.0	3978.0	3978.0	3.977	3.977	3.977	64.0	FastEthernet0/0	1690.0	3567.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	1113	4088	589.0	522.0	522.0	522.0	0.521	0.521	0.521	57.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	3973	8430	1632.0	1565.0	1565.0	1565.0	1.564	1.564	1.564	58.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	9660	17244	4438.0	4370.0	4370.0	4370.0	4.37	4.37	4.37	58.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	geneva	1	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	1051	3722	554.0	485.0	485.0	485.0	0.484	0.484	0.484	59.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	geneva	2	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	4135	8460	1828.0	1760.0	1760.0	1760.0	1.76	1.76	1.76	59.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	geneva	3	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	8841	15038	3506.0	3436.0	3436.0	3436.0	3.435	3.435	3.435	60.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	1214	4637	601.0	532.0	532.0	532.0	0.532	0.532	0.532	59.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	3657	7859	1671.0	1604.0	1604.0	1604.0	1.603	1.603	1.603	58.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	13778	21761	5710.0	5641.0	5641.0	5641.0	5.64	5.64	5.64	59.0	FastEthernet0/0	1690.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	zurich	1	IpWildcardIpSpace{ipWildcard=100.0.24.0/24}	unsat	1076	4262	578.0	507.0	507.0	507.0	0.507	0.507	0.507	61.0	FastEthernet0/0	1690.0	3566.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	zurich	2	IpWildcardIpSpace{ipWildcard=100.0.24.0/24}	unsat	3949	8474	1867.0	1798.0	1798.0	1798.0	1.796	1.796	1.796	60.0	FastEthernet0/0	1690.0	3566.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	zurich	3	IpWildcardIpSpace{ipWildcard=100.0.24.0/24}	unsat	8904	14973	3552.0	3483.0	3483.0	3483.0	3.482	3.482	3.482	60.0	FastEthernet0/0	1690.0	3566.0	0.0	0.0	0.0	0.0	0.0	0.0
