src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1272	4304	680.0	597.0	597.0	597.0	0.597	0.597	0.597	71.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	4067	8420	1857.0	1779.0	1779.0	1779.0	1.778	1.778	1.778	67.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	11515	18558	4875.0	4798.0	4798.0	4798.0	4.798	4.798	4.798	65.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1095	3523	589.0	509.0	509.0	509.0	0.509	0.509	0.509	68.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	4582	10107	2029.0	1948.0	1948.0	1948.0	1.948	1.948	1.948	70.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	12810	20816	5171.0	5096.0	5096.0	5096.0	5.096	5.096	5.096	65.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1229	4004	597.0	516.0	516.0	516.0	0.516	0.516	0.516	70.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	4568	9938	2059.0	1979.0	1979.0	1979.0	1.979	1.979	1.979	68.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	9813	16289	4255.0	4174.0	4174.0	4174.0	4.173	4.173	4.173	70.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1069	4061	571.0	492.0	492.0	492.0	0.491	0.491	0.491	67.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	3965	8999	1705.0	1628.0	1628.0	1628.0	1.628	1.628	1.628	65.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	11446	19209	4917.0	4840.0	4840.0	4840.0	4.84	4.84	4.84	65.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	1109	3982	573.0	501.0	501.0	501.0	0.5	0.5	0.5	61.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	3563	7815	1617.0	1549.0	1549.0	1549.0	1.548	1.548	1.548	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	8301	15138	3475.0	3405.0	3405.0	3405.0	3.404	3.404	3.404	60.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1605	4013	723.0	647.0	647.0	647.0	0.646	0.646	0.646	66.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	5517	11588	2523.0	2448.0	2448.0	2448.0	2.447	2.447	2.447	65.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	12018	19794	5049.0	4973.0	4973.0	4973.0	4.972	4.972	4.972	66.0	FastEthernet0/0	1690.0	3602.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1186	4019	578.0	504.0	504.0	504.0	0.504	0.504	0.504	63.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	4469	8684	2086.0	2012.0	2012.0	2012.0	2.011	2.011	2.011	63.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	14202	22874	6002.0	5928.0	5928.0	5928.0	5.928	5.928	5.928	63.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	1218	4070	617.0	545.0	545.0	545.0	0.544	0.544	0.544	60.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	milan	2	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	3469	7524	1554.0	1489.0	1489.0	1489.0	1.488	1.488	1.488	57.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	milan	3	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	10327	17123	4269.0	4200.0	4200.0	4200.0	4.2	4.2	4.2	59.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	1207	4554	572.0	499.0	499.0	499.0	0.498	0.498	0.498	61.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	milan	2	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	4383	8561	2076.0	2002.0	2002.0	2002.0	2.002	2.002	2.002	62.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
paris	milan	3	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	8791	15548	3705.0	3631.0	3631.0	3631.0	3.631	3.631	3.631	62.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1348	4533	684.0	609.0	609.0	609.0	0.608	0.608	0.608	65.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	5238	10672	2409.0	2333.0	2333.0	2333.0	2.332	2.332	2.332	64.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	9625	16985	4404.0	4323.0	4323.0	4323.0	4.322	4.322	4.322	70.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	geneva	1	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	1177	4539	581.0	511.0	511.0	511.0	0.51	0.51	0.51	59.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	geneva	2	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	4436	9172	1955.0	1883.0	1883.0	1883.0	1.883	1.883	1.883	62.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	geneva	3	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	8348	15291	3613.0	3545.0	3545.0	3545.0	3.544	3.544	3.544	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	1034	3057	477.0	409.0	409.0	409.0	0.408	0.408	0.408	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	milan	2	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	4382	8373	1943.0	1874.0	1874.0	1874.0	1.874	1.874	1.874	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
geneva	milan	3	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	unsat	10749	18657	4497.0	4426.0	4426.0	4426.0	4.426	4.426	4.426	59.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	1170	4062	547.0	476.0	476.0	476.0	0.476	0.476	0.476	61.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	4646	10308	2051.0	1978.0	1978.0	1978.0	1.978	1.978	1.978	62.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
frankfurt	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	10246	16770	3962.0	3891.0	3891.0	3891.0	3.89	3.89	3.89	61.0	FastEthernet0/0	1690.0	3600.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	1198	4163	589.0	520.0	520.0	520.0	0.519	0.519	0.519	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	4607	8196	2112.0	2045.0	2045.0	2045.0	2.044	2.044	2.044	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
brussels	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	10172	17382	4502.0	4432.0	4432.0	4432.0	4.431	4.431	4.431	60.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	geneva	1	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	1187	4660	625.0	558.0	558.0	558.0	0.557	0.557	0.557	57.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	geneva	2	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	3755	7567	1713.0	1644.0	1644.0	1644.0	1.644	1.644	1.644	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
zurich	geneva	3	IpWildcardIpSpace{ipWildcard=100.0.11.0/24}	unsat	9205	15805	3846.0	3778.0	3778.0	3778.0	3.777	3.777	3.777	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	1033	3577	554.0	482.0	482.0	482.0	0.482	0.482	0.482	62.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	3953	8751	1793.0	1723.0	1723.0	1723.0	1.722	1.722	1.722	59.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
milan	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	11965	18969	4686.0	4617.0	4617.0	4617.0	4.617	4.617	4.617	58.0	FastEthernet0/0	1690.0	3598.0	0.0	0.0	0.0	0.0	0.0	0.0
