src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	784	6126	977.0	827.0	827.0	827.0	0.827	0.827	0.827	102.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	744	5931	836.0	685.0	685.0	685.0	0.684	0.684	0.684	102.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	729	6222	869.0	715.0	715.0	715.0	0.715	0.715	0.715	105.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	678	4014	778.0	636.0	636.0	636.0	0.635	0.635	0.635	95.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	721	5183	835.0	696.0	696.0	696.0	0.696	0.696	0.696	93.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	1524	5315	1521.0	1374.0	1374.0	1374.0	1.373	1.373	1.373	101.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	678	4014	777.0	646.0	646.0	646.0	0.645	0.645	0.645	88.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	745	4727	736.0	603.0	603.0	603.0	0.603	0.603	0.603	87.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	1524	5315	1520.0	1388.0	1388.0	1388.0	1.387	1.387	1.387	89.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	639	4877	826.0	686.0	686.0	686.0	0.685	0.685	0.685	92.0	FastEthernet0/0	3026.0	6493.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	735	5378	869.0	737.0	737.0	737.0	0.736	0.736	0.736	88.0	FastEthernet0/0	3026.0	6493.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	809	6904	1032.0	895.0	895.0	895.0	0.895	0.895	0.895	91.0	FastEthernet0/0	3026.0	6493.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	sat	742	4576	851.0	699.0	699.0	699.0	0.699	0.699	0.699	102.0	FastEthernet0/0	3026.0	6492.0	0.0	0.0	0.0	0.0	0.0	0.0
