src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	1442	8214	1503.0	1363.0	1363.0	1363.0	1.362	1.362	1.362	113.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	6571	15904	6879.0	6735.0	6735.0	6735.0	6.734	6.734	6.734	108.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	38543	59807	34307.0	34153.0	34153.0	34153.0	34.152	34.152	34.152	120.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1692	7927	1503.0	1366.0	1366.0	1366.0	1.365	1.365	1.365	106.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	8027	21901	7178.0	7045.0	7045.0	7045.0	7.044	7.044	7.044	106.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	38040	62678	35438.0	35325.0	35325.0	35325.0	35.325	35.325	35.325	89.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1581	10593	1717.0	1589.0	1589.0	1589.0	1.588	1.588	1.588	101.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	6685	19383	6129.0	5995.0	5995.0	5995.0	5.995	5.995	5.995	107.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	37772	57991	33806.0	33682.0	33682.0	33682.0	33.681	33.681	33.681	97.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1930	8117	1716.0	1601.0	1601.0	1601.0	1.6	1.6	1.6	92.0	FastEthernet0/0	3096.0	6563.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	8144	19651	8858.0	8745.0	8745.0	8745.0	8.745	8.745	8.745	90.0	FastEthernet0/0	3096.0	6563.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	38148	58753	35178.0	35057.0	35057.0	35057.0	35.056	35.056	35.056	97.0	FastEthernet0/0	3096.0	6563.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1621	6949	1443.0	1332.0	1332.0	1332.0	1.332	1.332	1.332	87.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	6513	14803	5976.0	5863.0	5863.0	5863.0	5.862	5.862	5.862	90.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	41689	64998	40341.0	40227.0	40227.0	40227.0	40.227	40.227	40.227	88.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1449	6316	1587.0	1457.0	1457.0	1457.0	1.456	1.456	1.456	106.0	FastEthernet0/0	3096.0	6562.0	0.0	0.0	0.0	0.0	0.0	0.0
