src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	1661	9732	1572.0	1432.0	1432.0	1432.0	1.431	1.431	1.431	109.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	7321	17314	6818.0	6677.0	6677.0	6677.0	6.677	6.677	6.677	111.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	43328	65823	35433.0	35312.0	35312.0	35312.0	35.311	35.311	35.311	96.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1536	6393	1500.0	1382.0	1382.0	1382.0	1.381	1.381	1.381	92.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	6679	16090	6588.0	6470.0	6470.0	6470.0	6.47	6.47	6.47	92.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	46099	68122	42568.0	42437.0	42437.0	42437.0	42.437	42.437	42.437	103.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1576	6415	1579.0	1448.0	1448.0	1448.0	1.447	1.447	1.447	104.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	8313	18617	7690.0	7555.0	7555.0	7555.0	7.554	7.554	7.554	104.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	43514	66437	40114.0	39989.0	39989.0	39989.0	39.989	39.989	39.989	97.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1742	7333	1878.0	1743.0	1743.0	1743.0	1.742	1.742	1.742	108.0	FastEthernet0/0	3096.0	6633.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	8141	19259	7197.0	7074.0	7074.0	7074.0	7.073	7.073	7.073	96.0	FastEthernet0/0	3096.0	6633.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid59	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	39753	62402	37258.0	37132.0	37132.0	37132.0	37.131	37.131	37.131	98.0	FastEthernet0/0	3096.0	6633.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1725	7199	1636.0	1495.0	1495.0	1495.0	1.495	1.495	1.495	110.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	7884	18534	7218.0	7096.0	7096.0	7096.0	7.096	7.096	7.096	97.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	42080	64263	41685.0	41561.0	41561.0	41561.0	41.56	41.56	41.56	99.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1635	6636	2003.0	1879.0	1879.0	1879.0	1.878	1.878	1.878	100.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	7734	16729	6918.0	6790.0	6790.0	6790.0	6.79	6.79	6.79	102.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	46782	71587	48135.0	48009.0	48009.0	48009.0	48.009	48.009	48.009	101.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	1691	6093	1700.0	1554.0	1554.0	1554.0	1.553	1.553	1.553	118.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	8272	19953	9163.0	9031.0	9031.0	9031.0	9.031	9.031	9.031	104.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid31	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	38848	60195	38012.0	37879.0	37879.0	37879.0	37.878	37.878	37.878	107.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1436	6329	1546.0	1415.0	1415.0	1415.0	1.414	1.414	1.414	106.0	FastEthernet0/0	3096.0	6633.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	8449	18865	8556.0	8426.0	8426.0	8426.0	8.425	8.425	8.425	103.0	FastEthernet0/0	3096.0	6633.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid45	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	44890	68520	40672.0	40540.0	40540.0	40540.0	40.54	40.54	40.54	107.0	FastEthernet0/0	3096.0	6633.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	1522	6882	1523.0	1404.0	1404.0	1404.0	1.404	1.404	1.404	92.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
nodeid44	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	unsat	7385	14792	6841.0	6730.0	6730.0	6730.0	6.73	6.73	6.73	86.0	FastEthernet0/0	3096.0	6632.0	0.0	0.0	0.0	0.0	0.0	0.0
