src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	3688	73622	5576.0	5286.0	5286.0	5286.0	5.285	5.285	5.285	192.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	4674	77018	6587.0	6316.0	6316.0	6316.0	6.316	6.316	6.316	177.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	4107	65790	6217.0	5936.0	5936.0	5936.0	5.935	5.935	5.935	188.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	4371	67503	6379.0	6094.0	6094.0	6094.0	6.094	6.094	6.094	188.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	6870	127727	11708.0	11432.0	11432.0	11432.0	11.432	11.432	11.432	181.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	4060	75998	6184.0	5904.0	5904.0	5904.0	5.904	5.904	5.904	185.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	6073	89472	10010.0	9713.0	9713.0	9713.0	9.713	9.713	9.713	193.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	3382	51445	4741.0	4447.0	4447.0	4447.0	4.447	4.447	4.447	192.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	sat	4976	81574	6956.0	6684.0	6684.0	6684.0	6.684	6.684	6.684	177.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	sat	4897	93553	7931.0	7632.0	7632.0	7632.0	7.631	7.631	7.631	201.0	FastEthernet0/0	6714.0	14429.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	2	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	sat	4673	82769	6386.0	6079.0	6079.0	6079.0	6.078	6.078	6.078	206.0	FastEthernet0/0	6714.0	14429.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	3	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	sat	5262	90345	7590.0	7272.0	7272.0	7272.0	7.272	7.272	7.272	215.0	FastEthernet0/0	6714.0	14429.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	sat	4580	73117	7201.0	6913.0	6913.0	6913.0	6.913	6.913	6.913	192.0	FastEthernet0/0	6714.0	14429.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	2	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	sat	5870	84811	8507.0	8225.0	8225.0	8225.0	8.224	8.224	8.224	186.0	FastEthernet0/0	6714.0	14429.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	columbia	3	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	sat	3923	70405	5594.0	5309.0	5309.0	5309.0	5.308	5.308	5.308	187.0	FastEthernet0/0	6714.0	14429.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	4083	59360	6110.0	5819.0	5819.0	5819.0	5.819	5.819	5.819	194.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	6715	93483	10297.0	10018.0	10018.0	10018.0	10.018	10.018	10.018	184.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	yemassee	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	3852	54366	5096.0	4815.0	4815.0	4815.0	4.814	4.814	4.814	187.0	FastEthernet0/0	6714.0	14428.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	1	IpWildcardIpSpace{ipWildcard=100.0.72.0/24}	sat	4550	69527	6765.0	6481.0	6481.0	6481.0	6.48	6.48	6.48	187.0	FastEthernet0/0	6714.0	14427.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	2	IpWildcardIpSpace{ipWildcard=100.0.72.0/24}	sat	3654	57932	5802.0	5526.0	5526.0	5526.0	5.525	5.525	5.525	179.0	FastEthernet0/0	6714.0	14427.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	chester	3	IpWildcardIpSpace{ipWildcard=100.0.72.0/24}	sat	4657	77036	7684.0	7408.0	7408.0	7408.0	7.407	7.407	7.407	180.0	FastEthernet0/0	6714.0	14427.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	myrtlebeach	1	IpWildcardIpSpace{ipWildcard=100.0.19.0/24}	sat	4122	73550	7296.0	6999.0	6999.0	6999.0	6.999	6.999	6.999	184.0	FastEthernet0/0	6714.0	14427.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	myrtlebeach	2	IpWildcardIpSpace{ipWildcard=100.0.19.0/24}	sat	3075	45093	4604.0	4325.0	4325.0	4325.0	4.325	4.325	4.325	182.0	FastEthernet0/0	6714.0	14427.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	myrtlebeach	3	IpWildcardIpSpace{ipWildcard=100.0.19.0/24}	sat	883	42750	1832.0	1558.0	1558.0	1558.0	1.558	1.558	1.558	181.0	FastEthernet0/0	6714.0	14427.0	0.0	0.0	0.0	0.0	0.0	0.0
