src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	13365	143597	18638.0	18345.0	18345.0	18345.0	18.344	18.344	18.344	233.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	43903	313019	53716.0	53398.0	53398.0	53398.0	53.397	53.397	53.397	281.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	183226	815824	189626.0	189370.0	189370.0	189370.0	189.369	189.369	189.369	202.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	13498	150850	22022.0	21796.0	21796.0	21796.0	21.795	21.795	21.795	178.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	44773	300721	56163.0	55929.0	55929.0	55929.0	55.929	55.929	55.929	186.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	162396	721087	178896.0	178658.0	178658.0	178658.0	178.657	178.657	178.657	191.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	12509	139469	17505.0	17267.0	17267.0	17267.0	17.266	17.266	17.266	189.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	40818	277793	50323.0	50056.0	50056.0	50056.0	50.056	50.056	50.056	210.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	152805	690334	177113.0	176884.0	176884.0	176884.0	176.884	176.884	176.884	182.0	FastEthernet0/0	6872.0	14586.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	13091	141051	18643.0	18414.0	18414.0	18414.0	18.413	18.413	18.413	183.0	FastEthernet0/0	6872.0	14587.0	0.0	0.0	0.0	0.0	0.0	0.0
