src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
yemassee	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	12465	147307	17283.0	17029.0	17029.0	17029.0	17.028	17.028	17.028	200.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	39790	258164	44776.0	44524.0	44524.0	44524.0	44.523	44.523	44.523	194.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
yemassee	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	175827	745230	180189.0	179942.0	179942.0	179942.0	179.941	179.941	179.941	197.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	13443	143655	21028.0	20778.0	20778.0	20778.0	20.777	20.777	20.777	199.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	44289	323262	56746.0	56514.0	56514.0	56514.0	56.513	56.513	56.513	181.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	yemassee	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	152182	746505	173345.0	173094.0	173094.0	173094.0	173.093	173.093	173.093	195.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	1	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	11500	120533	16134.0	15898.0	15898.0	15898.0	15.897	15.897	15.897	188.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	2	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	44558	290557	53779.0	53533.0	53533.0	53533.0	53.533	53.533	53.533	194.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
columbia	augusta	3	IpWildcardIpSpace{ipWildcard=100.0.21.0/24}	unsat	148328	664084	162063.0	161809.0	161809.0	161809.0	161.809	161.809	161.809	201.0	FastEthernet0/0	6872.0	14744.0	0.0	0.0	0.0	0.0	0.0	0.0
augusta	columbia	1	IpWildcardIpSpace{ipWildcard=100.0.109.0/24}	unsat	11243	113820	15541.0	15304.0	15304.0	15304.0	15.304	15.304	15.304	188.0	FastEthernet0/0	6872.0	14745.0	0.0	0.0	0.0	0.0	0.0	0.0
