SubDir,FileName,Tolerance,TotalTimeSum
bics,loadbalancing_results.txt,1,23101.000
bics,loadbalancing_results.txt,2,16405.000
bics,loadbalancing_results.txt,3,8756.000
bics,reachability_results.txt,1,37001.000
bics,reachability_results.txt,2,66530.000
bics,reachability_results.txt,3,82287.000
bics,waypoint_results.txt,1,37883.000
bics,waypoint_results.txt,2,69377.000
bics,waypoint_results.txt,3,85583.000
columbus,loadbalancing_results.txt,1,58463.000
columbus,loadbalancing_results.txt,2,38305.000
columbus,loadbalancing_results.txt,3,16529.000
columbus,reachability_results.txt,1,92645.000
columbus,reachability_results.txt,2,167258.000
columbus,reachability_results.txt,3,257060.000
columbus,waypoint_results.txt,1,93176.000
columbus,waypoint_results.txt,2,173451.000
columbus,waypoint_results.txt,3,267006.000
uscarrier,loadbalancing_results.txt,1,110755.000
uscarrier,loadbalancing_results.txt,2,64591.000
uscarrier,loadbalancing_results.txt,3,11917.000
uscarrier,reachability_results.txt,1,192675.000
uscarrier,reachability_results.txt,2,394125.000
uscarrier,reachability_results.txt,3,319775.000
uscarrier,waypoint_results.txt,1,194783.000
uscarrier,waypoint_results.txt,2,397192.000
uscarrier,waypoint_results.txt,3,304446.000
