src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	540	3033	379.0	265.0	265.0	265.0	0.265	0.265	0.265	77.0	FastEthernet0/0	1657.0	3487.0	1.0	118009.0	232373.0	48.0	42.0	32.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	433	2815	328.0	223.0	223.0	223.0	0.223	0.223	0.223	78.0	FastEthernet0/0	1657.0	3487.0	1.0	103795.0	218756.0	48.0	42.0	32.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	626	3363	369.0	265.0	265.0	265.0	0.265	0.265	0.265	78.0	FastEthernet0/0	1657.0	3487.0	0.0	104099.0	251932.0	48.0	42.0	32.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	472	2702	334.0	233.0	233.0	233.0	0.232	0.232	0.232	75.0	FastEthernet0/0	1657.0	3487.0	0.0	82642.0	295597.0	48.0	42.0	32.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	508	3041	347.0	244.0	244.0	244.0	0.244	0.244	0.244	76.0	FastEthernet0/0	1657.0	3487.0	1.0	84330.0	196509.0	48.0	42.0	32.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	566	3581	358.0	256.0	256.0	256.0	0.255	0.255	0.255	76.0	FastEthernet0/0	1657.0	3487.0	0.0	83058.0	174020.0	48.0	42.0	32.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	447	3331	335.0	239.0	239.0	239.0	0.238	0.238	0.238	72.0	FastEthernet0/0	1657.0	3487.0	0.0	99469.0	170790.0	48.0	42.0	32.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	543	2946	356.0	259.0	259.0	259.0	0.259	0.259	0.259	73.0	FastEthernet0/0	1657.0	3487.0	0.0	83689.0	162135.0	48.0	42.0	32.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	366	2522	291.0	193.0	193.0	193.0	0.193	0.193	0.193	73.0	FastEthernet0/0	1657.0	3487.0	0.0	79038.0	169325.0	48.0	42.0	32.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	sat	693	2813	399.0	305.0	305.0	305.0	0.304	0.304	0.304	70.0	FastEthernet0/0	1657.0	3485.0	0.0	87744.0	153539.0	48.0	42.0	32.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	sat	534	2789	326.0	236.0	236.0	236.0	0.235	0.235	0.235	66.0	FastEthernet0/0	1657.0	3485.0	0.0	73290.0	155892.0	48.0	42.0	32.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	sat	630	4203	374.0	284.0	284.0	284.0	0.283	0.283	0.283	66.0	FastEthernet0/0	1657.0	3485.0	1.0	74019.0	156734.0	48.0	42.0	32.0
frankfurt	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	sat	370	2129	298.0	210.0	210.0	210.0	0.21	0.21	0.21	64.0	FastEthernet0/0	1657.0	3483.0	1.0	80290.0	150146.0	48.0	42.0	32.0
frankfurt	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	sat	581	2739	359.0	270.0	270.0	270.0	0.27	0.27	0.27	65.0	FastEthernet0/0	1657.0	3483.0	0.0	83934.0	152740.0	48.0	42.0	32.0
frankfurt	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	sat	704	2934	392.0	304.0	304.0	304.0	0.303	0.303	0.303	65.0	FastEthernet0/0	1657.0	3483.0	0.0	84952.0	203803.0	48.0	42.0	32.0
milan	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	425	2392	310.0	216.0	216.0	216.0	0.215	0.215	0.215	70.0	FastEthernet0/0	1657.0	3487.0	1.0	79526.0	159078.0	48.0	42.0	32.0
milan	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	612	2943	378.0	274.0	274.0	274.0	0.273	0.273	0.273	78.0	FastEthernet0/0	1657.0	3487.0	0.0	78354.0	154508.0	48.0	42.0	32.0
milan	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	sat	556	2744	344.0	251.0	251.0	251.0	0.25	0.25	0.25	70.0	FastEthernet0/0	1657.0	3487.0	0.0	75128.0	152794.0	48.0	42.0	32.0
milan	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	sat	429	2494	295.0	208.0	208.0	208.0	0.207	0.207	0.207	65.0	FastEthernet0/0	1657.0	3485.0	0.0	76388.0	155702.0	48.0	42.0	32.0
milan	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	sat	606	2755	354.0	265.0	265.0	265.0	0.265	0.265	0.265	66.0	FastEthernet0/0	1657.0	3485.0	0.0	73585.0	164125.0	48.0	42.0	32.0
milan	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	sat	373	2337	289.0	200.0	200.0	200.0	0.199	0.199	0.199	66.0	FastEthernet0/0	1657.0	3485.0	0.0	75563.0	150837.0	48.0	42.0	32.0
zurich	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	sat	392	2207	312.0	217.0	217.0	217.0	0.216	0.216	0.216	71.0	FastEthernet0/0	1657.0	3484.0	0.0	77785.0	141290.0	48.0	42.0	33.0
zurich	milan	2	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	sat	369	2002	282.0	198.0	198.0	198.0	0.197	0.197	0.197	62.0	FastEthernet0/0	1657.0	3484.0	0.0	74721.0	140607.0	48.0	42.0	33.0
zurich	milan	3	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	sat	546	2957	324.0	240.0	240.0	240.0	0.239	0.239	0.239	60.0	FastEthernet0/0	1657.0	3484.0	1.0	74034.0	142750.0	48.0	42.0	33.0
paris	milan	1	IpWildcardIpSpace{ipWildcard=100.0.27.0/24}	sat	438	2325	312.0	227.0	227.0	227.0	0.226	0.226	0.226	62.0	FastEthernet0/0	1657.0	3483.0	1.0	74212.0	192479.0	48.0	42.0	32.0
