src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
amsterdam	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1213	5380	691.0	474.0	474.0	474.0	0.473	0.473	0.473	168.0	FastEthernet0/0	1690.0	3520.0	4.0	1295692.0	2675663.0	48.0	42.0	32.0
amsterdam	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	3713	7669	1407.0	1295.0	1295.0	1295.0	1.295	1.295	1.295	94.0	FastEthernet0/0	1690.0	3520.0	1.0	120757.0	369308.0	48.0	42.0	32.0
amsterdam	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	8647	14665	3058.0	2958.0	2958.0	2958.0	2.957	2.957	2.957	84.0	FastEthernet0/0	1690.0	3520.0	1.0	129263.0	372583.0	48.0	42.0	32.0
paris	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1135	3619	541.0	448.0	448.0	448.0	0.448	0.448	0.448	78.0	FastEthernet0/0	1690.0	3520.0	0.0	107579.0	315726.0	48.0	42.0	32.0
paris	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	3810	7797	1453.0	1360.0	1360.0	1360.0	1.359	1.359	1.359	78.0	FastEthernet0/0	1690.0	3520.0	1.0	111772.0	322887.0	48.0	42.0	32.0
paris	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	9295	15593	3368.0	3278.0	3278.0	3278.0	3.278	3.278	3.278	75.0	FastEthernet0/0	1690.0	3520.0	0.0	85964.0	208586.0	48.0	42.0	32.0
zurich	frankfurt	1	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	1047	4090	508.0	391.0	391.0	391.0	0.39	0.39	0.39	105.0	FastEthernet0/0	1690.0	3520.0	0.0	98752.0	163674.0	48.0	42.0	32.0
zurich	frankfurt	2	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	3244	7305	1236.0	1149.0	1149.0	1149.0	1.149	1.149	1.149	73.0	FastEthernet0/0	1690.0	3520.0	0.0	88506.0	153851.0	48.0	42.0	32.0
zurich	frankfurt	3	IpWildcardIpSpace{ipWildcard=100.0.22.0/24}	unsat	10196	17022	3758.0	3671.0	3671.0	3671.0	3.671	3.671	3.671	74.0	FastEthernet0/0	1690.0	3520.0	0.0	81671.0	156863.0	48.0	42.0	32.0
paris	brussels	1	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	970	3240	471.0	390.0	390.0	390.0	0.39	0.39	0.39	69.0	FastEthernet0/0	1690.0	3518.0	0.0	74930.0	152925.0	48.0	42.0	32.0
paris	brussels	2	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	3112	7063	1251.0	1171.0	1171.0	1171.0	1.17	1.17	1.17	68.0	FastEthernet0/0	1690.0	3518.0	1.0	85716.0	159435.0	48.0	42.0	32.0
paris	brussels	3	IpWildcardIpSpace{ipWildcard=100.0.14.0/24}	unsat	7317	12893	2675.0	2597.0	2597.0	2597.0	2.596	2.596	2.596	67.0	FastEthernet0/0	1690.0	3518.0	0.0	79785.0	152668.0	48.0	42.0	32.0
frankfurt	amsterdam	1	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	991	3548	455.0	381.0	381.0	381.0	0.381	0.381	0.381	62.0	FastEthernet0/0	1690.0	3516.0	0.0	78222.0	143820.0	48.0	42.0	32.0
frankfurt	amsterdam	2	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	3387	8188	1318.0	1239.0	1239.0	1239.0	1.238	1.238	1.238	66.0	FastEthernet0/0	1690.0	3516.0	1.0	85695.0	155871.0	48.0	42.0	32.0
frankfurt	amsterdam	3	IpWildcardIpSpace{ipWildcard=100.0.31.0/24}	unsat	7217	11759	2496.0	2420.0	2420.0	2420.0	2.419	2.419	2.419	64.0	FastEthernet0/0	1690.0	3516.0	0.0	79928.0	151463.0	48.0	42.0	32.0
