src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	916	8430	1046.0	871.0	871.0	871.0	0.87	0.87	0.87	110.0	FastEthernet0/0	3026.0	6376.0	0.0	145434.0	416144.0	85.0	72.0	39.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	743	6895	761.0	603.0	603.0	603.0	0.603	0.603	0.603	105.0	FastEthernet0/0	3026.0	6376.0	0.0	183415.0	413559.0	85.0	72.0	39.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	723	4704	771.0	610.0	610.0	610.0	0.609	0.609	0.609	105.0	FastEthernet0/0	3026.0	6376.0	0.0	127320.0	323240.0	85.0	72.0	39.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	990	7550	1037.0	886.0	886.0	886.0	0.885	0.885	0.885	101.0	FastEthernet0/0	3026.0	6376.0	1.0	117474.0	267442.0	85.0	72.0	39.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	722	4895	814.0	665.0	665.0	665.0	0.664	0.664	0.664	102.0	FastEthernet0/0	3026.0	6376.0	0.0	121227.0	267908.0	85.0	72.0	39.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	702	6010	745.0	596.0	596.0	596.0	0.595	0.595	0.595	100.0	FastEthernet0/0	3026.0	6376.0	0.0	119418.0	263912.0	85.0	72.0	39.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	721	5246	896.0	739.0	739.0	739.0	0.738	0.738	0.738	103.0	FastEthernet0/0	3026.0	6376.0	1.0	141465.0	334341.0	85.0	72.0	39.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	723	5149	825.0	671.0	671.0	671.0	0.67	0.67	0.67	104.0	FastEthernet0/0	3026.0	6376.0	1.0	121418.0	315703.0	85.0	72.0	39.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	sat	659	4799	686.0	522.0	522.0	522.0	0.522	0.522	0.522	106.0	FastEthernet0/0	3026.0	6376.0	1.0	118368.0	323525.0	85.0	72.0	39.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	707	4422	789.0	606.0	606.0	606.0	0.605	0.605	0.605	117.0	FastEthernet0/0	3026.0	6377.0	1.0	151982.0	369494.0	85.0	72.0	39.0
nodeid59	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	1018	6941	959.0	788.0	788.0	788.0	0.787	0.787	0.787	113.0	FastEthernet0/0	3026.0	6377.0	1.0	131724.0	293516.0	85.0	72.0	39.0
nodeid59	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	619	4070	663.0	488.0	488.0	488.0	0.487	0.487	0.487	117.0	FastEthernet0/0	3026.0	6377.0	0.0	132892.0	436238.0	85.0	72.0	39.0
nodeid31	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	sat	774	5126	909.0	749.0	749.0	749.0	0.748	0.748	0.748	104.0	FastEthernet0/0	3026.0	6376.0	1.0	361919.0	376869.0	85.0	72.0	39.0
nodeid31	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	sat	771	4964	783.0	634.0	634.0	634.0	0.633	0.633	0.633	99.0	FastEthernet0/0	3026.0	6376.0	0.0	108995.0	262560.0	85.0	72.0	39.0
nodeid31	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	sat	740	6200	948.0	801.0	801.0	801.0	0.801	0.801	0.801	96.0	FastEthernet0/0	3026.0	6376.0	0.0	108965.0	366142.0	85.0	72.0	39.0
nodeid45	nodeid59	1	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	sat	763	7622	945.0	801.0	801.0	801.0	0.801	0.801	0.801	96.0	FastEthernet0/0	3026.0	6377.0	0.0	101876.0	231621.0	85.0	72.0	40.0
nodeid45	nodeid59	2	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	sat	931	5619	825.0	686.0	686.0	686.0	0.686	0.686	0.686	94.0	FastEthernet0/0	3026.0	6377.0	0.0	107080.0	232170.0	85.0	72.0	40.0
nodeid45	nodeid59	3	IpWildcardIpSpace{ipWildcard=100.0.23.0/24}	sat	697	5609	777.0	630.0	630.0	630.0	0.629	0.629	0.629	95.0	FastEthernet0/0	3026.0	6377.0	1.0	120471.0	238420.0	85.0	72.0	40.0
nodeid31	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	629	4718	736.0	583.0	583.0	583.0	0.582	0.582	0.582	102.0	FastEthernet0/0	3026.0	6376.0	1.0	132195.0	311746.0	85.0	72.0	39.0
nodeid31	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	599	4866	699.0	542.0	542.0	542.0	0.541	0.541	0.541	105.0	FastEthernet0/0	3026.0	6376.0	1.0	113545.0	265385.0	85.0	72.0	39.0
nodeid31	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	sat	750	6378	801.0	652.0	652.0	652.0	0.651	0.651	0.651	99.0	FastEthernet0/0	3026.0	6376.0	0.0	110529.0	276365.0	85.0	72.0	39.0
nodeid45	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	806	5797	962.0	803.0	803.0	803.0	0.803	0.803	0.803	106.0	FastEthernet0/0	3026.0	6377.0	1.0	124372.0	292711.0	85.0	72.0	39.0
nodeid45	nodeid1	2	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	800	4869	864.0	705.0	705.0	705.0	0.705	0.705	0.705	106.0	FastEthernet0/0	3026.0	6377.0	1.0	109983.0	288789.0	85.0	72.0	39.0
nodeid45	nodeid1	3	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	sat	710	5814	707.0	550.0	550.0	550.0	0.549	0.549	0.549	103.0	FastEthernet0/0	3026.0	6377.0	0.0	109696.0	246811.0	85.0	72.0	39.0
