src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
nodeid44	nodeid45	1	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	1477	5770	1429.0	1114.0	1114.0	1114.0	1.112	1.112	1.112	230.0	FastEthernet0/0	3096.0	6446.0	5.0	1325312.0	3108324.0	85.0	72.0	39.0
nodeid44	nodeid45	2	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	4374	11771	3626.0	3456.0	3456.0	3456.0	3.455	3.455	3.455	133.0	FastEthernet0/0	3096.0	6446.0	1.0	234514.0	816481.0	85.0	72.0	39.0
nodeid44	nodeid45	3	IpWildcardIpSpace{ipWildcard=100.0.53.0/24}	unsat	14451	27783	12646.0	12499.0	12499.0	12499.0	12.499	12.499	12.499	113.0	FastEthernet0/0	3096.0	6446.0	1.0	191803.0	537016.0	85.0	72.0	39.0
nodeid31	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1328	6012	1244.0	1110.0	1110.0	1110.0	1.109	1.109	1.109	104.0	FastEthernet0/0	3096.0	6446.0	1.0	139240.0	346794.0	85.0	72.0	39.0
nodeid31	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	3474	10881	3214.0	3079.0	3079.0	3079.0	3.078	3.078	3.078	105.0	FastEthernet0/0	3096.0	6446.0	1.0	127485.0	290296.0	85.0	72.0	39.0
nodeid31	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	16658	27693	12845.0	12714.0	12714.0	12714.0	12.714	12.714	12.714	102.0	FastEthernet0/0	3096.0	6446.0	0.0	130309.0	312548.0	85.0	72.0	39.0
nodeid45	nodeid44	1	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	1328	6347	1220.0	1084.0	1084.0	1084.0	1.083	1.083	1.083	103.0	FastEthernet0/0	3096.0	6446.0	1.0	123308.0	262504.0	85.0	72.0	39.0
nodeid45	nodeid44	2	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	3618	10816	3292.0	3158.0	3158.0	3158.0	3.157	3.157	3.157	103.0	FastEthernet0/0	3096.0	6446.0	1.0	122549.0	266392.0	85.0	72.0	39.0
nodeid45	nodeid44	3	IpWildcardIpSpace{ipWildcard=100.0.54.0/24}	unsat	15732	26382	14140.0	14006.0	14006.0	14006.0	14.005	14.005	14.005	105.0	FastEthernet0/0	3096.0	6446.0	0.0	139939.0	280428.0	85.0	72.0	39.0
nodeid59	nodeid1	1	IpWildcardIpSpace{ipWildcard=100.0.38.0/24}	unsat	1452	6529	1283.0	1150.0	1150.0	1150.0	1.149	1.149	1.149	105.0	FastEthernet0/0	3096.0	6447.0	0.0	125284.0	296480.0	85.0	72.0	39.0
